Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Olean Armory,Cattaraugus,03/02/1995,95NR00775,-78.4283350497,42.0783622953,POINT (-78.4283350497 42.0783622953)
Malone Armory,Franklin,03/02/1995,95NR00778,-74.2978693359,44.848278248,POINT (-74.2978693359 44.848278248)
Eighth Regiment Armory (Kingsbridge Armory),Bronx,12/21/1982,90NR00071,-73.8982514516,40.8684784272,POINT (-73.8982514516 40.8684784272)
Fort Washington Avenue (22nd Corps of Engineers) Armory,New York,03/02/1995,94NR00545,-73.9412936741,40.8421349045,POINT (-73.9412936741 40.8421349045)
Oswego Armory,Oswego,05/19/1988,90NR02154,-76.5091534601,43.4538645765,POINT (-76.5091534601 43.4538645765)
Seventh Regiment Armory,New York,04/14/1975,90NR00657,-73.9655193078,40.767250383,POINT (-73.9655193078 40.767250383)
Whitehall Armory,Washington,03/02/1995,95NR00769,-73.3957900784,43.5497779025,POINT (-73.3957900784 43.5497779025)
Oneida Armory,Madison,03/02/1995,95NR00774,-75.6494645681,43.0936341167,POINT (-75.6494645681 43.0936341167)
NYS Armory,Essex,11/15/1988,90NR00487,-73.4248108085,43.8451010296,POINT (-73.4248108085 43.8451010296)
Tonawanda (25th Separate Company) Armory,Erie,01/28/1994,93NR00514,-78.8735999997,43.0171739711,POINT (-78.8735999997 43.0171739711)
Flushing Armory,Queens,03/23/1995,95NR00781,-73.8289347529,40.763149019,POINT (-73.8289347529 40.763149019)
Washington Avenue (10th Battalion) Armory,Albany,03/02/1995,95NR00783,-73.7624401045,42.6570036771,POINT (-73.7624401045 42.6570036771)
New Scotland Avenue (Troop B) Armory,Albany,01/28/1994,93NR00510,-73.7815013487,42.6522143186,POINT (-73.7815013487 42.6522143186)
Ogdensburg Armory,St. Lawrence,03/02/1995,95NR00776,-75.4896115291,44.6994016727,POINT (-75.4896115291 44.6994016727)
Niagara Falls Armory,Niagara,03/02/1995,95NR00777,-79.0539332411,43.0977228224,POINT (-79.0539332411 43.0977228224)
Corning Armory,Steuben,05/18/2003,02NR05027,-77.0542984699,42.1483597813,POINT (-77.0542984699 42.1483597813)
New York State Armory,Dutchess,11/26/1982,90NR00413,-73.9292064261,41.7019855346,POINT (-73.9292064261 41.7019855346)
Jamestown Armory,Chautauqua,01/12/1995,93NR00519,-79.2547085612,42.0929545411,POINT (-79.2547085612 42.0929545411)
Second Walton Armory (Thirty-third Separate Company),Delaware,09/06/2016,16NR00054,-75.1306848585,42.165348606,POINT (-75.1306848585 42.165348606)
Oneonta Armory,Otsego,03/02/1995,95NR00773,-75.0653095226,42.4509427021,POINT (-75.0653095226 42.4509427021)
Twenty-third Regiment Armory,Kings,05/06/1980,90NR01277,-73.9538236201,40.6784373483,POINT (-73.9538236201 40.6784373483)
18th Separate Company Armory,Warren,09/29/1984,90NR02697,-73.635776929,43.3102000449,POINT (-73.635776929 43.3102000449)
White Plains Armory,Westchester,04/16/1980,90NR02490,-73.7624719183,41.0313516028,POINT (-73.7624719183 41.0313516028)
Geneva (34th Independent Company) Armory,Ontario,03/02/1995,94NR00540,-76.9858317095,42.8672186072,POINT (-76.9858317095 42.8672186072)
Schenectady Armory,Schenectady,03/02/1995,95NR00772,-73.9488454514,42.8134414103,POINT (-73.9488454514 42.8134414103)
Walton Grange/Former Armory,Delaware,06/22/1998,98NR01325,-75.1301541123,42.1656483136,POINT (-75.1301541123 42.1656483136)
69TH Regiment Armory,New York,01/28/1994,93NR00513,-73.9842177449,40.7413652016,POINT (-73.9842177449 40.7413652016)
Madison Avenue Facade of the Squadron A Armory,New York,03/24/1972,90NR00637,-73.954706204,40.7861692943,POINT (-73.954706204 40.7861692943)
New York State Armory,Orange,06/18/1981,90NR02319,-74.0132074427,41.4997422135,POINT (-74.0132074427 41.4997422135)
Connecticut Street (74th Regiment) Armory,Erie,01/12/1995,93NR00512,-78.8938139792,42.9039285457,POINT (-78.8938139792 42.9039285457)
Hornell Armory,Steuben,05/06/1980,90NR02021,-77.6616353587,42.3318646677,POINT (-77.6616353587 42.3318646677)
Eighth Avenue (14th Regiment) Armory,Kings,04/14/1994,94NR00539,-73.9829264373,40.6629087874,POINT (-73.9829264373 40.6629087874)
New York State Armory,St. Lawrence,12/12/1976,90NR02564,-75.4926887907,44.6906876209,POINT (-75.4926887907 44.6906876209)
Amsterdam  (46th Separate Company) Armory,Montgomery,07/01/1994,94NR00535,-74.1992000524,42.9328571155,POINT (-74.1992000524 42.9328571155)
Hoosick Falls Armory,Rensselaer,03/02/1995,95NR00779,-73.351639006,42.89946796,POINT (-73.351639006 42.89946796)
Naval Armory--Convention Hall,Monroe,10/04/1985,90NR01498,-77.6050550352,43.1524814972,POINT (-77.6050550352 43.1524814972)
369th Regiment Armory,New York,01/28/1994,93NR00511,-73.9351635724,40.8178910721,POINT (-73.9351635724 40.8178910721)
Gloversville (19th Separate Company) Armory,Fulton,03/02/1995,94NR00544,-74.3406468483,43.0499856175,POINT (-74.3406468483 43.0499856175)
Utica Armory,Oneida,03/02/1995,95NR00770,-75.208963985,43.0799185114,POINT (-75.208963985 43.0799185114)
Medina Armory,Orleans,04/13/1995,95NR00821,-78.3921587551,43.2221869812,POINT (-78.3921587551 43.2221869812)
First Battery Armory,New York,02/20/2013,12NR06396,-73.9808069307,40.7730363584,POINT (-73.9808069307 40.7730363584)
