Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Christian Church,Delaware,03/12/2001,01NR01748,-74.8785421996,42.2989844635,POINT (-74.8785421996 42.2989844635)
German Evangelical Lutheran Church of St. Mark,New York,04/15/2004,03NR05087,-73.9871932139,40.7270734136,POINT (-73.9871932139 40.7270734136)
Christ Episcopal Church,Westchester,04/23/1987,90NR02525,-73.859337833,41.0749534033,POINT (-73.859337833 41.0749534033)
Saint Peter's Episcopal Church Complex,Delaware,07/31/1998,97NR01284,-74.6695856688,42.3700217436,POINT (-74.6695856688 42.3700217436)
Oak Hill Methodist Episcopal Church,Greene,11/01/2006,04NR05383,-74.1545646694,42.41225758,POINT (-74.1545646694 42.41225758)
Brick Presbyterian Church,Wyoming,10/03/2007,07NR05715,-78.0005980375,42.7206369752,POINT (-78.0005980375 42.7206369752)
North Settlement Methodist Church,Greene,05/16/1996,96NR00979,-74.2954629011,42.3377405798,POINT (-74.2954629011 42.3377405798)
Buck's Bridge United Methodist Church,St. Lawrence,09/15/2004,03NR05167,-75.1602794432,44.7027445698,POINT (-75.1602794432 44.7027445698)
First Congregational Church of Bay Shore,Suffolk,05/03/2002,01NR01795,-73.2459734032,40.7261091454,POINT (-73.2459734032 40.7261091454)
Ladentown United Methodist Church,Rockland,09/07/2005,05NR05445,-74.0674378076,41.1853907032,POINT (-74.0674378076 41.1853907032)
Reformed Protestant Dutch Church of Klyne Esopus,Ulster,11/15/2002,02NR04957,-73.970085686,41.8541397311,POINT (-73.970085686 41.8541397311)
St. Mark's Lutheran Church,Albany,11/10/1982,90NR01634,-73.9689841952,42.7044906406,POINT (-73.9689841952 42.7044906406)
First Congregational Free Church,Oneida,11/19/1979,90NR02079,-75.4596764658,42.9402970082,POINT (-75.4596764658 42.9402970082)
Mt. Zion Methodist Church,Westchester,05/10/1990,90NR03152,-73.7146316627,41.3015702142,POINT (-73.7146316627 41.3015702142)
The Oppenheim and St. Johnsville Union Society Church,Fulton,07/19/2010,09NR06070,-74.7145239853,43.0398081008,POINT (-74.7145239853 43.0398081008)
Saint James Church,Queens,11/12/1999,99NR01470,-73.8778252137,40.7383501625,POINT (-73.8778252137 40.7383501625)
St. Barnabas Episcopal Church,Rensselaer,01/28/2004,03NR05106,-73.6825613857,42.7461131932,POINT (-73.6825613857 42.7461131932)
West End Presbyterian Church & Parish House,New York,12/30/2011,11NR06262,-73.9657538067,40.7998296257,POINT (-73.9657538067 40.7998296257)
Holy Trinity (Protestant Episcopal) Church,Kings,12/23/1987,90NR01349,-73.9926611073,40.6945806614,POINT (-73.9926611073 40.6945806614)
Grace Episcopal Church,Broome,08/28/1998,98NR01392,-75.9681582653,42.3292497326,POINT (-75.9681582653 42.3292497326)
First Presbyterian Church of East Syracuse (DEMOLISHED),Onondaga,,98NR01294,-76.0706098146,43.0653728644,POINT (-76.0706098146 43.0653728644)
St. John's Lutheran Church,Columbia,06/30/2009,09NR05987,-73.6392028349,42.0493878067,POINT (-73.6392028349 42.0493878067)
Congregational Church of the Evangel,Kings,12/11/2009,09NR06032,-73.9568455149,40.6572091555,POINT (-73.9568455149 40.6572091555)
St. John's Church Complex,Delaware,07/21/1995,95NR00837,-74.9160974226,42.2790595495,POINT (-74.9160974226 42.2790595495)
Italy Valley Methodist Church,Yates,08/24/1994,94NR00672,-77.2921689399,42.6108685936,POINT (-77.2921689399 42.6108685936)
Delaware Avenue Methodist Episcopal Church,Erie,11/15/2003,01NR01805,-78.875216413,42.8936083699,POINT (-78.875216413 42.8936083699)
