Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Freer Cottage,Franklin,11/06/1992,90NR02968,-74.1316032592,44.317331263,POINT (-74.1316032592 44.317331263)
Leis Cottage,Franklin,11/06/1992,90NR02943,-74.1484008127,44.3197806717,POINT (-74.1484008127 44.3197806717)
"Savage, Orin, Cottage",Franklin,11/06/1992,90NR02974,-74.1351480778,44.3278200665,POINT (-74.1351480778 44.3278200665)
Lent Cottage,Essex,11/06/1992,90NR02925,-74.125473232,44.3284362983,POINT (-74.125473232 44.3284362983)
Wilson Cottage,Franklin,11/06/1992,90NR02993,-74.1359327696,44.3282572609,POINT (-74.1359327696 44.3282572609)
Radwell Cottage,Franklin,11/06/1992,93NR00493,-74.1376041346,44.3305851395,POINT (-74.1376041346 44.3305851395)
Schrader-Griswold Cottage,Franklin,11/06/1992,90NR02986,-74.1277959259,44.3214826757,POINT (-74.1277959259 44.3214826757)
Morgan Cottage,Franklin,11/06/1992,90NR02978,-74.1295161925,44.3328447901,POINT (-74.1295161925 44.3328447901)
Top Cottage,Dutchess,12/09/1997,97NR01274,-73.8892901637,41.7654959004,POINT (-73.8892901637 41.7654959004)
Seeley Cottage,Franklin,11/06/1992,90NR02973,-74.1348830936,44.327964991,POINT (-74.1348830936 44.327964991)
Holyoke Cottage,Oswego,11/15/1988,90NR02139,-76.1650107603,43.6453149912,POINT (-76.1650107603 43.6453149912)
Noyes Cottage,Franklin,11/06/1992,90NR02964,-74.1273766373,44.3270924133,POINT (-74.1273766373 44.3270924133)
Kennedy Cottage,Essex,11/06/1992,90NR02931,-74.1262296404,44.327124065,POINT (-74.1262296404 44.327124065)
Magill Cottage,Franklin,11/06/1992,90NR02985,-74.1270666718,44.3199282473,POINT (-74.1270666718 44.3199282473)
Roosevelt Point Cottage and Boathouse,Dutchess,09/02/1993,90NR02902,-73.9365657285,41.7387482971,POINT (-73.9365657285 41.7387482971)
Gamecock Cottage,Suffolk,08/30/2007,07NR05711,-73.1474683784,40.9260889983,POINT (-73.1474683784 40.9260889983)
"Allen, Dr. A.H., Cottage",Franklin,11/06/1992,90NR02955,-74.1294514105,44.3317158235,POINT (-74.1294514105 44.3317158235)
"Dove, Arthur, and Helen Torr Cottage",Suffolk,01/28/2000,98NR01292,-73.3721558785,40.8883145649,POINT (-73.3721558785 40.8883145649)
Shore Cottage,Suffolk,08/09/1993,91NR00129,-73.1729327529,40.8940263559,POINT (-73.1729327529 40.8940263559)
Cure Cottage at 43 Forest Hill Avenue,Essex,11/21/2012,12NR06384,-74.1229578971,44.3296364117,POINT (-74.1229578971 44.3296364117)
Eastman Cottage,Nassau,10/02/1986,90NR01734,-73.6540849807,40.8027652415,POINT (-73.6540849807 40.8027652415)
Marquay Cottage,Essex,11/06/1992,90NR02933,-74.1219075555,44.3226754128,POINT (-74.1219075555 44.3226754128)
Hooey Cottage,Franklin,11/06/1992,90NR02980,-74.1268905948,44.3281889028,POINT (-74.1268905948 44.3281889028)
Bogie Cottage,Essex,11/06/1992,90NR02923,-74.1252974479,44.3251259698,POINT (-74.1252974479 44.3251259698)
Distin Cottage,Franklin,11/06/1992,90NR02967,-74.1293280655,44.3195749858,POINT (-74.1293280655 44.3195749858)
Ryan Cottage,Franklin,11/06/1992,90NR02944,-74.1525459852,44.3185591105,POINT (-74.1525459852 44.3185591105)
Feustmann Cottage,Franklin,11/06/1992,90NR02956,-74.1301539936,44.3330678222,POINT (-74.1301539936 44.3330678222)
Sloan Cottage,Franklin,11/06/1992,90NR02992,-74.1354726939,44.3225663999,POINT (-74.1354726939 44.3225663999)
Partridge Cottage,Essex,11/06/1992,90NR02934,-74.1242893172,44.3242994338,POINT (-74.1242893172 44.3242994338)
Coulter Cottage,Essex,11/06/1992,90NR02932,-74.1260760654,44.3265709016,POINT (-74.1260760654 44.3265709016)
Poe Cottage,Bronx,08/19/1980,90NR00047,-73.8946132037,40.8648112798,POINT (-73.8946132037 40.8648112798)
Johnson Cottage,Franklin,11/06/1992,90NR02947,-74.1311176784,44.3256330897,POINT (-74.1311176784 44.3256330897)
Marvin Cottage,Essex,11/06/1992,90NR02921,-74.1260187564,44.3284652696,POINT (-74.1260187564 44.3284652696)
Hill Cottage,Essex,11/06/1992,90NR02922,-74.1249175108,44.3270584572,POINT (-74.1249175108 44.3270584572)
Larom Cottage,Franklin,11/06/1992,90NR02977,-74.1278766431,44.3333191534,POINT (-74.1278766431 44.3333191534)
Brigadier General David McCarty Stone Cottage,Albany,07/28/2015,15NR00015,-73.7921793593,42.4745348115,POINT (-73.7921793593 42.4745348115)
Walker Cottage,Franklin,11/06/1992,90NR02981,-74.1331938198,44.3324550228,POINT (-74.1331938198 44.3324550228)
Stonaker Cottage,Franklin,11/06/1992,90NR02988,-74.1345847433,44.3160408928,POINT (-74.1345847433 44.3160408928)
