Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Fort Washington Avenue (22nd Corps of Engineers) Armory,New York,03/02/1995,94NR00545,-73.9412936741,40.8421349045,POINT (-73.9412936741 40.8421349045)
Fort Klock,Montgomery,11/28/1972,90NR01542,-74.6492697674,42.9855387013,POINT (-74.6492697674 42.9855387013)
United States Post Office-Frankfort,Herkimer,05/11/1989,90NR00598,-75.0707176106,43.0384983638,POINT (-75.0707176106 43.0384983638)
Old Fort Niagara,Niagara,10/09/1960,90NR01958,-79.061084703,43.2627426838,POINT (-79.061084703 43.2627426838)
Old Stone Fort,Schoharie,12/31/2002,02NR04971,-74.3021021796,42.6777148077,POINT (-74.3021021796 42.6777148077)
Fort Washington Presbyterian Church,New York,01/07/2010,09NR06027,-73.9378674933,40.8453791441,POINT (-73.9378674933 40.8453791441)
Fort Decker,Orange,06/13/1974,90NR02323,-74.7015435791,41.3784749662,POINT (-74.7015435791 41.3784749662)
Fort Schuyler Club Building,Oneida,05/12/2004,03NR05176,-75.2349653086,43.1000049537,POINT (-75.2349653086 43.1000049537)
Monfort Cemetery,Nassau,01/07/1988,90NR01731,-73.6820086065,40.8311346792,POINT (-73.6820086065 40.8311346792)
Church of the Holy Comforter,Dutchess,04/13/1972,90NR00371,-73.9366997949,41.706115395,POINT (-73.9366997949 41.706115395)
Fort Ontario Military Reservation,Oswego,12/14/2018,15NR00105,-76.5060875244,43.4654815981,POINT (-76.5060875244 43.4654815981)
Frankfort Town Hall,Herkimer,12/09/1999,99NR01442,-75.0733475517,43.0394913326,POINT (-75.0733475517 43.0394913326)
Fort Ontario,Oswego,12/18/1970,90NR02144,-76.5081897906,43.4658860668,POINT (-76.5081897906 43.4658860668)
Fort Totten Officers' Club,Queens,03/17/1986,90NR01567,-73.7776918792,40.7921749733,POINT (-73.7776918792 40.7921749733)
Fort Stanwix National Monument,Oneida,10/15/1966,90NR02066,-75.4555257578,43.2105931609,POINT (-75.4555257578 43.2105931609)
Fort Johnson,Montgomery,11/28/1972,90NR01551,-74.2403836301,42.9572629162,POINT (-74.2403836301 42.9572629162)
Fort Tompkins Quadrangle,Richmond,07/30/1974,90NR01029,-74.0566068426,40.6050355674,POINT (-74.0566068426 40.6050355674)
Fort St. Frederic,Essex,10/15/1966,90NR00460,-73.4261309682,44.0304008719,POINT (-73.4261309682 44.0304008719)
Fort Edward Delaware & Hudson Railroad Station,Washington,12/13/2000,98NR01342,-73.5801996985,43.2701524761,POINT (-73.5801996985 43.2701524761)
"Casemate Fort, Whiting Quadrangle",Kings,08/07/1974,90NR01295,-74.0325327737,40.6086762111,POINT (-74.0325327737 40.6086762111)
Fort Hill Estate,Suffolk,06/02/1988,90NR01928,-73.4877415806,40.9187753024,POINT (-73.4877415806 40.9187753024)
Fort Crown Point,Essex,11/24/1968,90NR00461,-73.4263835583,44.009907009,POINT (-73.4263835583 44.009907009)
Fort Tryon Park And The Cloisters,New York,12/19/1978,90NR00947,-73.9322007849,40.8623780264,POINT (-73.9322007849 40.8623780264)
"New York Public Library, Fort Washington Branch",New York,08/27/2020,20NR00052,-73.9338452202,40.8479001117,POINT (-73.9338452202 40.8479001117)
Fort Crailo,Rensselaer,11/05/1961,90NR01003,-73.7490230947,42.6345507382,POINT (-73.7490230947 42.6345507382)
Fort Wadsworth,Richmond,,98NR01405,-74.0569275762,40.6025256023,POINT (-74.0569275762 40.6025256023)
Fort Miller Reformed Church Complex,Washington,12/06/1996,96NR01058,-73.5818641967,43.163579449,POINT (-73.5818641967 43.163579449)
Fort Schuyler,Bronx,06/29/1976,90NR00044,-73.7926112468,40.805655767,POINT (-73.7926112468 40.805655767)
Fort Brewerton,Oswego,03/07/1973,90NR02137,-76.1413472052,43.2420950964,POINT (-76.1413472052 43.2420950964)
Fort Golgotha and the Old Burial Hill Cemetery,Suffolk,03/02/1981,90NR01798,-73.4236179545,40.8715669073,POINT (-73.4236179545 40.8715669073)
Fort Niagara Light,Niagara,07/19/1984,90NR01959,-79.0605659385,43.2617572088,POINT (-79.0605659385 43.2617572088)
U.S. Inspection Station--Fort Covington,Franklin,,12NR06307,-74.5047284128,44.9957007407,POINT (-74.5047284128 44.9957007407)
United States Post Office-Fort Plain,Montgomery,05/11/1989,90NR01548,-74.6227291079,42.9317110548,POINT (-74.6227291079 42.9317110548)
Fort Ticonderoga,Essex,10/15/1966,90NR00472,-73.3953136875,43.8360435653,POINT (-73.3953136875 43.8360435653)
Fort Herkimer Church,Herkimer,07/24/1972,90NR00585,-74.9542873691,43.017968276,POINT (-74.9542873691 43.017968276)
Fort Jay,New York,03/27/1974,90NR00640,-74.0159971842,40.691386579,POINT (-74.0159971842 40.691386579)
