Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
North Salem Town Hall,Westchester,09/04/1980,90NR02455,-73.5979957932,41.3292749764,POINT (-73.5979957932 41.3292749764)
Hallock-Bilunas Farmstead,Suffolk,04/18/2003,02NR04929,-72.5914684609,40.9783454374,POINT (-72.5914684609 40.9783454374)
Clinton Hall,Tompkins,07/07/1988,90NR02265,-76.4993179273,42.4398499186,POINT (-76.4993179273 42.4398499186)
Rembrandt Hall,Essex,05/20/1983,91NR03359,-73.4769646332,44.5018505548,POINT (-73.4769646332 44.5018505548)
"Field, Marshall III, Estate",Suffolk,04/30/1979,90NR01925,-73.4708824162,40.9295544161,POINT (-73.4708824162 40.9295544161)
"Sea Cliff Village Hall, Library and Museum Complex",Nassau,04/22/2005,04NR05240,-73.6471796563,40.8494422759,POINT (-73.6471796563 40.8494422759)
Marshall House,Ontario,04/26/1984,90NR02003,-77.2911101173,42.8807347844,POINT (-77.2911101173 42.8807347844)
"Herring-Cole Hall, Saint Lawrence University",St. Lawrence,05/01/1974,90NR02569,-75.1639211667,44.5923388624,POINT (-75.1639211667 44.5923388624)
Rock Hall,Nassau,11/21/1976,90NR01714,-73.7341931786,40.6092408614,POINT (-73.7341931786 40.6092408614)
Radio City Music Hall,New York,05/08/1978,90NR00704,-73.9792833062,40.7598345536,POINT (-73.9792833062 40.7598345536)
Constable Hall,Lewis,03/07/1973,90NR01195,-75.4221482138,43.5615070893,POINT (-75.4221482138 43.5615070893)
New Brighton Village Hall,Richmond,12/15/1978,90NR01045,-74.095908678,40.6431090976,POINT (-74.095908678 40.6431090976)
Caldwell Hall,Tompkins,09/24/1984,90NR02258,-76.4782449958,42.4492437915,POINT (-76.4782449958 42.4492437915)
Union Hall,Jefferson,09/06/1990,90NR03007,-76.2186033419,44.0059630563,POINT (-76.2186033419 44.0059630563)
I.O.O.F. Hall,Greene,12/31/2002,02NR04994,-74.2157898678,42.2108178542,POINT (-74.2157898678 42.2108178542)
Webb Horton House (Morrison Hall),Orange,04/26/1990,90NR03151,-74.4262853887,41.4389541374,POINT (-74.4262853887 41.4389541374)
Conklin Town Hall,Broome,12/20/2006,06NR05620,-75.8043023577,42.0495316213,POINT (-75.8043023577 42.0495316213)
Old Town Hall (aka: Town of Lake Pleasant Museum),Hamilton,04/23/2009,05NR05553,-74.3665861522,43.4998010355,POINT (-74.3665861522 43.4998010355)
Hubbard Hall,Essex,01/21/1999,98NR01345,-73.5930438032,44.2152160049,POINT (-73.5930438032 44.2152160049)
Watts de Peyster Fireman's Hall,Dutchess,11/16/1989,90NR03303,-73.9115016963,42.0589311457,POINT (-73.9115016963 42.0589311457)
Babylon Town Hall (Town of Babylon Old Town Hall),Suffolk,10/05/2005,05NR05462,-73.3241399214,40.6966476077,POINT (-73.3241399214 40.6966476077)
