Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Gaige Homestead,Schenectady,10/11/1984,90NR02623,-74.1519201838,42.7475258509,POINT (-74.1519201838 42.7475258509)
Miller Homestead,Clinton,07/28/1999,99NR01505,-73.5612149054,44.5245013018,POINT (-73.5612149054 44.5245013018)
Tower Homestead and Masonic Temple,Oneida,10/05/1977,90NR02081,-75.3827854898,42.9313662357,POINT (-75.3827854898 42.9313662357)
The Edwards Homestead,Suffolk,12/07/2010,10NR06170,-73.0792296778,40.7315410176,POINT (-73.0792296778 40.7315410176)
Gates Homestead,Warren,04/27/2010,07NR05704,-73.6677750155,43.5377847178,POINT (-73.6677750155 43.5377847178)
Wyckoff-Bennett Homestead,Kings,12/24/1974,90NR01351,-73.9510945301,40.6107937869,POINT (-73.9510945301 40.6107937869)
Defreest Homestead,Rensselaer,08/02/1977,90NR00964,-73.6936888153,42.6766412773,POINT (-73.6936888153 42.6766412773)
"Platt, Charles C., Homestead",Clinton,11/12/1982,90NR00188,-73.4610489253,44.7087211374,POINT (-73.4610489253 44.7087211374)
"Homestead, The",Westchester,03/29/2001,00NR01725,-73.595402409,41.2824508018,POINT (-73.595402409 41.2824508018)
"Benjamin, James, Homestead",Suffolk,08/13/1986,90NR01891,-72.6171567575,40.9036503333,POINT (-72.6171567575 40.9036503333)
Kingsland Homestead,Queens,05/31/1972,90NR01578,-73.8240214623,40.7637311381,POINT (-73.8240214623 40.7637311381)
Sands-Willets Homestead,Nassau,09/19/1985,90NR01729,-73.6804943353,40.8162166929,POINT (-73.6804943353 40.8162166929)
Hallock Homestead,Suffolk,06/07/1984,90NR01876,-72.5901313141,40.9832807434,POINT (-72.5901313141 40.9832807434)
Morss Homestead/Federal City Homestead,Greene,09/30/1983,90NR00546,-74.3951128781,42.310825463,POINT (-74.3951128781 42.310825463)
Hildreth Homestead,Herkimer,11/23/2020,20NR00010,-74.9885087554,43.1019009613,POINT (-74.9885087554 43.1019009613)
Pratt Homestead,Columbia,11/13/2009,09NR05990,-73.5463251472,42.3268670293,POINT (-73.5463251472 42.3268670293)
Newkirk Homestead,Greene,07/22/1979,90NR00535,-73.9066694671,42.266669352,POINT (-73.9066694671 42.266669352)
"Carll, Ezra, Homestead",Suffolk,09/26/1985,90NR01810,-73.3960942785,40.8276713822,POINT (-73.3960942785 40.8276713822)
"Brett, Madam Catharyna, Homestead",Dutchess,12/12/1976,90NR00440,-73.9670577095,41.501633211,POINT (-73.9670577095 41.501633211)
DeRidder Homestead,Washington,03/22/1974,90NR02743,-73.5679267372,43.0997206502,POINT (-73.5679267372 43.0997206502)
Hatheway Homestead,Cortland,01/20/1978,90NR00264,-76.0198338035,42.5976682241,POINT (-76.0198338035 42.5976682241)
"Butler, Walter, Homestead",Montgomery,06/23/1976,90NR01537,-74.3540726751,42.9621810021,POINT (-74.3540726751 42.9621810021)
"Hawkins, Robert, Homestead",Suffolk,04/10/1986,90NR01777,-72.9170351459,40.8360034214,POINT (-72.9170351459 40.8360034214)
"Jay, John, Homestead",Westchester,07/24/1972,90NR02425,-73.6588580586,41.2506011164,POINT (-73.6588580586 41.2506011164)
Newton Homestead,Chenango,06/03/1982,90NR00154,-75.7851127919,42.6515675768,POINT (-75.7851127919 42.6515675768)
"Homestead, The",Franklin,11/06/1992,90NR02969,-74.1313447088,44.3232012965,POINT (-74.1313447088 44.3232012965)
"Morehouse, Jeremiah, Homestead",Orange,04/12/2006,05NR05468,-74.3689358261,41.2452341225,POINT (-74.3689358261 41.2452341225)
Jewell Family Homestead,Chenango,01/31/2017,16NR00094,-75.4922459177,42.4079660302,POINT (-75.4922459177 42.4079660302)
Colyer Homestead,Schoharie,02/13/2008,07NR05782,-74.2978965495,42.6937754737,POINT (-74.2978965495 42.6937754737)
Howard Homestead,Schenectady,10/11/1984,90NR02628,-74.227762365,42.7780369373,POINT (-74.227762365 42.7780369373)
Shear Homestead,Dutchess,02/24/2021,16NR00103,-73.7809261682,41.6497329333,POINT (-73.7809261682 41.6497329333)
Hutchinson Homestead,Cayuga,09/09/2009,09NR05996,-76.725686319,42.9125104948,POINT (-76.725686319 42.9125104948)
"Purdy, Joseph, Homestead",Westchester,01/25/1973,90NR02454,-73.6549393504,41.3295075404,POINT (-73.6549393504 41.3295075404)
Bush-Lyon Homestead,Westchester,04/22/1982,90NR02492,-73.6667073876,41.0130318899,POINT (-73.6667073876 41.0130318899)
"Chase, William Merritt, Homestead",Suffolk,06/19/1983,90NR01889,-72.477344687,40.8875494944,POINT (-72.477344687 40.8875494944)
"Sibley, Hiram, Homestead",Monroe,09/12/1985,90NR01452,-77.6146935261,42.9691355627,POINT (-77.6146935261 42.9691355627)
Bird Homestead,Westchester,02/22/2010,09NR06069,-73.6892872474,40.9595804443,POINT (-73.6892872474 40.9595804443)
"Dodge, Thomas, Homestead",Nassau,06/26/1986,90NR01730,-73.6969631557,40.8385041225,POINT (-73.6969631557 40.8385041225)
Nixon Homestead,Chautauqua,09/26/1983,90NR00124,-79.5840937671,42.3187957251,POINT (-79.5840937671 42.3187957251)
"Havens, James, Homestead",Suffolk,04/10/1986,90NR01880,-72.3312919869,41.0641287257,POINT (-72.3312919869 41.0641287257)
Hawkins Homestead,Suffolk,06/09/1988,90NR01782,-73.1382059196,40.9293085821,POINT (-73.1382059196 40.9293085821)
"Aldrich, Peter, Homestead",Ulster,09/26/1983,90NR01062,-74.2588822855,41.6700180964,POINT (-74.2588822855 41.6700180964)
