Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
New York Cancer Hospital,New York,04/29/1977,90NR00690,-73.9607723762,40.7978885487,POINT (-73.9607723762 40.7978885487)
Utica State Hospital,Oneida,10/26/1971,90NR02054,-75.2531548752,43.1050073948,POINT (-75.2531548752 43.1050073948)
"Rogers, Will, Memorial Hospital",Essex,09/08/1983,90NR00475,-74.1140961741,44.3108672945,POINT (-74.1140961741 44.3108672945)
BATAVIA VETERANS ADMINISTRATION HOSPITAL,Genesee,03/27/2012,12NR06329,-78.1984599334,43.0126825983,POINT (-78.1984599334 43.0126825983)
Old Troy Hospital,Rensselaer,10/25/1973,90NR00997,-73.6832330336,42.7317149815,POINT (-73.6832330336 42.7317149815)
Triboro Hospital for Tuberculosis,Queens,01/31/2019,18NR00080,-73.8075437432,40.7175697107,POINT (-73.8075437432 40.7175697107)
Seaview Hospital,Richmond,09/07/2005,04NR05341,-74.1323264712,40.5914931361,POINT (-74.1323264712 40.5914931361)
St. Luke's Hospital,New York,05/20/2019,19NR00003,-73.961253283,40.8050101709,POINT (-73.961253283 40.8050101709)
City Hospital,New York,03/16/1972,90NR00628,-73.9582896717,40.7529402018,POINT (-73.9582896717 40.7529402018)
Mount St. Mary's Hospital,Niagara,12/22/2015,15NR00040,-79.0551671993,43.091493445,POINT (-79.0551671993 43.091493445)
Smallpox Hospital,New York,03/16/1972,90NR00633,-73.9595827175,40.751602492,POINT (-73.9595827175 40.751602492)
New York Hospital-Westchester Division,Westchester,,91NR03350,-73.7527948789,41.0271502337,POINT (-73.7527948789 41.0271502337)
Buffalo State Hospital,Erie,01/12/1973,90NR01206,-78.8843106757,42.9298683966,POINT (-78.8843106757 42.9298683966)
Gouverneur Hospital,New York,10/29/1982,90NR00891,-73.9835844964,40.7110609741,POINT (-73.9835844964 40.7110609741)
Society for the Lying-In Hospital,New York,08/30/1983,90NR00818,-73.9836710994,40.7347522214,POINT (-73.9836710994 40.7347522214)
Ottendorfer Public Library and Stuyvesant Polyclinic Hospital,New York,07/22/1979,90NR00789,-73.9877997447,40.7290430069,POINT (-73.9877997447 40.7290430069)
"Hudson River State Hospital, Main Building",Dutchess,06/30/1989,94NR00622,-73.928200922,41.7327343686,POINT (-73.928200922 41.7327343686)
