Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Eberz House,Erie,10/18/2011,11NR06233,-78.9021443227,42.9370970701,POINT (-78.9021443227 42.9370970701)
Tuthill-Green House,Cayuga,02/24/1995,95NR00798,-76.4213110236,42.7065520514,POINT (-76.4213110236 42.7065520514)
Gardner House,Albany,11/10/1982,90NR01656,-74.0006027983,42.6728193689,POINT (-74.0006027983 42.6728193689)
Mud House,Monroe,10/11/1978,90NR01455,-77.4588603025,43.1425158497,POINT (-77.4588603025 43.1425158497)
Clinton House,Tompkins,08/12/1971,90NR02249,-76.4994195079,42.4401197589,POINT (-76.4994195079 42.4401197589)
The Pink House,Allegany,03/03/2021,20NR00091,-77.9504965533,42.1168718662,POINT (-77.9504965533 42.1168718662)
"Wing, Asa and Caroline, House",Oswego,12/04/2001,01NR01864,-76.1634079359,43.4211347555,POINT (-76.1634079359 43.4211347555)
"Rohr, George, Saloon and Boardinghouse",Westchester,12/01/1978,90NR02505,-73.8611780265,41.1622795714,POINT (-73.8611780265 41.1622795714)
North Street Friends Meetinghouse (Brick Meetinghouse),Cayuga,12/09/2005,05NR05510,-76.6512075818,42.7616379939,POINT (-76.6512075818 42.7616379939)
Baker-Merrill House,Washington,07/26/2006,06NR05583,-73.5506162475,42.9904288896,POINT (-73.5506162475 42.9904288896)
Clark-Lester House,Erie,11/30/1999,99NR01534,-78.6681980567,42.9004715351,POINT (-78.6681980567 42.9004715351)
"73 Grove Street, House at",Nassau,01/23/2008,07NR05778,-73.6671522548,40.6631532474,POINT (-73.6671522548 40.6631532474)
Sherman House,Warren,11/07/1977,90NR02696,-73.6502434711,43.312162884,POINT (-73.6502434711 43.312162884)
Alfred Renshaw House,Albany,10/03/1985,90NR02788,-73.7499861201,42.7238322329,POINT (-73.7499861201 42.7238322329)
"Austen, Elizabeth Alice, House",Richmond,07/28/1970,90NR01027,-74.0630944864,40.6152189212,POINT (-74.0630944864 40.6152189212)
"Johnston, Edwin M. and Emily S., House",Erie,05/23/1997,97NR01206,-78.8734242255,42.9162093009,POINT (-78.8734242255 42.9162093009)
Sanford W. and Maude Smith House,Columbia,02/28/2020,19NR00093,-73.5909009646,42.3672385231,POINT (-73.5909009646 42.3672385231)
Pelham Firehouse,Westchester,,03NR05112,-73.8082348891,40.9148018524,POINT (-73.8082348891 40.9148018524)
Cobblestone House,Steuben,09/30/1983,90NR02023,-77.3240472316,42.3381610832,POINT (-77.3240472316 42.3381610832)
DuBois-Deyo House,Ulster,11/25/1994,94NR00748,-74.0853497319,41.8056878945,POINT (-74.0853497319 41.8056878945)
"Cramer, Frederick, House",Albany,10/03/1985,90NR02768,-73.7697834942,42.6974568282,POINT (-73.7697834942 42.6974568282)
"Aiken, John. J., House",Cattaraugus,02/20/2013,12NR06412,-78.6786919414,42.2985119717,POINT (-78.6786919414 42.2985119717)
"Whitmore, John T., House",Broome,08/14/1986,90NR00083,-75.9215019784,42.0989193485,POINT (-75.9215019784 42.0989193485)
"Ball, J., House",Tioga,07/02/1984,90NR02224,-76.1861398329,42.2962820882,POINT (-76.1861398329 42.2962820882)
"Hoster, William, House",Seneca,12/31/2002,02NR04984,-76.8118104239,42.8393209685,POINT (-76.8118104239 42.8393209685)
Merchants Refrigerating Company Warehouse,New York,05/31/1985,90NR00733,-74.0076919584,40.7440659193,POINT (-74.0076919584 40.7440659193)
Holley-Rankine House,Niagara,10/04/1979,90NR01967,-79.055199182,43.0816400996,POINT (-79.055199182 43.0816400996)
Traver House,Dutchess,07/09/1987,90NR00356,-73.8966575824,41.9417287917,POINT (-73.8966575824 41.9417287917)
Rogers House,Suffolk,09/26/1985,90NR01840,-73.4167881245,40.8677613554,POINT (-73.4167881245 40.8677613554)
Schenck-Mann House,Nassau,02/24/2005,91NR00186,-73.4892741613,40.8197689108,POINT (-73.4892741613 40.8197689108)
"Langdon Estate, Former, Gatehouse",Dutchess,09/02/1993,90NR02896,-73.9375849022,41.7930404718,POINT (-73.9375849022 41.7930404718)
"Ketchum, B., House",Suffolk,09/26/1985,90NR01927,-73.2971701717,40.8993205376,POINT (-73.2971701717 40.8993205376)
Nathan Comstock House,Niagara,09/29/2011,11NR06224,-78.6795407182,43.1887136868,POINT (-78.6795407182 43.1887136868)
"Wynkoop, Cornelius, Stone House",Ulster,02/23/1996,96NR00929,-74.1421714229,41.8471433732,POINT (-74.1421714229 41.8471433732)
House at 9 Locust Place,Nassau,02/18/1988,90NR01765,-73.650759661,40.8445401158,POINT (-73.650759661 40.8445401158)
Putnam County Courthouse,Putnam,08/11/1976,90NR02357,-73.6785485996,41.4263513324,POINT (-73.6785485996 41.4263513324)
Birge-Horton House,Erie,07/16/2004,04NR05206,-78.8741915403,42.8971731069,POINT (-78.8741915403 42.8971731069)
"Smith, Stephen and Charles, House",Nassau,07/22/1999,97NR01158,-73.6457658643,40.8131166077,POINT (-73.6457658643 40.8131166077)
"Sahler, J., House",Ulster,08/12/1999,96NR01071,-74.1912103285,41.8244205068,POINT (-74.1912103285 41.8244205068)
"Buell, William, III, House",Orange,10/24/1986,90NR02355,-74.2856230609,41.4737228968,POINT (-74.2856230609 41.4737228968)
Stickney House,Niagara,05/30/2003,03NR05056,-78.6927951374,43.1749209166,POINT (-78.6927951374 43.1749209166)
Johannes Lawyer House,Schoharie,02/23/2016,15NR00128,-74.3139019964,42.6567628911,POINT (-74.3139019964 42.6567628911)
"Grove Street, House at No. 48",Livingston,01/07/1999,98NR01317,-77.8816202438,42.7280830318,POINT (-77.8816202438 42.7280830318)
Evans/Gaige/Dillenback House,Jefferson,09/06/1990,90NR03016,-76.1365669408,44.0696500726,POINT (-76.1365669408 44.0696500726)
Lighthouse,New York,03/16/1972,90NR00630,-73.9401819596,40.7728368007,POINT (-73.9401819596 40.7728368007)
Hazard Sheldon House,Niagara,05/11/2011,10NR06176,-79.0577667045,43.0918393053,POINT (-79.0577667045 43.0918393053)
Otsego County Courthouse,Otsego,06/20/1972,90NR02189,-74.9291211922,42.7009714746,POINT (-74.9291211922 42.7009714746)
Gardiner Schoolhouse,Ulster,11/22/2000,00NR01691,-74.1488802705,41.6785148858,POINT (-74.1488802705 41.6785148858)
"Watson, Elkanah, House",Essex,07/19/1964,90NR00459,-73.4055566664,44.5247055577,POINT (-73.4055566664 44.5247055577)
Congregation B'nai Jeshurun and Community House,New York,06/02/1989,90NR00735,-73.9760853074,40.7902480156,POINT (-73.9760853074 40.7902480156)
"Ritchie, Z., House",Clinton,11/12/1982,90NR00190,-73.4579621019,44.6922250122,POINT (-73.4579621019 44.6922250122)
George Underhill House,Nassau,07/05/2003,02NR04977,-73.5785687145,40.8961780566,POINT (-73.5785687145 40.8961780566)
Freeman House,Albany,11/10/1982,90NR01655,-73.9632054344,42.7025315025,POINT (-73.9632054344 42.7025315025)
"Smith, Jacob, House",Suffolk,09/26/1985,90NR01847,-73.437559223,40.8128253514,POINT (-73.437559223 40.8128253514)
Standard House,Westchester,08/22/2000,00NR01615,-73.9300221179,41.2860536444,POINT (-73.9300221179 41.2860536444)
"Stevens, John, House",Westchester,04/26/1972,90NR02479,-73.8359687628,40.9042400254,POINT (-73.8359687628 40.9042400254)
LILAC (United States Lighthouse Tender),New York,01/07/2005,04NR05295,-74.0120625893,40.7305857494,POINT (-74.0120625893 40.7305857494)
"Stoutenburgh, William, House",Dutchess,09/27/1972,90NR00305,-73.9146322667,41.7874183719,POINT (-73.9146322667 41.7874183719)
