Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Ocean Parkway,Kings,09/08/1983,90NR01303,-73.9687673796,40.6108841936,POINT (-73.9687673796 40.6108841936)
Park and Tilford Building,New York,05/01/2009,08NR05937,-73.944766703,40.8081060834,POINT (-73.944766703 40.8081060834)
George W. Johnson Park Carousel,Broome,01/25/1992,91NR00076,-76.0505181992,42.1112552744,POINT (-76.0505181992 42.1112552744)
Seneca Park East and West [Seneca Park and Maplewood Park],Monroe,09/26/2003,03NR05052,-77.6226889741,43.1986855027,POINT (-77.6226889741 43.1986855027)
Boyd & Parker Park and Groveland Ambuscade,Livingston,10/01/2009,06NR05667,-77.7320039666,42.7212423765,POINT (-77.7320039666 42.7212423765)
Vale Cemetery and Vale Park,Schenectady,09/24/2004,04NR05214,-73.9285922434,42.8081432029,POINT (-73.9285922434 42.8081432029)
Williamsbridge Oval Park,Bronx,05/14/2015,15NR00019,-73.8773871296,40.8776357451,POINT (-73.8773871296 40.8776357451)
Thornden Park,Onondaga,12/29/1994,90NR01699,-76.1259199473,43.0417700071,POINT (-76.1259199473 43.0417700071)
Rye Town Park and Oakland Beach,Westchester,04/18/2003,02NR04962,-73.6787557359,40.9610236871,POINT (-73.6787557359 40.9610236871)
Park-Bentley House,Saratoga,04/21/1994,94NR00585,-73.6235286121,43.3000283077,POINT (-73.6235286121 43.3000283077)
Bleecker Stadium and Swinburne Park,Albany,02/20/2018,16NR00123,-73.775972369,42.6704092171,POINT (-73.775972369 42.6704092171)
Park Mart,Albany,05/19/2021,21NR00012,-73.7503599558,42.6526750656,POINT (-73.7503599558 42.6526750656)
George F. Johnson Recreation Park Carousel,Broome,01/25/1992,91NR00081,-75.9337152,42.0992835,POINT (-75.9337152 42.0992835)
"McGolrick, Monsignor, Park and Shelter Pavilion",Kings,05/06/1980,90NR01276,-73.9433553796,40.7244492067,POINT (-73.9433553796 40.7244492067)
"Parker, Thomas E., House",Dutchess,,90NR02898,-73.9341286198,41.7882430949,POINT (-73.9341286198 41.7882430949)
Tall Maples [Parkside Whispering Pines] Miniature Golf Course,Monroe,12/31/2002,02NR04920,-77.5466178087,43.2285041493,POINT (-77.5466178087 43.2285041493)
Lincoln Park,Albany,02/20/2018,16NR00124,-73.7664054703,42.6460550096,POINT (-73.7664054703 42.6460550096)
Hamilton Park Community Houses,Richmond,09/29/1983,90NR01034,-74.0906006605,40.6420122613,POINT (-74.0906006605 40.6420122613)
Ocean Parkway Jewish Center,Kings,12/11/2009,09NR06023,-73.9730612422,40.6345248151,POINT (-73.9730612422 40.6345248151)
