Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Substation #409 (IND),New York,02/09/2006,05NR05421,-73.9870301859,40.7214635744,POINT (-73.9870301859 40.7214635744)
South Gilboa Railroad Station,Schoharie,02/25/2000,99NR01568,-74.5591100674,42.4106170626,POINT (-74.5591100674 42.4106170626)
Plum Island Light Station,Suffolk,02/11/2011,01NR01802,-72.211302613,41.1739353119,POINT (-72.211302613 41.1739353119)
Substation #7,New York,02/09/2006,05NR05416,-73.9483935332,40.787152782,POINT (-73.9483935332 40.787152782)
"Quackenbush Pumping Station, Albany Water Works",Albany,06/30/1983,90NR02817,-73.747944227,42.6542418079,POINT (-73.747944227 42.6542418079)
Pillsbury Mountain Fire Observation Station,Hamilton,09/09/2010,06NR05674,-74.4996049371,43.5840270294,POINT (-74.4996049371 43.5840270294)
Hadley Mountain Fire Observation Station,Saratoga,09/23/2001,00NR01667,-73.9620803188,43.3732898448,POINT (-73.9620803188 43.3732898448)
Atlantic Avenue Subway Station (IRT),Kings,09/17/2004,04NR05282,-73.9779430225,40.684748113,POINT (-73.9779430225 40.684748113)
86th Street Subway Station (Dual System IRT),New York,03/30/2005,04NR05303,-73.955564238,40.7795358541,POINT (-73.955564238 40.7795358541)
Morris Park Station (IRT),Bronx,07/06/2005,04NR05374,-73.8604573351,40.8544133542,POINT (-73.8604573351 40.8544133542)
Borough Hall Subway Station (IRT),Kings,,04NR05274,-73.9903821955,40.6924686303,POINT (-73.9903821955 40.6924686303)
Liebler-Rohl Gasoline Station,Erie,11/30/1999,99NR01539,-78.6659911593,42.8995208727,POINT (-78.6659911593 42.8995208727)
15th Street - Prospect Park Subway Station (IND),Kings,07/27/2005,04NR05369,-73.9796843914,40.6604926973,POINT (-73.9796843914 40.6604926973)
Farmingdale Railroad Station,Nassau,11/13/1991,91NR00006,-73.4417395951,40.7356632633,POINT (-73.4417395951 40.7356632633)
Delaware and Northern Railroad Station,Delaware,08/20/2004,04NR05231,-74.7899796673,42.1862683262,POINT (-74.7899796673 42.1862683262)
Red Hill Fire Observation Station,Ulster,09/23/2001,00NR01670,-74.5173052732,41.9237738139,POINT (-74.5173052732 41.9237738139)
Erie Railroad Station,Orange,04/11/1980,90NR02324,-74.6916268943,41.3723295064,POINT (-74.6916268943 41.3723295064)
"Buffalo, Rochester and Pittsburgh RailwayStation",Erie,08/03/2007,06NR05628,-78.747461876,42.7588479653,POINT (-78.747461876 42.7588479653)
