Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Queensboro Bridge,New York,12/20/1978,90NR00948,-73.9507210879,40.7551995665,POINT (-73.9507210879 40.7551995665)
Buck's Bridge United Methodist Church,St. Lawrence,09/15/2004,03NR05167,-75.1602794432,44.7027445698,POINT (-75.1602794432 44.7027445698)
Manhattan Bridge,Kings,09/01/1983,90NR01298,-73.9899567695,40.7060199368,POINT (-73.9899567695 40.7060199368)
Double-Span Metal Pratt Truss Bridge,Clinton,05/20/1983,90NR00206,-73.4853087802,44.5006708592,POINT (-73.4853087802 44.5006708592)
Pond Eddy Bridge,Sullivan,11/14/1988,90NR03118,-74.8197291359,41.4393452354,POINT (-74.8197291359 41.4393452354)
69th Street Transfer Bridge of the New York Central Railroad,New York,06/26/2003,03NR05051,-73.9897066884,40.7792027257,POINT (-73.9897066884 40.7792027257)
Eighth Regiment Armory (Kingsbridge Armory),Bronx,12/21/1982,90NR00071,-73.8982514516,40.8684784272,POINT (-73.8982514516 40.8684784272)
Raymondville Parabolic Bridge,St. Lawrence,09/07/1984,90NR02557,-74.9794405752,44.839702454,POINT (-74.9794405752 44.839702454)
Williamsbridge Oval Park,Bronx,05/14/2015,15NR00019,-73.8773871296,40.8776357451,POINT (-73.8773871296 40.8776357451)
Beers Bridge,Essex,11/12/1999,98NR01347,-73.7822126078,44.1697883943,POINT (-73.7822126078 44.1697883943)
Shady Glen Road Stone Arch Bridge,Greene,01/09/2008,06NR05691,-74.1451047555,42.3798308861,POINT (-74.1451047555 42.3798308861)
Tioronda Bridge,Dutchess,10/08/1976,90NR00438,-73.9740399926,41.4885788632,POINT (-73.9740399926 41.4885788632)
Bainbridge Historic District,Chenango,11/09/1982,90NR00160,-75.4782519317,42.2954426662,POINT (-75.4782519317 42.2954426662)
AuSable Chasm Bridge,Clinton,11/12/1999,98NR01351,-73.4629232871,44.5248740208,POINT (-73.4629232871 44.5248740208)
Whipple Cast and Wrought Iron Bowstring Truss Bridge,Albany,03/18/1971,90NR01649,-73.8003977197,42.6358236404,POINT (-73.8003977197 42.6358236404)
Downsville Covered Bridge,Delaware,04/29/1999,99NR01466,-74.9906798047,42.0762191978,POINT (-74.9906798047 42.0762191978)
Route 29 Stone Arch Bridge,Herkimer,01/26/2001,00NR01723,-74.9495438521,43.1375131019,POINT (-74.9495438521 43.1375131019)
Main Street Bridge,Monroe,10/11/1984,90NR01514,-77.610325698,43.1562423021,POINT (-77.610325698 43.1562423021)
Spangler Bridge,Columbia,02/23/1973,90NR00213,-73.5989933265,42.4308177984,POINT (-73.5989933265 42.4308177984)
Notman Bridge,Essex,11/12/1999,98NR01356,-73.7844215166,44.1913397073,POINT (-73.7844215166 44.1913397073)
Rexleigh Covered Bridge,Washington,03/08/1978,90NR02748,-73.3556285877,43.1348247068,POINT (-73.3556285877 43.1348247068)
Smith-Ransome Japanese Bridge,Suffolk,02/02/2018,17NR00029,-72.3185286066,41.0513742571,POINT (-72.3185286066 41.0513742571)
Tusten Stone Arch Bridge,Sullivan,07/27/2000,00NR01640,-75.0193693933,41.5560591325,POINT (-75.0193693933 41.5560591325)
