Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Batavia Club,Genesee,06/19/1973,90NR00526,-78.1816335332,42.997632482,POINT (-78.1816335332 42.997632482)
Quaker Ridge Golf Club,Westchester,11/23/2020,17NR00019,-73.76296151,40.9692553684,POINT (-73.76296151 40.9692553684)
University Club,New York,04/16/1980,90NR00663,-73.9756743982,40.7614814953,POINT (-73.9756743982 40.7614814953)
Racquet Court Club Building,New York,,91NR00264,-73.9909526131,40.7448227234,POINT (-73.9909526131 40.7448227234)
Bronxville Women's Club,Westchester,10/03/2007,06NR05673,-73.8265536568,40.9420973141,POINT (-73.8265536568 40.9420973141)
Ausable Club Club,Essex,07/06/2005,04NR05398,-73.7806701942,44.1521754824,POINT (-73.7806701942 44.1521754824)
Phelps Mansion (Monday Afternoon Club),Broome,06/04/1973,90NR00081,-75.9055999644,42.100721514,POINT (-75.9055999644 42.100721514)
Knickerbocker Field Club,Kings,10/29/1982,90NR01328,-73.9634972701,40.6477286224,POINT (-73.9634972701 40.6477286224)
Level Club,New York,04/09/1984,90NR00652,-73.9829526241,40.7803134856,POINT (-73.9829526241 40.7803134856)
Seawanhaka Corinthian Yacht Club,Nassau,01/08/1974,90NR01719,-73.5137282203,40.9027905187,POINT (-73.5137282203 40.9027905187)
"Saturn Club, The",Erie,05/19/2005,04NR05413,-78.8694952693,42.9106602966,POINT (-78.8694952693 42.9106602966)
Automobile Club of Buffalo Country Club,Erie,06/20/2012,11NR06289,-78.5995147368,42.9781404481,POINT (-78.5995147368 42.9781404481)
Old Colony Club,New York,04/23/1980,90NR00677,-73.984900434,40.7455823366,POINT (-73.984900434 40.7455823366)
Cold Spring Harbor Beach Club,Suffolk,12/12/2012,12NR06377,-73.4700812896,40.8762910889,POINT (-73.4700812896 40.8762910889)
Fort Schuyler Club Building,Oneida,05/12/2004,03NR05176,-75.2349653086,43.1000049537,POINT (-75.2349653086 43.1000049537)
Lamb's Club,New York,06/03/1982,90NR00750,-73.9845869255,40.7565026901,POINT (-73.9845869255 40.7565026901)
Old Grolier Club,New York,04/23/1980,90NR00678,-73.9832906503,40.7464715737,POINT (-73.9832906503 40.7464715737)
Engineering Societies' Building and Engineers' Club,New York,08/30/2007,07NR05737,-73.9837001392,40.7525638212,POINT (-73.9837001392 40.7525638212)
Harvard Club of New York City,New York,03/28/1980,90NR00644,-73.9811622773,40.7557073605,POINT (-73.9811622773 40.7557073605)
Fort Totten Officers' Club,Queens,03/17/1986,90NR01567,-73.7776918792,40.7921749733,POINT (-73.7776918792 40.7921749733)
Barnes-Hiscock House (Corinthian Club),Onondaga,07/30/2010,10NR06087,-76.1366395391,43.0573515756,POINT (-76.1366395391 43.0573515756)
Shelter Island Country Club,Suffolk,02/25/2009,08NR05954,-72.3576776178,41.07694625,POINT (-72.3576776178 41.07694625)
Mountain Athletic Club Grounds,Delaware,10/29/2020,19NR00102,-74.5349282563,42.1558763854,POINT (-74.5349282563 42.1558763854)
Buffalo Club,Erie,04/22/2021,20NR00093,-78.8762092112,42.8951104384,POINT (-78.8762092112 42.8951104384)
Amrita Club,Dutchess,11/26/1982,90NR00382,-73.9295488836,41.701630816,POINT (-73.9295488836 41.701630816)
Westminster House Club House,Erie,05/25/2018,17NR00103,-78.8516493531,42.8916722294,POINT (-78.8516493531 42.8916722294)
Shinnecock Hills Golf Club,Suffolk,09/29/2000,00NR01574,-72.4401692492,40.8963184977,POINT (-72.4401692492 40.8963184977)
"Clarke, Thomas B., Residence (Collectors Club Building)",New York,,94NR00527,-73.9820794805,40.7480320094,POINT (-73.9820794805 40.7480320094)
Southside Sportsmen's Club District,Suffolk,07/23/1973,90NR01869,-73.1501541084,40.7718431732,POINT (-73.1501541084 40.7718431732)
