Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Northville Historic District,Fulton,05/07/2014,14NR06530,-74.1735415673,43.2245085385,POINT (-74.1735415673 43.2245085385)
Cobleskill Historic District,Schoharie,09/18/1978,90NR02684,-74.4845630564,42.6770742579,POINT (-74.4845630564 42.6770742579)
Fernwood Park Historic District,Monroe,06/21/2010,09NR06031,-77.5624501646,43.1802136341,POINT (-77.5624501646 43.1802136341)
Main Street Historic District (Cold Spring Harbor),Suffolk,09/26/1985,90NR01831,-73.4548086191,40.8721758543,POINT (-73.4548086191 40.8721758543)
Woodbine-Palmetto-Gates Historic District,Queens,09/30/1983,90NR01609,-73.9041551419,40.7067307523,POINT (-73.9041551419 40.7067307523)
Parkside Subdivision (West) Historic District,Erie,12/10/1986,89NR00003,-78.8663106284,42.9376802434,POINT (-78.8663106284 42.9376802434)
Gowanus Canal Historic District,Kings,,12NR06417,-73.9913430317,40.6759957342,POINT (-73.9913430317 40.6759957342)
Waterloo Commercial Historic District,Seneca,04/17/2017,16NR00038,-76.8628081096,42.9047995758,POINT (-76.8628081096 42.9047995758)
Owego Central Historic District,Tioga,12/03/1980,90NR02238,-76.2619891719,42.102935507,POINT (-76.2619891719 42.102935507)
Onesquethaw Valley Historic District,Albany,01/17/1974,90NR02802,-73.9030825849,42.5552368939,POINT (-73.9030825849 42.5552368939)
Quogue Historic District,Suffolk,02/02/2016,15NR00027,-72.601934522,40.8177760212,POINT (-72.601934522 40.8177760212)
Niagara Power Project Historic District,Niagara,07/03/2017,16NR00128,-79.0026702541,43.1438891265,POINT (-79.0026702541 43.1438891265)
Second and Ostrander Historic District,Suffolk,08/18/2017,15NR00107,-72.6604523804,40.9195765215,POINT (-72.6604523804 40.9195765215)
North Main Street Historic District--East Hampton,Suffolk,10/02/1986,90NR01939,-72.1843110918,40.9657227337,POINT (-72.1843110918 40.9657227337)
Chili-West Historic District,Monroe,09/01/2015,15NR00037,-77.6436380656,43.1481206264,POINT (-77.6436380656 43.1481206264)
Fifth Avenue-Fulton Street Historic District,Rensselaer,03/05/1970,90NR00976,-73.6873200438,42.7326002968,POINT (-73.6873200438 42.7326002968)
Jackson Heights Historic District,Queens,01/27/1999,98NR01367,-73.8857890257,40.7515831831,POINT (-73.8857890257 40.7515831831)
Village Park Historic District,St. Lawrence,05/06/1975,90NR02571,-75.1678701184,44.595438214,POINT (-75.1678701184 44.595438214)
HAMBURG MAIN STREET HISTORIC DISTRICT,Erie,12/04/2012,12NR06374,-78.834281797,42.7162125899,POINT (-78.834281797 42.7162125899)
Washington Park Historic District (Boundary Increase),Albany,02/24/2015,14NR06582,-73.7656941627,42.657410992,POINT (-73.7656941627 42.657410992)
Third Judicial District Courthouse (Jefferson Market Library),New York,11/09/1972,90NR00906,-73.999163487,40.7346157896,POINT (-73.999163487 40.7346157896)
Greenwich District School No. 11,Washington,12/30/2020,20NR00097,-73.4497175538,43.1005258628,POINT (-73.4497175538 43.1005258628)
Indian Brook Road Historic District,Putnam,08/19/1993,92NR00309,-73.9140069683,41.4115819329,POINT (-73.9140069683 41.4115819329)
Gaines District #2 Cobblestone School House,Orleans,06/12/2017,15NR00131,-78.2238711635,43.2570931821,POINT (-78.2238711635 43.2570931821)
Treadwell Farm Historic District,New York,05/27/2004,91NR00274,-73.9643262633,40.7626168983,POINT (-73.9643262633 40.7626168983)
Gowanda Historic District,Cattaraugus,09/22/1986,90NR00095,-78.9365932397,42.4632276285,POINT (-78.9365932397 42.4632276285)
South Salina Street Historic District,Onondaga,03/27/1986,90NR02126,-76.1469864136,43.0293385512,POINT (-76.1469864136 43.0293385512)
Broadway-Livingston Avenue Historic District,Albany,01/07/1988,89NR00008,-73.7476834901,42.6582003565,POINT (-73.7476834901 42.6582003565)
Charlton Historic District,Saratoga,01/01/1976,90NR02586,-73.9646562091,42.9335346248,POINT (-73.9646562091 42.9335346248)
Cherry Valley Historic District,Otsego,04/28/1988,90NR02192,-74.7510694884,42.7975759141,POINT (-74.7510694884 42.7975759141)
Franklin Square Historic District,Oswego,08/04/1982,90NR02152,-76.5159051241,43.4573911357,POINT (-76.5159051241 43.4573911357)
Attica Market & Main Historic District,Wyoming,05/01/2013,12NR06343,-78.2840716194,42.8645582517,POINT (-78.2840716194 42.8645582517)
Third District U.S. Lighthouse Depot,Richmond,,00NR01716,-74.0736441951,40.641351238,POINT (-74.0736441951 40.641351238)
Schmidlapp-Humes Estate Historic District,Nassau,08/27/2020,20NR00029,-73.5690197345,40.8749539579,POINT (-73.5690197345 40.8749539579)
Sixteen Mile District,Columbia,03/07/1979,90NR00219,-73.929628292,41.9781515944,POINT (-73.929628292 41.9781515944)
State Street Historic District,Jefferson,09/22/1983,90NR01157,-75.609900616,43.9777393334,POINT (-75.609900616 43.9777393334)
Glenwolde Park Historic District,Westchester,09/03/2014,14NR06563,-73.8594380536,41.0593761726,POINT (-73.8594380536 41.0593761726)
Port Jefferson Village Historic District,Suffolk,04/06/2005,02NR04918,-73.0657477342,40.9471934495,POINT (-73.0657477342 40.9471934495)
