Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
"Roosevelt, James Alfred, Estate",Nassau,05/17/1979,90NR01951,-73.5075187534,40.8837095101,POINT (-73.5075187534 40.8837095101)
"Langdon Estate, Former, Gatehouse",Dutchess,09/02/1993,90NR02896,-73.9375849022,41.7930404718,POINT (-73.9375849022 41.7930404718)
"Field, Marshall III, Estate",Suffolk,04/30/1979,90NR01925,-73.4708824162,40.9295544161,POINT (-73.4708824162 40.9295544161)
"Kahn, Otto H., Estate (Oheka)",Suffolk,09/15/2004,96NR00925,-73.4480011141,40.8282222561,POINT (-73.4480011141 40.8282222561)
Echo Lawn Estate,Orange,03/23/2009,07NR05761,-74.0069995819,41.5345025271,POINT (-74.0069995819 41.5345025271)
Smith Estate - Longwood,Suffolk,12/10/1981,90NR01776,-72.9060017528,40.8681469307,POINT (-72.9060017528 40.8681469307)
Schmidlapp-Humes Estate Historic District,Nassau,08/27/2020,20NR00029,-73.5690197345,40.8749539579,POINT (-73.5690197345 40.8749539579)
Manitoga (Russell Wright Estate),Putnam,11/15/1996,91NR00061,-73.9490003389,41.3473901219,POINT (-73.9490003389 41.3473901219)
Woolworth Estate,Nassau,05/17/1979,90NR01705,-73.643511543,40.8752829853,POINT (-73.643511543 40.8752829853)
Hurst-Pierrepont Estate,Putnam,11/23/1982,90NR02369,-73.9383162261,41.3791331272,POINT (-73.9383162261 41.3791331272)
"Chetolah (George Inness, Jr, Estate)",Ulster,10/21/1980,90NR01093,-74.3766979708,41.6608838512,POINT (-74.3766979708 41.6608838512)
Palmer-Lewis Estate,Westchester,08/06/1998,96NR01054,-73.6179770694,41.2307599507,POINT (-73.6179770694 41.2307599507)
"Smith, Gerritt, Estate",Madison,11/24/1997,97NR01148,-75.6863784326,42.9681195296,POINT (-75.6863784326 42.9681195296)
"Aldred, John E., Estate",Nassau,08/03/1979,90NR01953,-73.6158046053,40.8948813023,POINT (-73.6158046053 40.8948813023)
Benner-Foos-Ceperano Estate,Suffolk,08/22/2016,16NR00025,-73.0939476323,40.9556744397,POINT (-73.0939476323 40.9556744397)
"Vanderbilt, William K., Estate Eagle's Nest""""",Suffolk,09/26/1985,90NR01852,-73.3676474012,40.9053313259,POINT (-73.3676474012 40.9053313259)
Fargo Estate Historic District,Erie,02/02/2016,15NR00066,-78.8871500895,42.9007783861,POINT (-78.8871500895 42.9007783861)
Cedarmere-Clayton Estates Historic District,Nassau,09/29/1986,90NR01956,-73.6406798143,40.810294946,POINT (-73.6406798143 40.810294946)
"Wetherill, Kate Anette, Estate",Suffolk,08/09/1993,91NR00132,-73.1684487987,40.8926794834,POINT (-73.1684487987 40.8926794834)
Mackay Estate Gate Lodge,Nassau,03/14/1991,90NR03287,-73.6421119723,40.7934087918,POINT (-73.6421119723 40.7934087918)
"Owl's Nest (Eggleston, Edward, Estate)",Warren,11/11/1971,90NR02695,-73.65455583,43.4438130965,POINT (-73.65455583 43.4438130965)
"Phipps, John S., Estate (Old Westbury Gardens)",Nassau,11/08/1976,90NR01945,-73.5954017883,40.7735420127,POINT (-73.5954017883 40.7735420127)
"Ryan, William J., Estate",Suffolk,08/09/1993,91NR00127,-73.1876687375,40.9036028857,POINT (-73.1876687375 40.9036028857)
