Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
BEAR MOUNTAIN INN,Rockland,08/22/2002,02NR01932,-73.9894909544,41.3131249589,POINT (-73.9894909544 41.3131249589)
Avon Inn,Livingston,04/16/1991,90NR03024,-77.7432483874,42.9106908007,POINT (-77.7432483874 42.9106908007)
Blinn-Pulver Farmhouse,Columbia,02/12/2003,02NR04987,-73.6031963847,42.3491871854,POINT (-73.6031963847 42.3491871854)
Church of the Holy Innocents,Kings,06/16/2005,04NR05415,-73.9626722385,40.6444905361,POINT (-73.9626722385 40.6444905361)
"Tears, John, Inn",Orange,08/21/1997,97NR01238,-74.3720110405,41.5003865956,POINT (-74.3720110405 41.5003865956)
Cincinnatus Historic District,Cortland,09/07/1984,90NR00261,-75.9022056209,42.5422176167,POINT (-75.9022056209 42.5422176167)
Innisfree,Dutchess,09/03/2019,18NR00060,-73.7497102115,41.759622547,POINT (-73.7497102115 41.759622547)
McKinney Stables of Empire City Farms,Allegany,08/12/1999,99NR01504,-78.2709975981,42.2094120042,POINT (-78.2709975981 42.2094120042)
"Chetolah (George Inness, Jr, Estate)",Ulster,10/21/1980,90NR01093,-74.3766979708,41.6608838512,POINT (-74.3766979708 41.6608838512)
Drovers Inn and Rounds Family Residence,Broome,04/26/2010,02NR04915,-76.0546534535,42.0892889265,POINT (-76.0546534535 42.0892889265)
Cobblestone Inn,Orleans,07/24/2007,07NR05733,-78.3331088838,43.274725921,POINT (-78.3331088838 43.274725921)
Jamieson & McKinney Block,Tompkins,05/24/1990,96NR01028,-76.4987453061,42.4389302736,POINT (-76.4987453061 42.4389302736)
Jenning's Tavern (Patterson Inn),Steuben,09/20/1973,90NR02016,-77.0635566851,42.1516419271,POINT (-77.0635566851 42.1516419271)
Church of the Holy Innocents and Rectory,Orange,11/23/1982,90NR02327,-73.9646009969,41.3731777944,POINT (-73.9646009969 41.3731777944)
Rich-Twinn Octagon House,Erie,02/10/1995,95NR00784,-78.4953058933,43.0198011224,POINT (-78.4953058933 43.0198011224)
Clark-Dearstyne-Miller Inn,Rensselaer,01/09/2008,07NR05792,-73.7349700085,42.6567756284,POINT (-73.7349700085 42.6567756284)
Innis Dye Works,Dutchess,,96NR00983,-73.9386856106,41.7087757341,POINT (-73.9386856106 41.7087757341)
The John and Martinus Laraway Inn,Greene,07/17/2012,12NR06318,-74.435242423,42.31855446,POINT (-74.435242423 42.31855446)
Halliock Inn,Suffolk,08/07/1974,90NR01883,-73.1797427598,40.8563916815,POINT (-73.1797427598 40.8563916815)
Quinn House,Essex,,90NR03141,-73.4277004714,43.8484724648,POINT (-73.4277004714 43.8484724648)
Milanville-Skinner's Falls Bridge,Sullivan,11/14/1988,90NR03117,-75.058310415,41.6697359877,POINT (-75.058310415 41.6697359877)
Checkerboard Inn,Orange,11/29/2006,06NR05634,-74.1841376605,41.3005150633,POINT (-74.1841376605 41.3005150633)
Yelverton Inn and Store,Orange,03/28/1980,90NR02348,-74.2781167644,41.3565725904,POINT (-74.2781167644 41.3565725904)
Major's Inn and Gilbert Block,Otsego,04/11/1973,90NR02193,-75.3271063616,42.4712177901,POINT (-75.3271063616 42.4712177901)
"Kinne, David and Mary, House",Seneca,08/30/2007,06NR05661,-76.8447990962,42.6898500771,POINT (-76.8447990962 42.6898500771)
Binnewater Historic District,Ulster,11/04/1982,90NR01078,-74.0853825393,41.8573861148,POINT (-74.0853825393 41.8573861148)
York-Skinner House,Chautauqua,09/26/1983,90NR00131,-79.574065579,42.3217551859,POINT (-79.574065579 42.3217551859)
Elmendorph Inn,Dutchess,09/20/1978,90NR00450,-73.8738865557,41.997335901,POINT (-73.8738865557 41.997335901)
Shinnecock Hills Golf Club,Suffolk,09/29/2000,00NR01574,-72.4401692492,40.8963184977,POINT (-72.4401692492 40.8963184977)
Terry-Ketcham Inn,Suffolk,06/24/1993,92NR00297,-72.7806186074,40.8025210267,POINT (-72.7806186074 40.8025210267)
Skinner-Tinkham House,Orleans,04/15/2004,02NR04919,-78.1950522336,43.1863715533,POINT (-78.1950522336 43.1863715533)
Skinny House,Westchester,05/18/2015,14NR06618,-73.7423406746,40.9548187027,POINT (-73.7423406746 40.9548187027)
Devinne Press Building,New York,09/14/1977,90NR00842,-73.9926468869,40.7279286561,POINT (-73.9926468869 40.7279286561)
Church of the Holy Innocents,Albany,01/31/1978,90NR01622,-73.748270417,42.658785119,POINT (-73.748270417 42.658785119)
Masten-Quinn Residence,Sullivan,02/13/2003,02NR04991,-74.4811354788,41.5770640109,POINT (-74.4811354788 41.5770640109)
Timothy Skinner House,Oswego,06/20/1991,91NR00021,-76.2322898356,43.4609236953,POINT (-76.2322898356 43.4609236953)
"Crounse, Jacob, Inn",Albany,11/10/1982,90NR01628,-74.01881445,42.7054687748,POINT (-74.01881445 42.7054687748)
Chichester's Inn,Suffolk,09/26/1985,90NR01811,-73.4247187744,40.8200046059,POINT (-73.4247187744 40.8200046059)
Chase Mills Inn,St. Lawrence,11/29/1978,90NR02562,-75.0812530316,44.8488681658,POINT (-75.0812530316 44.8488681658)
Rogues Harbor Inn,Tompkins,08/26/2009,08NR05948,-76.5054871363,42.5377512148,POINT (-76.5054871363 42.5377512148)
Beaverkill Valley Inn,Ulster,09/12/1985,90NR01066,-74.7520865089,42.022786929,POINT (-74.7520865089 42.022786929)
"Mann, Andrew, Inn",Otsego,01/10/1980,90NR02179,-75.3912898397,42.321155163,POINT (-75.3912898397 42.321155163)
