Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Lefferts Manor Historic District,Kings,05/18/1992,91NR00014,-73.9568034486,40.6597468571,POINT (-73.9568034486 40.6597468571)
Lefferts Manor Historic District Boundary Increase,Kings,11/09/2017,17NR00067,-73.954972117,40.6582917616,POINT (-73.954972117 40.6582917616)
Van Rensselaer Lower Manor House,Columbia,01/07/1998,97NR01263,-73.7257598936,42.225064462,POINT (-73.7257598936 42.225064462)
Van Cortlandt Upper Manor House,Westchester,04/02/1981,90NR02431,-73.9052748685,41.3123974071,POINT (-73.9052748685 41.3123974071)
King Manor,Queens,12/02/1974,90NR01618,-73.803770899,40.7030957374,POINT (-73.803770899 40.7030957374)
Sylvester Manor,Suffolk,04/28/2015,14NR06588,-72.3382054995,41.0798969105,POINT (-72.3382054995 41.0798969105)
Menands Manor (Home for Aged Men),Albany,10/03/1985,90NR02838,-73.7254600117,42.6930165156,POINT (-73.7254600117 42.6930165156)
Sagtikos Manor,Suffolk,11/21/1976,90NR01871,-73.2762707642,40.702891522,POINT (-73.2762707642 40.702891522)
Dutchess Manor,Dutchess,11/23/1982,90NR00300,-73.9820917012,41.4605450402,POINT (-73.9820917012 41.4605450402)
Salisbury Manor,Greene,06/19/1979,90NR00536,-73.9191929191,42.2633632516,POINT (-73.9191929191 42.2633632516)
Cromwell Manor,Orange,06/03/1996,90NR03229,-74.0444441181,41.4244913607,POINT (-74.0444441181 41.4244913607)
Philipsburg Manor,Westchester,10/15/1966,90NR02545,-73.8635656686,41.0892108968,POINT (-73.8635656686 41.0892108968)
Lansing Manor House,Schoharie,05/25/1973,90NR02671,-74.4648016743,42.446996086,POINT (-74.4648016743 42.446996086)
Pierrepont Manor Complex,Jefferson,09/15/1977,90NR01132,-76.0614799939,43.7344782927,POINT (-76.0614799939 43.7344782927)
Springwood Manor,Albany,10/04/1979,90NR02791,-73.7585457775,42.7142775295,POINT (-73.7585457775 42.7142775295)
Van Cortlandt Manor,Westchester,10/15/1966,90NR02530,-73.8753584704,41.1891505561,POINT (-73.8753584704 41.1891505561)
"Lloyd, Joseph, Manor House",Suffolk,11/07/1976,90NR01796,-73.4775505602,40.9143701878,POINT (-73.4775505602 40.9143701878)
Montauk Manor,Suffolk,08/23/1984,90NR01792,-71.9492127356,41.0486502093,POINT (-71.9492127356 41.0486502093)
Cobblestone Manor,Ontario,04/26/1984,90NR02000,-77.2913976482,42.9032104044,POINT (-77.2913976482 42.9032104044)
Prevost Manor House,Greene,11/15/1972,90NR00542,-74.0502376256,42.4137991287,POINT (-74.0502376256 42.4137991287)
The Manor Club,Westchester,05/12/2014,13NR06520,-73.8037763185,40.8915441368,POINT (-73.8037763185 40.8915441368)
Treemont Manor,Albany,10/03/1985,90NR02793,-73.7631195947,42.7147009381,POINT (-73.7631195947 42.7147009381)
"Preferred Manor (Moss, Horace O., House)",Chenango,05/17/1974,90NR00163,-75.3312869493,42.6212288403,POINT (-75.3312869493 42.6212288403)
Guy Park Manor,Montgomery,02/06/1973,90NR01543,-74.2095400161,42.9470341478,POINT (-74.2095400161 42.9470341478)
Beverwyck Manor,Rensselaer,08/03/1979,90NR01001,-73.7223282259,42.6634580806,POINT (-73.7223282259 42.6634580806)
Fairview Manor (aka Longue Vue Manor),Jefferson,08/30/2007,05NR05454,-76.1218473819,44.2242834889,POINT (-76.1218473819 44.2242834889)
Philipse Manor Railroad Station,Westchester,03/14/1991,91NR03344,-73.8694781219,41.0946154067,POINT (-73.8694781219 41.0946154067)
Soundview Manor,Westchester,11/25/2009,08NR05931,-73.7650578671,41.0045759293,POINT (-73.7650578671 41.0045759293)
Philipse Manor Hall,Westchester,11/05/1961,90NR02462,-73.899368839,40.9358073431,POINT (-73.899368839 40.9358073431)
