Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
School 13,Erie,03/15/2005,03NR05199,-78.8699293056,42.8890760013,POINT (-78.8699293056 42.8890760013)
Peterboro Street Elementary School,Madison,05/23/1986,90NR01433,-75.7494618823,43.0817245412,POINT (-75.7494618823 43.0817245412)
Buffalo Public School #57 (PS57),Erie,07/27/2018,18NR00030,-78.8349099386,42.8929527986,POINT (-78.8349099386 42.8929527986)
North Main Street School,Rockland,02/28/2008,07NR05728,-74.0435512718,41.1208513465,POINT (-74.0435512718 41.1208513465)
Gardiner Schoolhouse,Ulster,11/22/2000,00NR01691,-74.1488802705,41.6785148858,POINT (-74.1488802705 41.6785148858)
Public School 66,Queens,08/28/2003,03NR05092,-73.8461378526,40.6979493896,POINT (-73.8461378526 40.6979493896)
Greenwich District School No. 11,Washington,12/30/2020,20NR00097,-73.4497175538,43.1005258628,POINT (-73.4497175538 43.1005258628)
Gaines District #2 Cobblestone School House,Orleans,06/12/2017,15NR00131,-78.2238711635,43.2570931821,POINT (-78.2238711635 43.2570931821)
Williamsville Junior and Senior High School,Erie,05/12/2008,07NR05811,-78.7314571127,42.9671799543,POINT (-78.7314571127 42.9671799543)
Alexander Classical School,Genesee,10/25/1973,90NR00532,-78.259361969,42.902195871,POINT (-78.259361969 42.902195871)
Tuckahoe High School,Westchester,02/24/2010,07NR05831,-73.8120539858,40.9430925941,POINT (-73.8120539858 40.9430925941)
West Hill School,Montgomery,04/11/2002,02NR01895,-74.5733847626,42.9047837106,POINT (-74.5733847626 42.9047837106)
Clarksville Elementary School,Albany,07/03/2008,08NR05851,-73.9543347731,42.5774645786,POINT (-73.9543347731 42.5774645786)
Public School No. 13,Westchester,04/18/2007,05NR05541,-73.8899449071,40.9159203661,POINT (-73.8899449071 40.9159203661)
Whitney Museum of American Art (NY Studio School),New York,01/01/1993,93NR00506,-73.9972360141,40.7323855482,POINT (-73.9972360141 40.7323855482)
Jerusalem District No. 5 Schoolhouse,Nassau,03/01/1996,95NR00860,-73.5070937819,40.7020123856,POINT (-73.5070937819 40.7020123856)
St. James Chapel and Bard Infant School,Dutchess,08/19/1993,90NR02905,-73.9350655375,41.7911942919,POINT (-73.9350655375 41.7911942919)
District No. 10 Schoolhouse,Niagara,12/01/2000,00NR01684,-78.4885524084,43.2815577286,POINT (-78.4885524084 43.2815577286)
Brandywine Avenue School,Schenectady,12/09/1999,99NR01518,-73.9238922938,42.8024673832,POINT (-73.9238922938 42.8024673832)
