Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
"Grove, The",Putnam,11/21/2008,08NR05876,-73.9505467824,41.4185193194,POINT (-73.9505467824 41.4185193194)
'Sunset Hill',Herkimer,01/04/2007,06NR05655,-74.9783132866,42.8580511816,POINT (-74.9783132866 42.8580511816)
The Maples,Madison,11/02/1987,90NR01416,-75.8359492668,42.9218480416,POINT (-75.8359492668 42.9218480416)
Rokeby,Dutchess,03/26/1975,90NR00322,-73.9237745902,41.9880376585,POINT (-73.9237745902 41.9880376585)
Albany Institute of History and Art,Albany,07/12/1976,90NR01636,-73.760336551,42.6557820165,POINT (-73.760336551 42.6557820165)
"Ellington, Edward Kennedy Duke""",New York,05/11/1976,90NR00707,-73.941370304,40.8323466025,POINT (-73.941370304 40.8323466025)
"Hovey, Charles C., Residence and Strong Leather Company Mill",Chenango,12/06/1996,96NR01100,-75.4826662997,42.2959482082,POINT (-75.4826662997 42.2959482082)
Burden Iron Works Office Building,Rensselaer,03/16/1972,90NR00980,-73.6990262975,42.7098775118,POINT (-73.6990262975 42.7098775118)
Dowden Tannery,Suffolk,09/26/1985,90NR01816,-73.4504337725,40.8374621286,POINT (-73.4504337725 40.8374621286)
Mount Pleasant,Genesee,08/09/1984,90NR00522,-78.346722489,43.0131725057,POINT (-78.346722489 43.0131725057)
"Ninth Street, Building at 104",Nassau,11/14/1978,91NR00208,-73.6382124054,40.7270295402,POINT (-73.6382124054 40.7270295402)
Pleasant Valley Wine Company,Steuben,11/18/1980,90NR02015,-77.2540421827,42.4012616398,POINT (-77.2540421827 42.4012616398)
Monroe Motor Car Company,Erie,,19NR00016,-78.8591565713,42.921065701,POINT (-78.8591565713 42.921065701)
133 East 80th Street,New York,08/16/2010,10NR06121,-73.9584915394,40.775933932,POINT (-73.9584915394 40.775933932)
Glenfields,Putnam,11/23/1982,90NR02368,-73.9528993363,41.3511776036,POINT (-73.9528993363 41.3511776036)
Matton Shipyards,Albany,07/24/2009,08NR05868,-73.6804832303,42.7790185702,POINT (-73.6804832303 42.7790185702)
Thirty Mile Point Light,Niagara,07/19/1984,90NR01960,-78.4868111976,43.3747429826,POINT (-78.4868111976 43.3747429826)
Our Lady of Mount Carmel Grotto,Richmond,11/02/2000,00NR01652,-74.074807994,40.6122158754,POINT (-74.074807994 40.6122158754)
Germania Wine Cellars,Steuben,11/02/2000,00NR01700,-77.2491551104,42.4037257028,POINT (-77.2491551104 42.4037257028)
"Haughwout, E. V., Building",New York,08/28/1973,90NR00814,-74.0026937807,40.7234264746,POINT (-74.0026937807 40.7234264746)
Chapman Residence,Onondaga,02/14/1997,96NR01113,-76.156360957,43.0675661873,POINT (-76.156360957 43.0675661873)
Glens Falls Feeder Canal,Warren,10/25/1985,90NR02738,-73.6119301365,43.3039154434,POINT (-73.6119301365 43.3039154434)
"Saratoga Gas, Electric Light and Power Co. Complex",Saratoga,05/01/2001,00NR01614,-73.7751265288,43.0900403957,POINT (-73.7751265288 43.0900403957)
"Verdi, Giuseppe, Monument",New York,10/04/1990,90NR03040,-73.9814936388,40.7791916515,POINT (-73.9814936388 40.7791916515)
Smith's Grain and Feed Store,Saratoga,05/08/2012,11NR06207,-73.8206268771,42.8929838597,POINT (-73.8206268771 42.8929838597)
"Allen, Ethan, I.O.O.F. Lodge No. 630",Essex,,91NR03363,-73.4248994247,43.8485925533,POINT (-73.4248994247 43.8485925533)
Duffy-Powers Building,Monroe,,90NR01510,-77.6146913387,43.1556319352,POINT (-77.6146913387 43.1556319352)
Cyclone Roller Coaster,Kings,06/25/1991,91NR00005,-73.977702,40.5745997281,POINT (-73.977702 40.5745997281)
Oulagisket,Putnam,11/23/1982,90NR02374,-73.9360313818,41.3761687552,POINT (-73.9360313818 41.3761687552)
Sherbrook Apartments,Onondaga,02/14/1997,96NR01134,-76.1324526389,43.045002766,POINT (-76.1324526389 43.045002766)
Walton And Willett Stone Store,Oswego,05/24/1976,90NR02149,-76.5120245287,43.4595866583,POINT (-76.5120245287 43.4595866583)
Louis Skoler Residence,Onondaga,02/12/2010,08NR05949,-76.1115188825,43.0408447563,POINT (-76.1115188825 43.0408447563)
Metropolitan Museum of Art,New York,06/24/1986,90NR02847,-73.9634405002,40.7794365724,POINT (-73.9634405002 40.7794365724)
"Smith, Abigail Adams, Stable (Museum)",New York,01/12/1973,90NR00607,-73.9597319124,40.7605566665,POINT (-73.9597319124 40.7605566665)
Cold Brook Feed Mill,Herkimer,10/09/1974,90NR00600,-75.04096232,43.2397471121,POINT (-75.04096232 43.2397471121)
"9757 State Route 812, Croghan",Lewis,02/08/2022,20NR00036,-75.3923956891,43.8925542063,POINT (-75.3923956891 43.8925542063)
Stonecrest,Dutchess,07/09/1987,90NR00354,-73.9122108857,41.8768090694,POINT (-73.9122108857 41.8768090694)
Wild's Mill Complex,Columbia,06/14/1982,90NR00259,-73.6804528107,42.4132644114,POINT (-73.6804528107 42.4132644114)
Houk Manufactoring Company,Erie,02/14/2014,13NR06513,-78.8795411444,42.9429885054,POINT (-78.8795411444 42.9429885054)
Congregation Tifereth Israel Synaoguge,Suffolk,03/22/2006,05NR05502,-72.3648993936,41.1008841122,POINT (-72.3648993936 41.1008841122)
"Sinclair, Rooney & Co. Building",Erie,02/02/2016,15NR00090,-78.8724782159,42.8867619667,POINT (-78.8724782159 42.8867619667)
Onondaga County War Memorial,Onondaga,12/19/1988,90NR02127,-76.1481781689,43.0449087124,POINT (-76.1481781689 43.0449087124)
Vosburg Turning Mill Complex,Ulster,10/10/2002,02NR01927,-74.1591266864,42.0704850588,POINT (-74.1591266864 42.0704850588)
Feuchtwanger Stable,Kings,03/20/1986,90NR01265,-73.9724721252,40.6928296145,POINT (-73.9724721252 40.6928296145)
Lock 18 of Enlarged Erie Canal,Albany,02/18/1971,90NR02827,-73.7115122871,42.7848258656,POINT (-73.7115122871 42.7848258656)
"Hilton Avenue, Building at 48",Nassau,11/14/1978,91NR00231,-73.6382017011,40.7223595637,POINT (-73.6382017011 40.7223595637)
By-the-Harbor,Suffolk,08/09/1993,91NR00121,-73.1802046528,40.8918896261,POINT (-73.1802046528 40.8918896261)
520 Hostageh Road,Cattaraugus,02/20/2009,08NR05964,-78.4715039698,42.0153614028,POINT (-78.4715039698 42.0153614028)
Wellman Building,Chautauqua,08/21/2009,09NR06012,-79.2426939087,42.0958118255,POINT (-79.2426939087 42.0958118255)
Queen's Castle,Seneca,06/01/1999,99NR01432,-76.881563764,42.5516296941,POINT (-76.881563764 42.5516296941)
