Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Lent Homestead and Cemetery,Queens,02/02/1984,90NR01565,-73.8921769241,40.7732895078,POINT (-73.8921769241 40.7732895078)
Emmanuel Lutheran Church of Harlemville and Cemetery,Columbia,01/24/2002,01NR01797,-73.581182432,42.2654768348,POINT (-73.581182432 42.2654768348)
Copake United Methodist Church and Copake Cemetery,Columbia,06/27/2007,07NR05730,-73.5511095771,42.1050065751,POINT (-73.5511095771 42.1050065751)
Cold Spring Cemetery Gatehouse,Putnam,11/23/1982,90NR02389,-73.9444029913,41.4221833393,POINT (-73.9444029913 41.4221833393)
First Congregational Church and Cemetery,Essex,01/05/2005,04NR05332,-73.5678300776,44.2758366192,POINT (-73.5678300776 44.2758366192)
Scotchtown Cemetery,Chemung,12/23/2009,08NR05846,-76.6987849896,42.1767433502,POINT (-76.6987849896 42.1767433502)
Beekman Meeting House and Friends' Cemetery,Dutchess,04/27/1989,90NR00564,-73.7662067459,41.6328893566,POINT (-73.7662067459 41.6328893566)
"West Delhi Presbyterian Church, Manse and Cemetery",Delaware,11/07/2008,08NR05892,-75.0077191766,42.3002048516,POINT (-75.0077191766 42.3002048516)
Glens Falls Cemetery,Warren,07/28/2004,01NR01814,-73.6533209627,43.3216305289,POINT (-73.6533209627 43.3216305289)
New York Marble Cemetery,New York,09/17/1980,90NR00850,-73.9909468531,40.7256192547,POINT (-73.9909468531 40.7256192547)
Shepards Settlement Cemetery,Onondaga,11/29/2010,10NR06144,-76.3948963735,42.995047308,POINT (-76.3948963735 42.995047308)
Moravia Union Cemetery,Cayuga,11/07/1995,95NR00879,-76.4173454117,42.7019569649,POINT (-76.4173454117 42.7019569649)
Vale Cemetery and Vale Park,Schenectady,09/24/2004,04NR05214,-73.9285922434,42.8081432029,POINT (-73.9285922434 42.8081432029)
African-American Cemetery,Orange,08/16/1996,96NR01032,-74.254238768,41.5050892345,POINT (-74.254238768 41.5050892345)
