Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Hertlein and Schlatter Silk Trimmings Factory,Bronx,02/05/2001,00NR01719,-73.9159434037,40.8142394996,POINT (-73.9159434037 40.8142394996)
Jewett Refrigerator Company Factory,Erie,11/09/2018,18NR00064,-78.8899708696,42.9429272037,POINT (-78.8899708696 42.9429272037)
"Searle, Gardner & Company Cuff and Collar Factory",Rensselaer,01/15/2014,13NR06482,-73.6837687259,42.7463474635,POINT (-73.6837687259 42.7463474635)
Keith & Branch Ford Factory & Showroom,Essex,05/28/2013,13NR06436,-73.7752568609,44.3362899028,POINT (-73.7752568609 44.3362899028)
Pilgrim Furniture Company Factory,Ulster,05/04/2018,18NR00003,-74.0073524815,41.9256897813,POINT (-74.0073524815 41.9256897813)
FN Burt Company Factory,Erie,03/06/2013,12NR06403,-78.8571327577,42.8776806843,POINT (-78.8571327577 42.8776806843)
Pierce Arrow Factory Complex,Erie,10/01/1974,90NR01237,-78.8738284494,42.9429521535,POINT (-78.8738284494 42.9429521535)
George J. Michelsen Furniture Factory,Monroe,06/06/2012,11NR06295,-77.6196627296,43.1805482043,POINT (-77.6196627296 43.1805482043)
"Herschell, Allan, Carousel Factory",Niagara,04/18/1985,90NR01971,-78.8729820477,43.0299457259,POINT (-78.8729820477 43.0299457259)
Morganville Pottery Factory Site,Genesee,02/15/1974,90NR00523,-78.0747008629,43.0053564362,POINT (-78.0747008629 43.0053564362)
Welch Factory Building No. 1,Chautauqua,09/26/1983,90NR00128,-79.5814825326,42.3266270311,POINT (-79.5814825326 42.3266270311)
Yale-Cady Octagon House & Yale Lock Factory Site,Herkimer,09/29/2007,07NR05758,-75.0182082077,43.1914909932,POINT (-75.0182082077 43.1914909932)
Oval Wood Dish Factory,Franklin,03/02/2021,20NR00096,-74.4681328968,44.2362677962,POINT (-74.4681328968 44.2362677962)
Sohmer Piano Factory,Queens,02/14/2014,13NR06495,-73.9351041345,40.7690352578,POINT (-73.9351041345 40.7690352578)
MerrellΓÇôSoule None Such Mince Meat Factory,Onondaga,03/30/2020,19NR00033,-76.1570372132,43.0577115037,POINT (-76.1570372132 43.0577115037)
Sibley & Holmwood Candy Factory and the Witkop & Holmes Headquarters,Erie,07/11/2014,13NR06496,-78.8701129859,42.880529977,POINT (-78.8701129859 42.880529977)
Spear & Company Factory,Queens,11/09/2017,17NR00060,-73.8430437799,40.6887231931,POINT (-73.8430437799 40.6887231931)
Rockwood Chocolate Factory Historic District,Kings,10/06/1983,90NR01322,-73.9680712706,40.6966941594,POINT (-73.9680712706 40.6966941594)
