Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Farmers' and Merchants' Bank/Geneva Saving Bank,Ontario,02/28/2008,07NR05810,-76.9836271306,42.8674661403,POINT (-76.9836271306 42.8674661403)
Sawyer Farmhouse,Orange,06/30/2005,04NR05386,-74.3794870134,41.3749015883,POINT (-74.3794870134 41.3749015883)
Balloon Farm,Herkimer,04/23/1998,96NR00965,-75.0789872191,43.0405655889,POINT (-75.0789872191 43.0405655889)
Cornell Farmhouse,Queens,07/24/1979,90NR01581,-73.7205875433,40.7482747634,POINT (-73.7205875433 40.7482747634)
Farmer's National Bank & W.H. Hughes Slate Company Office,Washington,06/13/2014,14NR06536,-73.2606015405,43.4078159367,POINT (-73.2606015405 43.4078159367)
Chappell Farmhouse,Madison,11/02/1987,90NR01405,-75.8563903349,42.9477621986,POINT (-75.8563903349 42.9477621986)
"Davis, Phineas, Farmstead",Oswego,06/20/1991,91NR00022,-76.2270239356,43.464853347,POINT (-76.2270239356 43.464853347)
Hallock-Bilunas Farmstead,Suffolk,04/18/2003,02NR04929,-72.5914684609,40.9783454374,POINT (-72.5914684609 40.9783454374)
MacDonald Farm,Delaware,04/03/1973,90NR00278,-74.8621615749,42.3543377854,POINT (-74.8621615749 42.3543377854)
"Tuthill, David, Farmstead",Suffolk,11/23/1984,90NR01897,-72.482395258,41.0068854798,POINT (-72.482395258 41.0068854798)
Loomis Family Farm,Chenango,06/13/2014,14NR06534,-75.6623469913,42.4242649344,POINT (-75.6623469913 42.4242649344)
Woodlawn Farm,Orange,04/11/2008,07NR05823,-74.4770102218,41.3931434751,POINT (-74.4770102218 41.3931434751)
Treadwell Farm Historic District,New York,05/27/2004,91NR00274,-73.9643262633,40.7626168983,POINT (-73.9643262633 40.7626168983)
"Peck, Thomas, Farmhouse",Livingston,08/31/1989,90NR01367,-77.5722793301,42.909954717,POINT (-77.5722793301 42.909954717)
French Family Farm,St. Lawrence,11/04/1982,90NR02560,-75.0717680619,44.6392060433,POINT (-75.0717680619 44.6392060433)
Taber-Marvin Farm,Rensselaer,11/02/2016,16NR00059,-73.5806557174,42.5822014792,POINT (-73.5806557174 42.5822014792)
Colden Hill Farm,Orange,09/18/2020,20NR00065,-74.1302078324,41.540380948,POINT (-74.1302078324 41.540380948)
Bates Cobblestone Farmhouse,Yates,05/11/1992,92NR00311,-77.2733056853,42.7596221198,POINT (-77.2733056853 42.7596221198)
Rowe-Lant Farm,Columbia,03/23/2010,09NR06038,-73.535488283,42.4054357672,POINT (-73.535488283 42.4054357672)
"Pelton, Gideon, Farm",Orange,11/03/1995,95NR00885,-74.2390671455,41.5060799765,POINT (-74.2390671455 41.5060799765)
Belcher-Holden Farm,Tioga,12/15/1997,97NR01269,-76.204615248,42.1908044677,POINT (-76.204615248 42.1908044677)
Blinn-Pulver Farmhouse,Columbia,02/12/2003,02NR04987,-73.6031963847,42.3491871854,POINT (-73.6031963847 42.3491871854)
Pine View Farm,Columbia,06/06/2002,02NR01902,-73.5033321918,42.2160952464,POINT (-73.5033321918 42.2160952464)
LaGrange Farmstead,Albany,12/07/2005,05NR05446,-73.8818277994,42.6540174574,POINT (-73.8818277994 42.6540174574)
Brush Farmstead,Suffolk,09/26/1985,02NR04972,-73.3750443439,40.867604717,POINT (-73.3750443439 40.867604717)
Normanskill Farm,Albany,04/05/2019,16NR00122,-73.7997869372,42.6371171273,POINT (-73.7997869372 42.6371171273)
"Lansing, John V. A., Farmhouse & Billsen Cemetery & Archeol. Site",Albany,10/03/1985,90NR02779,-73.8521476878,42.752211406,POINT (-73.8521476878 42.752211406)
Morgan Cobblestone Farmhouse,Livingston,08/31/1989,90NR01364,-77.6312512572,42.9015956727,POINT (-77.6312512572 42.9015956727)
Greenvale Farm,Dutchess,02/14/2017,15NR00023,-73.8796815526,41.6699878927,POINT (-73.8796815526 41.6699878927)
Thayer Farmstead,Oswego,11/14/1991,91NR00029,-76.2261696513,43.4530122457,POINT (-76.2261696513 43.4530122457)
Cornell-Manchester Farmstead,Rensselaer,10/03/2012,12NR06360,-73.4355064396,42.8741250511,POINT (-73.4355064396 42.8741250511)
