Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Reed Memorial Library,Putnam,03/28/1980,90NR02358,-73.6780354299,41.4219513967,POINT (-73.6780354299 41.4219513967)
Third Judicial District Courthouse (Jefferson Market Library),New York,11/09/1972,90NR00906,-73.999163487,40.7346157896,POINT (-73.999163487 40.7346157896)
Frick Collection and Frick Art Reference Library Building,New York,,08NR05966,-73.9671853296,40.7712270291,POINT (-73.9671853296 40.7712270291)
"Sea Cliff Village Hall, Library and Museum Complex",Nassau,04/22/2005,04NR05240,-73.6471796563,40.8494422759,POINT (-73.6471796563 40.8494422759)
Skene Memorial Library,Delaware,05/30/2001,01NR01776,-74.5290444115,42.1567733318,POINT (-74.5290444115 42.1567733318)
Erwin Library and Pratt House,Oneida,08/14/1973,90NR02075,-75.3365718181,43.4836033756,POINT (-75.3365718181 43.4836033756)
Babylon Public Library,Suffolk,08/10/2015,15NR00035,-73.3252965328,40.6962360896,POINT (-73.3252965328 40.6962360896)
"Flower, Roswell P., Memorial Library",Jefferson,01/10/1980,90NR01151,-75.9102995377,43.9729964281,POINT (-75.9102995377 43.9729964281)
Your Home Library,Broome,10/05/2005,05NR05451,-75.9492429255,42.1132379269,POINT (-75.9492429255 42.1132379269)
Morton Memorial Library,Dutchess,07/09/1987,90NR00341,-73.9511509264,41.9189125355,POINT (-73.9511509264 41.9189125355)
Kingston City Library (Carnegie Library),Ulster,12/07/1995,95NR00886,-73.9959454962,41.9262819285,POINT (-73.9959454962 41.9262819285)
Cortland Free Library,Cortland,05/30/2008,07NR05818,-76.1783034576,42.5997477867,POINT (-76.1783034576 42.5997477867)
Gloversville Free Library,Fulton,05/24/1976,90NR00515,-74.3429948019,43.0504569656,POINT (-74.3429948019 43.0504569656)
Hepburn Library of Colton,St. Lawrence,05/16/2012,12NR06309,-74.9389669711,44.5530331968,POINT (-74.9389669711 44.5530331968)
Morrisville Public Library,Madison,10/05/2005,04NR05252,-75.6426324608,42.8992108521,POINT (-75.6426324608 42.8992108521)
Wells Memorial Library,Essex,05/18/2011,03NR05186,-73.7735919503,44.3378678772,POINT (-73.7735919503 44.3378678772)
New York Public Library,New York,10/15/1966,90NR00873,-73.9822674548,40.7532116808,POINT (-73.9822674548 40.7532116808)
Glen Haven District No. 4 School and Public Library,Cortland,05/23/1997,97NR01181,-76.2673318572,42.7608473498,POINT (-76.2673318572 42.7608473498)
Richmond Memorial Library,Genesee,07/24/1974,90NR00527,-78.1769057241,42.9977826766,POINT (-78.1769057241 42.9977826766)
Belmont Free Library,Allegany,07/05/2003,02NR05034,-78.0355053836,42.2236016604,POINT (-78.0355053836 42.2236016604)
Niagara Falls Public Library,Niagara,06/05/1974,90NR01965,-79.0542379559,43.0988873481,POINT (-79.0542379559 43.0988873481)
Fairport Public Library,Monroe,12/08/2017,16NR00067,-77.4442518463,43.1004093802,POINT (-77.4442518463 43.1004093802)
New York Public Library and Bryant Park,New York,05/06/1980,90NR00874,-73.9829651745,40.7535049141,POINT (-73.9829651745 40.7535049141)
Newark Valley Municipal Building and Tappan-Spaulding Memorial Library,Tioga,11/01/2006,06NR05570,-76.1831118187,42.2230267954,POINT (-76.1831118187 42.2230267954)
Black Watch Library,Essex,11/15/1988,90NR00477,-73.4253351282,43.8489422664,POINT (-73.4253351282 43.8489422664)
Hepburn Library of Lisbon,St. Lawrence,08/22/2016,16NR00050,-75.3207747938,44.725170305,POINT (-75.3207747938 44.725170305)
Portville Free Library,Cattaraugus,11/07/1991,90NR03283,-78.3403631121,42.0391228208,POINT (-78.3403631121 42.0391228208)
North Park Branch Library,Erie,11/09/2018,17NR00068,-78.8680767495,42.9480941663,POINT (-78.8680767495 42.9480941663)
Howland Library,Dutchess,05/07/1973,90NR00436,-73.9648807296,41.5017503758,POINT (-73.9648807296 41.5017503758)
Troy Public Library,Rensselaer,01/17/1973,90NR00971,-73.6919181703,42.7279853125,POINT (-73.6919181703 42.7279853125)
Solvay Public Library,Onondaga,10/31/2007,07NR05719,-76.207059642,43.0576996608,POINT (-76.207059642 43.0576996608)
