Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
United States Post Office-Port Jervis,Orange,05/11/1989,90NR02325,-74.6920694979,41.3750414314,POINT (-74.6920694979 41.3750414314)
United States Post Office-Angola,Erie,11/17/1988,90NR01257,-79.0280674032,42.6398392332,POINT (-79.0280674032 42.6398392332)
United States Post Office-Middleport,Niagara,05/11/1989,90NR01981,-78.4769259772,43.2112088082,POINT (-78.4769259772 43.2112088082)
Old New York Evening Post Building,New York,08/16/1977,90NR00808,-74.0095269228,40.7120573254,POINT (-74.0095269228 40.7120573254)
Old Post Office--Oneonta,Otsego,11/17/1978,90NR02184,-75.0601845208,42.4550200411,POINT (-75.0601845208 42.4550200411)
O'Brien General Store and Post Office,Dutchess,07/09/1987,90NR00342,-73.9511674796,41.9197959738,POINT (-73.9511674796 41.9197959738)
"U.S. Federal Post Office, Court House and Custom House",Oneida,,15NR00081,-75.2261134742,43.1031171974,POINT (-75.2261134742 43.1031171974)
Old Post Office,Steuben,12/08/1997,97NR01248,-77.6616706202,42.3290944242,POINT (-77.6616706202 42.3290944242)
United States Post Office-Newark,Wayne,05/11/1989,90NR02282,-77.0949247831,43.0437902684,POINT (-77.0949247831 43.0437902684)
United States Post Office-Lyons,Wayne,05/11/1989,90NR02285,-76.9930953674,43.0626877402,POINT (-76.9930953674 43.0626877402)
United States Post Office-Lancaster,Erie,05/11/1989,90NR01250,-78.671301781,42.9005348881,POINT (-78.671301781 42.9005348881)
United States Post Office-Cooperstown,Otsego,11/17/1988,90NR02191,-74.9231397724,42.7005077153,POINT (-74.9231397724 42.7005077153)
United States Post Office-Madison Square Station,New York,05/11/1989,90NR00717,-73.9835857442,40.7395574828,POINT (-73.9835857442 40.7395574828)
United States Post Office-Dunkirk,Chautauqua,11/17/1988,90NR00113,-79.3338695063,42.4825873796,POINT (-79.3338695063 42.4825873796)
United States Post Office-Long Beach,Nassau,05/11/1989,90NR01716,-73.6607724053,40.5889424454,POINT (-73.6607724053 40.5889424454)
United States Post Office-Riverhead,Suffolk,05/11/1989,90NR01877,-72.6635755577,40.9183004014,POINT (-72.6635755577 40.9183004014)
Saint Paul's Armenian Apostolic Church (Park Avenue Methodist Church),Onondaga,06/09/2010,10NR06088,-76.1703608144,43.0516897806,POINT (-76.1703608144 43.0516897806)
United States Post Office-Corning,Steuben,11/17/1988,90NR02018,-77.0572526264,42.1428579473,POINT (-77.0572526264 42.1428579473)
United States Post Office-Frankfort,Herkimer,05/11/1989,90NR00598,-75.0707176106,43.0384983638,POINT (-75.0707176106 43.0384983638)
United States Post Office-Carthage,Jefferson,11/17/1988,90NR01158,-75.6073626103,43.980396168,POINT (-75.6073626103 43.980396168)
United States Post Office-New Rochelle,Westchester,05/11/1989,90NR02487,-73.7816698511,40.911707739,POINT (-73.7816698511 40.911707739)
United States Post Office-Haverstraw,Rockland,11/17/1988,90NR02412,-73.9607652679,41.1962604493,POINT (-73.9607652679 41.1962604493)
United States Post Office-Inwood Station,New York,05/11/1989,90NR00714,-73.9229290528,40.8661843292,POINT (-73.9229290528 40.8661843292)
United States Post Office-LeRoy,Genesee,05/11/1989,90NR00530,-77.9891144573,42.9780469591,POINT (-77.9891144573 42.9780469591)
United States Post Office-Oyster Bay,Nassau,05/11/1989,90NR01724,-73.5331410561,40.8740857652,POINT (-73.5331410561 40.8740857652)
United States Post Office-North Tonawanda,Niagara,05/11/1989,90NR01972,-78.873037825,43.0249926077,POINT (-78.873037825 43.0249926077)
Church of St. Paul the Apostle,New York,12/05/1991,91NR00098,-73.9851983845,40.7698115923,POINT (-73.9851983845 40.7698115923)
United States Post Office-Endicott,Broome,11/17/1988,94NR00703,-76.0484101488,42.1003525818,POINT (-76.0484101488 42.1003525818)
Bangall Post Office,Dutchess,05/19/2014,14NR06531,-73.6918376337,41.8757212615,POINT (-73.6918376337 41.8757212615)
United States Post Office-Goshen,Orange,05/11/1989,90NR02340,-74.3261630568,41.4023902882,POINT (-74.3261630568 41.4023902882)
United States Post Office-Watkins Glen,Schuyler,05/11/1989,90NR02204,-76.8722964938,42.3791208194,POINT (-76.8722964938 42.3791208194)
United States Post Office-Bay Shore,Suffolk,11/17/1988,90NR01874,-73.2467378866,40.7232903422,POINT (-73.2467378866 40.7232903422)
United States Post Office-Whitehall,Washington,05/11/1989,90NR02755,-73.4040030211,43.553687381,POINT (-73.4040030211 43.553687381)
U.S. Post Office-Buffalo (Buffalo and Erie Co. Community College,Erie,03/16/1972,90NR01212,-78.8725920873,42.8817633973,POINT (-78.8725920873 42.8817633973)
Platte Clove Post Office,Greene,06/30/2005,04NR05325,-74.0881570319,42.1341939123,POINT (-74.0881570319 42.1341939123)
United States Post Office-Attica,Wyoming,11/17/1988,90NR02042,-78.2808545081,42.8637309467,POINT (-78.2808545081 42.8637309467)
United States Post Office-Flatbush Station,Kings,11/17/1988,90NR01337,-73.9564196066,40.6509532077,POINT (-73.9564196066 40.6509532077)
United States Post Office-Northport,Suffolk,05/11/1989,91NR00103,-73.3469773659,40.9006157573,POINT (-73.3469773659 40.9006157573)
First Baptist Church of Painted Post,Steuben,02/05/1999,99NR01434,-77.0942327201,42.1583463075,POINT (-77.0942327201 42.1583463075)
U.S. General Post Office,New York,01/29/1973,90NR00614,-73.9958379579,40.7515286125,POINT (-73.9958379579 40.7515286125)
United States Post Office-Delmar,Albany,11/17/1988,94NR00700,-73.8320141723,42.6228810295,POINT (-73.8320141723 42.6228810295)
United States Post Office-Johnstown,Fulton,05/11/1989,90NR00517,-74.3738078525,43.0071589952,POINT (-74.3738078525 43.0071589952)
United States Post Office-Rye,Westchester,05/11/1989,90NR02517,-73.6826748842,40.9847053477,POINT (-73.6826748842 40.9847053477)
United States Post Office-Saratoga Springs,Saratoga,05/11/1989,90NR02605,-73.7852041297,43.0835725831,POINT (-73.7852041297 43.0835725831)
United States Post Office-Seneca Falls,Seneca,05/11/1989,90NR02215,-76.7978468324,42.9116331286,POINT (-76.7978468324 42.9116331286)
United States Post Office-Cortland,Cortland,11/17/1988,90NR00268,-76.1807880612,42.5983878803,POINT (-76.1807880612 42.5983878803)
United States Post Office-Peekskill,Westchester,05/11/1989,90NR02500,-73.9230828515,41.2895771441,POINT (-73.9230828515 41.2895771441)
United States Post Office-Canandaigua,Ontario,11/17/1988,90NR02006,-77.282400108,42.8884310719,POINT (-77.282400108 42.8884310719)
United States Post Office-Scotia Station,Schenectady,05/11/1989,90NR02667,-73.9661901004,42.8275811623,POINT (-73.9661901004 42.8275811623)
