Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Magen David Synagogue,Kings,04/15/2004,03NR05162,-73.9861438443,40.6151417208,POINT (-73.9861438443 40.6151417208)
Beth Joseph Synagogue,Franklin,09/01/1988,90NR00507,-74.4651039421,44.2248920068,POINT (-74.4651039421 44.2248920068)
Temple of Israel Synagogue,Queens,02/05/2014,13NR06491,-73.8093903902,40.5872367724,POINT (-73.8093903902 40.5872367724)
Eldridge Street Synagogue,New York,03/28/1980,90NR00642,-73.9934634977,40.7147368048,POINT (-73.9934634977 40.7147368048)
Free Synagogue of Flushing,Queens,10/16/2009,09NR06004,-73.8280951407,40.7573149277,POINT (-73.8280951407 40.7573149277)
Bikur Cholim B'nai Israel Synagogue,Sullivan,01/15/1999,99NR01448,-74.7990822224,41.7151203673,POINT (-74.7990822224 41.7151203673)
Hunter Synagogue,Greene,12/09/1999,99NR01559,-74.2156017102,42.210707438,POINT (-74.2156017102 42.210707438)
First Roumanian-American Congregation Synagogue,New York,03/12/1998,98NR01290,-73.9888336562,40.7200129674,POINT (-73.9888336562 40.7200129674)
Chevro Ahavath Zion Synagogue,Sullivan,01/26/1999,99NR01445,-74.6763037996,41.6283802021,POINT (-74.6763037996 41.6283802021)
Beth David Synagogue,Dutchess,04/08/2002,02NR01903,-73.5524651744,41.8502688695,POINT (-73.5524651744 41.8502688695)
Loch Sheldrake Synagogue,Sullivan,08/12/1997,97NR01224,-74.6576060318,41.7706746929,POINT (-74.6576060318 41.7706746929)
Kol Israel Synagogue,Kings,12/02/2009,09NR06022,-73.9581927121,40.6728850452,POINT (-73.9581927121 40.6728850452)
Beth Hamedrash Hagodol Synagogue,New York,11/30/1999,99NR01552,-73.987775271,40.7170377495,POINT (-73.987775271 40.7170377495)
Hebrew Congregation of Mountaindale Synagogue,Sullivan,05/30/2001,00NR01704,-74.5302796184,41.6884967123,POINT (-74.5302796184 41.6884967123)
Mt. Neboh Synagogue (DEMOLISHED),New York,,94NR00591,-73.9768761527,40.7822325705,POINT (-73.9768761527 40.7822325705)
Ulster Heights Synagogue,Ulster,02/19/2001,01NR01749,-74.517290398,41.7804998984,POINT (-74.517290398 41.7804998984)
Anshe Glen Wild Synagogue,Sullivan,01/15/1999,99NR01444,-74.5885918201,41.6503209259,POINT (-74.5885918201 41.6503209259)
Congregation Bnai Israel Synagogue,Delaware,11/21/2002,02NR04909,-74.5331803701,42.1555383997,POINT (-74.5331803701 42.1555383997)
B'nai Israel Synagogue,Sullivan,01/15/1999,99NR01446,-74.6019223419,41.7581669624,POINT (-74.6019223419 41.7581669624)
Congregation Tifereth Yehuda Veyusroel Synagogue,Ulster,08/27/2013,13NR06459,-74.2964071481,41.7714195161,POINT (-74.2964071481 41.7714195161)
Bialystoker Synagogue,New York,04/26/1972,90NR00685,-73.9833120715,40.7155584945,POINT (-73.9833120715 40.7155584945)
Central Synagogue,New York,10/09/1970,90NR00862,-73.9705523536,40.7595900727,POINT (-73.9705523536 40.7595900727)
Spring Glen Synagogue,Ulster,01/15/1999,99NR01449,-74.4287966739,41.6666808734,POINT (-74.4287966739 41.6666808734)
Chevra Linas Hazedek Synagogue,Bronx,11/19/2014,14NR06581,-73.8771175092,40.8266954852,POINT (-73.8771175092 40.8266954852)
Ohave Shalom Synagogue,Sullivan,11/22/2000,00NR01702,-74.5723297281,41.7108692845,POINT (-74.5723297281 41.7108692845)
Kehila Kedosha Janina Synagogue,New York,11/30/1999,99NR01516,-73.9911747431,40.718596174,POINT (-73.9911747431 40.718596174)
Old Broadway Synagogue,New York,01/11/2002,01NR01808,-73.9570719497,40.8152313072,POINT (-73.9570719497 40.8152313072)
Tifereth Israel Anshei Parksville Synagogue,Sullivan,08/12/1999,99NR01524,-74.7624255617,41.8580647595,POINT (-74.7624255617 41.8580647595)
Agudas Achim Synagogue,Sullivan,11/19/1998,98NR01413,-74.8240552049,41.9009530204,POINT (-74.8240552049 41.9009530204)
Shaari Zedek Synagogue,Kings,12/04/2009,09NR06024,-73.9308940245,40.6864762932,POINT (-73.9308940245 40.6864762932)
"Park East Synagogue, Congregation Zichron Ephraim",New York,08/18/1983,90NR00810,-73.9633795549,40.7669996429,POINT (-73.9633795549 40.7669996429)
