Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Larzelere Tavern,Yates,12/19/1997,97NR01256,-77.1621369671,42.6268261707,POINT (-77.1621369671 42.6268261707)
Bodine's Tavern,Orange,05/31/2016,15NR00072,-74.2655052048,41.5021709643,POINT (-74.2655052048 41.5021709643)
Smith Tavern,Westchester,09/15/1983,90NR02452,-73.6937459661,41.1264422916,POINT (-73.6937459661 41.1264422916)
Arthur Tavern,Oswego,11/14/1991,91NR00019,-76.24933536,43.4952258961,POINT (-76.24933536 43.4952258961)
Brown's Tavern,Washington,09/22/2000,00NR01641,-73.4096863349,43.3446727341,POINT (-73.4096863349 43.3446727341)
"Van Buren, John, Tavern",Oswego,11/03/1988,90NR02143,-76.428143306,43.3596664068,POINT (-76.428143306 43.3596664068)
Sarles' Tavern - Granite House,Westchester,12/31/1979,90NR02450,-73.7983999662,41.192094526,POINT (-73.7983999662 41.192094526)
Apple Tavern,Albany,11/10/1982,90NR01679,-73.9859170852,42.7098799779,POINT (-73.9859170852 42.7098799779)
Swart House and Tavern,Schenectady,01/04/2007,06NR05670,-74.0500276588,42.886898912,POINT (-74.0500276588 42.886898912)
Fraunces Tavern,New York,03/06/2008,07NR05804,-74.0113499926,40.7034070927,POINT (-74.0113499926 40.7034070927)
Jenning's Tavern (Patterson Inn),Steuben,09/20/1973,90NR02016,-77.0635566851,42.1516419271,POINT (-77.0635566851 42.1516419271)
Jug Tavern,Westchester,06/07/1976,90NR02502,-73.8640497985,41.1448430103,POINT (-73.8640497985 41.1448430103)
Grooms Tavern Complex,Saratoga,02/10/2000,00NR01576,-73.8445461089,42.8347402548,POINT (-73.8445461089 42.8347402548)
"Haviland's, Widow, Tavern",Westchester,04/16/1974,90NR02512,-73.684402923,40.9819193434,POINT (-73.684402923 40.9819193434)
Brick Tavern Stand,Schuyler,11/04/1994,94NR00739,-76.8448468731,42.3477107003,POINT (-76.8448468731 42.3477107003)
Valleau Tavern,Sullivan,11/27/1992,92NR00378,-75.0531249798,41.7101706879,POINT (-75.0531249798 41.7101706879)
Drover's Tavern,Onondaga,04/18/2003,02NR04947,-75.9162808793,42.967529604,POINT (-75.9162808793 42.967529604)
Fraunces Tavern Block,New York,04/28/1977,90NR00689,-74.0110486644,40.7033666686,POINT (-74.0110486644 40.7033666686)
Walling Cobblestone Tavern,Wayne,03/17/1994,92NR00422,-77.0118761352,43.2219619615,POINT (-77.0118761352 43.2219619615)
Steenburg Tavern,Dutchess,07/09/1987,90NR00353,-73.9087096857,41.9101360604,POINT (-73.9087096857 41.9101360604)
Fuller's Tavern,Albany,11/10/1982,90NR01681,-73.9570677321,42.7248911257,POINT (-73.9570677321 42.7248911257)
Nellis Tavern,Montgomery,05/10/1990,91NR00035,-74.6587432477,42.9935318574,POINT (-74.6587432477 42.9935318574)
"Bristol, Amos, Tavern",Delaware,12/13/2000,00NR01689,-75.0139134216,42.3481039485,POINT (-75.0139134216 42.3481039485)
Richardson's Tavern,Monroe,05/06/1980,90NR01457,-77.4765338508,43.0623749591,POINT (-77.4765338508 43.0623749591)
