Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
U.S. Military Academy,Orange,10/15/66,90NR02302,-73.97242505,41.39479172,POINT (-73.972425049 41.3947917163),academy
Bellport Academy,Suffolk,7/4/80,96NR01016,-72.93805397,40.75401913,POINT (-72.9380539746 40.7540191326),academy
Warsaw Academy,Wyoming,1/3/80,90NR02039,-78.133123,42.73874949,POINT (-78.1331230014 42.738749494),academy
Academy Street Historic District,Dutchess,11/26/82,90NR00380,-73.92822921,41.69675909,POINT (-73.9282292117 41.6967590876),academy
Riga Academy,Monroe,11/21/80,90NR01459,-77.87962829,43.06906605,POINT (-77.8796282881 43.0690660469),academy
Lansingburgh Academy,Rensselaer,10/14/76,90NR00996,-73.67569494,42.77319896,POINT (-73.6756949359 42.7731989629),academy
Erasmus Hall Academy,Kings,11/11/75,90NR01334,-73.9571674,40.64960698,POINT (-73.9571674011 40.6496069801),academy
Brooklyn Academy of Music,Kings,5/2/06,05NR05534,-73.97769895,40.68647104,POINT (-73.9776989529 40.6864710427),academy
Mexico Academy and Central School,Oswego,11/14/91,91NR00025,-76.23446839,43.46053463,POINT (-76.2344683858 43.4605346318),academy
Middlebury Academy,Wyoming,1/17/73,90NR02043,-78.08941312,42.82750983,POINT (-78.0894131239 42.8275098338),academy
St. Mary's Academy,Warren,9/29/84,90NR02730,-73.64231018,43.31014627,POINT (-73.6423101847 43.3101462735),academy
Albany Academy,Albany,2/18/71,90NR02804,-73.75499338,42.65302767,POINT (-73.7549933762 42.6530276731),academy
Union Street-Academy Hill Historic District,Orange,11/21/80,90NR02354,-74.23810298,41.52498837,POINT (-74.2381029846 41.5249883738),academy
Spencertown Academy,Columbia,4/3/73,90NR00210,-73.54344859,42.32224811,POINT (-73.5434485889 42.3222481129),academy
United States Merchant Marine Academy Historic District,Nassau,8/29/14,15NR00146,-73.76204488,40.81174407,POINT (-73.762044879 40.8117440671),academy
St. Walburga's Academy,New York,7/28/04,03NR05194,-73.95449646,40.82424613,POINT (-73.9544964573 40.8242461278),academy
Ames Academy Building,Montgomery,1/24/02,01NR01836,-74.59962225,42.83752884,POINT (-74.5996222541 42.8375288444),academy
Clermont Academy,Columbia,10/7/83,90NR00225,-73.82559642,42.08680955,POINT (-73.8255964192 42.0868095462),academy
D'Youville Academy,Clinton,11/12/82,90NR00183,-73.45792246,44.69975305,POINT (-73.4579224575 44.6997530533),academy
Mendon Cobblestone Academy,Monroe,11/29/96,96NR01086,-77.50464167,42.99683722,POINT (-77.5046416734 42.9968372222),academy
New York Cancer Hospital,New York,4/29/77,90NR00690,-73.96077238,40.79788855,POINT (-73.9607723762 40.7978885487),hospital
Utica State Hospital,Oneida,10/26/71,90NR02054,-75.25315488,43.10500739,POINT (-75.2531548752 43.1050073948),hospital
"Rogers, Will, Memorial Hospital",Essex,9/8/83,90NR00475,-74.11409617,44.31086729,POINT (-74.1140961741 44.3108672945),hospital
BATAVIA VETERANS ADMINISTRATION HOSPITAL,Genesee,3/27/12,12NR06329,-78.19845993,43.0126826,POINT (-78.1984599334 43.0126825983),hospital
Old Troy Hospital,Rensselaer,10/25/73,90NR00997,-73.68323303,42.73171498,POINT (-73.6832330336 42.7317149815),hospital
Triboro Hospital for Tuberculosis,Queens,1/31/19,18NR00080,-73.80754374,40.71756971,POINT (-73.8075437432 40.7175697107),hospital
Seaview Hospital,Richmond,9/7/05,04NR05341,-74.13232647,40.59149314,POINT (-74.1323264712 40.5914931361),hospital
St. Luke's Hospital,New York,5/20/19,19NR00003,-73.96125328,40.80501017,POINT (-73.961253283 40.8050101709),hospital
