Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
Erasmus Hall Academy,Kings,11/11/75,90NR01334,-73.9571674,40.64960698,POINT (-73.9571674011 40.6496069801),academy
Brooklyn Academy of Music,Kings,5/2/06,05NR05534,-73.97769895,40.68647104,POINT (-73.9776989529 40.6864710427),academy
St. Walburga's Academy,New York,7/28/04,03NR05194,-73.95449646,40.82424613,POINT (-73.9544964573 40.8242461278),academy
New York Cancer Hospital,New York,4/29/77,90NR00690,-73.96077238,40.79788855,POINT (-73.9607723762 40.7978885487),hospital
Triboro Hospital for Tuberculosis,Queens,1/31/19,18NR00080,-73.80754374,40.71756971,POINT (-73.8075437432 40.7175697107),hospital
Seaview Hospital,Richmond,9/7/05,04NR05341,-74.13232647,40.59149314,POINT (-74.1323264712 40.5914931361),hospital
St. Luke's Hospital,New York,5/20/19,19NR00003,-73.96125328,40.80501017,POINT (-73.961253283 40.8050101709),hospital
City Hospital,New York,3/16/72,90NR00628,-73.95828967,40.7529402,POINT (-73.9582896717 40.7529402018),hospital
Smallpox Hospital,New York,3/16/72,90NR00633,-73.95958272,40.75160249,POINT (-73.9595827175 40.751602492),hospital
Gouverneur Hospital,New York,10/29/82,90NR00891,-73.9835845,40.71106097,POINT (-73.9835844964 40.7110609741),hospital
Society for the Lying-In Hospital,New York,8/30/83,90NR00818,-73.9836711,40.73475222,POINT (-73.9836710994 40.7347522214),hospital
Ottendorfer Public Library and Stuyvesant Polyclinic Hospital,New York,7/22/79,90NR00789,-73.98779974,40.72904301,POINT (-73.9877997447 40.7290430069),hospital
Eighth Regiment Armory (Kingsbridge Armory),Bronx,12/21/82,90NR00071,-73.89825145,40.86847843,POINT (-73.8982514516 40.8684784272),armory
Fort Washington Avenue (22nd Corps of Engineers) Armory,New York,3/2/95,94NR00545,-73.94129367,40.8421349,POINT (-73.9412936741 40.8421349045),armory
Seventh Regiment Armory,New York,4/14/75,90NR00657,-73.96551931,40.76725038,POINT (-73.9655193078 40.767250383),armory
Flushing Armory,Queens,3/23/95,95NR00781,-73.82893475,40.76314902,POINT (-73.8289347529 40.763149019),armory
Twenty-third Regiment Armory,Kings,5/6/80,90NR01277,-73.95382362,40.67843735,POINT (-73.9538236201 40.6784373483),armory
69TH Regiment Armory,New York,1/28/94,93NR00513,-73.98421774,40.7413652,POINT (-73.9842177449 40.7413652016),armory
Madison Avenue Facade of the Squadron A Armory,New York,3/24/72,90NR00637,-73.9547062,40.78616929,POINT (-73.954706204 40.7861692943),armory
