the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.12325538146878 40.628676850407686, -74.12357012115466 40.62855026769092, -74.12381705023218 40.62892517509227, -74.12352511312119 40.62904362839733, -74.12350296352706 40.62905275195169, -74.12325538146878 40.628676850407686)))",6,SI,230,33,752 Delafield Avenue,5002300033,752 Delafield Avenue,LP-00342,"Borough of Richmond Tax Map Block 230, Lot 33.",Designated,also known as the Scott-Edwards House,08/24/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0342.pdf,503.637256375,15112.003715
"MULTIPOLYGON (((-74.11931256613616 40.58076376567016, -74.11946990129351 40.580718259849114, -74.11961063497377 40.58067755648557, -74.11974649895619 40.58063826104255, -74.12043608077433 40.58043880973044, -74.12062707556908 40.58070318804172, -74.12065479420444 40.58074137180398, -74.11942139686813 40.58109873515333, -74.11926914513998 40.58077632354575, -74.11931256613616 40.58076376567016)))",18,SI,939,120,25 Boyle Street,5009390120,"New Dorp Light, Expanded Site",LP-00361E,"Borough of Richmond Tax Map Block 939, Lot 120.",Designated,,12/18/1973,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0361E.pdf,963.909173874,44473.9951032
"MULTIPOLYGON (((-74.07400854157191 40.61490578976084, -74.07425689485017 40.6152314003549, -74.07361666123815 40.61550508432242, -74.07353092148405 40.61540737411659, -74.0735058552651 40.61537123061988, -74.07337657307245 40.61517989572805, -74.07400854157191 40.61490578976084)))",38,SI,2966,32,420 Tompkins Avenue,5029660032,Garibaldi-Meucci Museum,LP-00377,"Borough of Richmond Tax Map Block 2966, Lot 32.",Designated,,05/25/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0377.pdf,679.027442011,27932.4109507
"MULTIPOLYGON (((-74.24809269514881 40.510898831847506, -74.24840755491537 40.51075104067756, -74.24844852303006 40.51079342742314, -74.2481336643343 40.510941218702456, -74.24809269514881 40.510898831847506)))",52,SI,8026,5,173 Main Street,5080260005,George Cunningham Store,LP-02229,"Borough of Staten Island, Tax Map Block 8026, Lot 5",Designated,,07/15/2008,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2229.pdf,243.94735743,1965.41260851
"MULTIPOLYGON (((-73.94256203484143 40.7457799952914, -73.94212064202652 40.74513877021005, -73.94274855919022 40.74485348381043, -73.94278596997377 40.74490783087728, -73.9432073102353 40.745519916651325, -73.94382646143683 40.74641933747496, -73.94373424176024 40.74645650679781, -73.94288974043626 40.74625605441308, -73.94256203484143 40.7457799952914)))",67,QN,83,1,25-10 Court Square,4000830001,"New York State Supreme Court, Queens County, Long Island City Branch",LP-00925,"Borough of Queens Tax Map Block 83, Lot 1.",Designated,,05/11/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0925.pdf,1580.14575678,114157.962664
"MULTIPOLYGON (((-73.95157852231183 40.74510697760478, -73.9516702460037 40.74483415988311, -73.9517583502335 40.74485128843803, -73.95185146099946 40.74486939066529, -73.951759855472 40.74514185918255, -73.95157852231183 40.74510697760478)))",68,QN,46,34,10-40 47th Avenue,4000460034,"Fire Engine Company 258, Hook and Ladder Company 115",LP-02200,"Borough of Queens Tax Map Block 46, Lot 34.",Designated,,06/20/2006,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2200.pdf,308.713787134,5313.87623182
"MULTIPOLYGON (((-73.94965846051797 40.754040124723936, -73.94982677123137 40.753845038781506, -73.94997932510573 40.75392339958787, -73.9498110134576 40.75411848484996, -73.94965846051797 40.754040124723936)))",69,QN,477,20,42-10 to 42-16 Vernon Boulevard,4004770020,New York Architectural Terra Cotta Company Building,LP-01304,"Borough of Queens Tax Map Block 477, Lot 20.",Designated,,08/24/1982,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1304.pdf,272.024557454,4335.39012915
"MULTIPOLYGON (((-73.90546709237275 40.77730561946396, -73.90569769996169 40.77716866002873, -73.90572816950895 40.77715056414062, -73.90583869994322 40.77727367491184, -73.90584419962833 40.77727980012366, -73.90579620589021 40.77730830413728, -73.90558895180877 40.77743139444776, -73.90546709237275 40.77730561946396)))",72,QN,828,90,southeast corner of 20th Road and 35th Street,4008280090,Lawrence Family Graveyard,LP-00136,"Borough of Queens Tax Map Block 828, Lot 90.",Designated,,04/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0136.pdf,295.387353025,5161.75815185
"MULTIPOLYGON (((-73.86530353643701 40.74605063683129, -73.86543450111314 40.74630640167744, -73.86526648634376 40.74635645807999, -73.86513551984616 40.746100693041846, -73.86530353643701 40.74605063683129)))",74,QN,1628,18,97-28 43rd Avenue,4016280018,"Fire Engine Company 289, Ladder Company 138",LP-02035,"Borough of Queens Tax Map Block 1628, Lot 18.",Designated,,06/22/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2035.pdf,300.000007308,4999.98163815
"MULTIPOLYGON (((-73.8525268832442 40.78402410885928, -73.85306784698308 40.78400338228454, -73.85310449399421 40.78456062491853, -73.85256342947119 40.78457988462157, -73.8525268832442 40.78402410885928)))",83,QN,4067,1,114-04 14th Road,4040670001,Poppenhusen Institute,LP-00662,"Borough of Queens Tax Map Block 4067, Lot 1.",Designated,,08/18/1970,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0662.pdf,706.01755558,30451.2601716
"MULTIPOLYGON (((-73.82372051962452 40.76379917191615, -73.82363220612005 40.76360457158402, -73.8242290447142 40.763444783016126, -73.82440713212692 40.76384159329645, -73.82381207056967 40.7640009055303, -73.82372051962452 40.76379917191615)))",91,QN,5012,60,"Weeping Beech Park, 37th Avenue between Parsons Boulevard and Bowne Street",4050120060,Weeping Beech Tree,LP-00142,"Borough of Queens Tax Map Block 5012, Lot 60.",Designated,,04/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0142.pdf,655.553956332,26734.5678725
"MULTIPOLYGON (((-73.77377836284235 40.76796938700249, -73.77386061558063 40.7681238799946, -73.77353867004298 40.768221237172156, -73.77346031753595 40.76806556385177, -73.77377836284235 40.76796938700249)))",92,QN,6169,21,35-34 Bell Boulevard,4061690021,35-34 Bell Boulevard,LP-02154,"Borough of Queens Tax Map Block 6169, Lot 21.",Designated,,10/19/2004,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2154.pdf,312.235012486,5792.42608238
"MULTIPOLYGON (((-73.76708784401494 40.76310027236949, -73.76716220367436 40.76348830453594, -73.76657412855096 40.76354736386792, -73.76648533343239 40.7632006839789, -73.76708784401494 40.76310027236949)))",93,QN,6290,100,216th Street at 42nd Avenue,4062900100,Lawrence Graveyard,LP-00630,"Borough of Queens Tax Map Block 6290, Lot 100.",Designated,,08/02/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0630.pdf,606.735557922,22727.5530283
"MULTIPOLYGON (((-73.79892713024829 40.70558070248603, -73.7989710788092 40.705565367855314, -73.79930968848953 40.70544722867993, -73.79941970299384 40.705630760547145, -73.79903714392242 40.70576423381516, -73.79892713024829 40.70558070248603)))",102,QN,9760,27,89-31 161st Street,4097600027,Jamaica Chamber of Commerce Building,LP-02386,"Borough of Queens Tax Map Block 9760, Lot 27",Designated,,10/26/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2386.pdf,380.355763163,8575.59826529
"MULTIPOLYGON (((-73.79936013979056 40.70520484697961, -73.79953415560281 40.7051425833712, -73.79987335045101 40.705021219716244, -73.7999501271108 40.705145027046626, -73.79943684581762 40.70532867974195, -73.79936013979056 40.70520484697961)))",104,QN,9757,23,90-04 161st Street,4097570023,Suffolk Title and Guarantee Company Build,LP-02088,"Borough of Queens Tax Map Block 9757, Lot 23.",Designated,,03/06/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2088.pdf,414.246631799,7843.03711689
"MULTIPOLYGON (((-73.79918204678764 40.70442426633694, -73.79914377226079 40.70435971104977, -73.79917352047246 40.70434906665153, -73.79915139778457 40.70431010693789, -73.79922970752813 40.704282088086416, -73.79938136702754 40.704227822795616, -73.79945310296382 40.704343508957635, -73.79918998425879 40.70443765371727, -73.79918204678764 40.70442426633694)))",106,QN,9757,8,90-33 160th Street,4097570008,La Casina,LP-01940,"Borough of Queens Tax Map Block 9757, Lot 8.",Designated,"also known as La Casino, now Jamaica Business Resource Center",01/30/1996,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1940.pdf,253.407768375,3595.71991318
"MULTIPOLYGON (((-73.79789255559272 40.70342548616851, -73.79800175440154 40.70338339511867, -73.79832233363113 40.70393636140116, -73.79808692093653 40.704024116211876, -73.79798796783832 40.70386765027484, -73.79813434446197 40.703810507413976, -73.79789255559272 40.70342548616851)))",107,QN,10101,11,161-04 Jamaica Avenue,4101010011,The Register,LP-00875,"Borough of Queens Tax Map Block 10101, Lot 11.",Designated,now the Jamaica Arts Center,11/12/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0875.pdf,591.168283558,9622.19067695
"MULTIPOLYGON (((-73.79683042702109 40.704154759876324, -73.79700274970298 40.70408221953191, -73.79722059312547 40.70438743470885, -73.79704739312554 40.704460344842346, -73.79683042702109 40.704154759876324)))",109,QN,10102,10,162-24 Jamaica Avenue,4101020010,J. Kurtz & Sons Store,LP-01132,"Borough of Queens Tax Map Block 10102, Lot 10.",Designated,,11/24/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1132.pdf,362.570742629,6926.8307518
