the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.98494095465908 40.741351135403, -73.9847661401892 40.741591633349, -73.98467204622068 40.741551738307265, -73.98449327100903 40.74179769147739, -73.98353129436985 40.7413921397537, -73.98388476243147 40.74090587448991, -73.98494095465908 40.741351135403)))",319,MN,881,6,68 Lexington Avenue,1008810006,Sixty-Ninth Regiment Armory,LP-01228,"Borough of Manhattan Tax Map Block 881, Lot 6.",Designated,,04/12/1983,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1228.pdf,1074.21305803,64686.6507814
"MULTIPOLYGON (((-73.980441813457 40.77303597183, -73.98062208666677 40.77278910418867, -73.98091381750595 40.77291234258744, -73.98101218769534 40.77295389724007, -73.98116915719555 40.77302020632045, -73.98098888775725 40.77326707480945, -73.980441813457 40.77303597183)))",402,MN,1118,52,56 West 66th Street,1011180052,First Battery Armory,LP-01670,"Borough of Manhattan Tax Map Block 1118, Lot 52.",Designated,"later the 102nd Medical Battalion Armory, now television studios",08/01/1989,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1670.pdf,552.441470169,17832.7483975
"MULTIPOLYGON (((-73.93612450718679 40.8179757398209, -73.93577582142848 40.818460231305636, -73.93430148612111 40.81783883863082, -73.93428694323859 40.81763506321691, -73.93452649561563 40.817302220060945, -73.93612450718679 40.8179757398209)))",563,MN,1740,17,2360 Fifth Avenue,1017400017,369th Regiment Armory,LP-01390,"Borough of Manhattan Tax Map Block 1740, Lot 17.",Designated,,05/14/1985,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1390.pdf,1386.24032268,100527.016629
"MULTIPOLYGON (((-73.96468480118442 40.767225311175515, -73.96505869194857 40.76671402095614, -73.96635093099322 40.76725891144325, -73.96597704709079 40.76777020581468, -73.96468480118442 40.767225311175515)))",713,MN,1401,1,643 Park Avenue,1014010001,Seventh Regiment Armory,LP-00417,"Borough of Manhattan Tax Map Block 1401, Lot 1.",Designated,,06/09/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0417.pdf,1244.90677777,87240.0959256
"MULTIPOLYGON (((-73.98397152270556 40.66307034984889, -73.98357033921327 40.663548104420215, -73.98187846883268 40.66273072285891, -73.98227966070937 40.66225297234159, -73.98397152270556 40.66307034984889)))",817,BK,1102,12,1402 8th Avenue,3011020012,14th Regiment Armory,LP-01965,"Borough of Brooklyn Tax Map Block 1102, Lot 12.",Designated,,04/14/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1965.pdf,1524.96539678,114845.766603
"MULTIPOLYGON (((-73.9547237794462 40.67833609747731, -73.95462777274533 40.67860691374732, -73.95453158393993 40.678878243149974, -73.9530789483607 40.67857572820018, -73.95295476996343 40.67796461976247, -73.9547237794462 40.67833609747731)))",876,BK,1199,15,1322 Bedford Avenue,3011990015,23rd Regiment Armory,LP-00950,"Borough of Brooklyn Tax Map Block 1199, Lot 15.",Designated,,03/08/1977,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0950.pdf,1356.59460961,95021.413017
"MULTIPOLYGON (((-73.90494347966369 40.828493802022074, -73.90485981666113 40.82843888925162, -73.90479146438398 40.82839402418345, -73.90472311219649 40.82834916087544, -73.90464986622266 40.828301085014694, -73.90469340403052 40.82826276349614, -73.90478973328547 40.8281779749625, -73.90470976371586 40.82812548295975, -73.90485032231251 40.828001763766764, -73.90499864919016 40.827871207033546, -73.90501000622564 40.827878660786126, -73.90508245845567 40.827926217082876, -73.90537277447741 40.82767223405143, -73.90593399745266 40.82802944974808, -73.90520868582259 40.828667874482235, -73.90494347966369 40.828493802022074)))",964,BX,2613,1,1122 Franklin Avenue,2026130001,Second Battery Armory,LP-01794,"Borough of The Bronx Tax Map Block 2613, Lot 1.",Designated,,06/02/1992,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1794.pdf,1078.33312691,65864.0869583
"MULTIPOLYGON (((-73.89941010884498 40.868426696003866, -73.89920800860479 40.868695224763705, -73.89941858184167 40.868789104412066, -73.89941762636525 40.86879261728841, -73.89941436819684 40.86880334467859, -73.8994126151836 40.86880868755436, -73.89940886842994 40.868819322668585, -73.89940479793779 40.86882989086424, -73.89940264174038 40.868835146040915, -73.89939322129035 40.868855969746726, -73.89939066786125 40.86886112282154, -73.89938532742259 40.8688713585291, -73.89936745293905 40.8689014652088, -73.89936088775778 40.868911282920536, -73.8993504839829 40.86892578523091, -73.89934686826685 40.86893055827211, -73.89934318024112 40.86893529793203, -73.89932771690015 40.8689539254705, -73.89930243336444 40.868980797421564, -73.89928888490846 40.86899371752386, -73.899283871909 40.868998426309275, -73.89927984416823 40.86900267760543, -73.89884738802552 40.86945115988382, -73.89679801901403 40.86853635356088, -73.89748114051281 40.86762713410157, -73.89837788796362 40.86776822179302, -73.89839898038035 40.867772522194095, -73.89840468421814 40.86777369875296, -73.89842708334527 40.867778319072656, -73.89843410580941 40.86777977864398, -73.898448143598 40.86778271308736, -73.89846217661552 40.867785665534626, -73.89848321067329 40.867790127056544, -73.89851123503658 40.86779613816191, -73.8985252370948 40.86779917161831, -73.89854622827514 40.86780375285613, -73.89855322097276 40.867805288935614, -73.89857419190773 40.86780992508038, -73.89859514617841 40.86781460082824, -73.89860212696821 40.867816168411444, -73.8986160849696 40.86781931708071, -73.89865094842716 40.86782726571068, -73.89867184554592 40.86783208907466, -73.89868576783343 40.867835325952086, -73.89869968297769 40.86783858083139, -73.89870785180271 40.86784050694545, -73.89874124066122 40.86784856681482, -73.89875492164367 40.8678521402552, -73.89876173714089 40.867853982332925, -73.89878207534628 40.86785973449169, -73.8988022434212 40.86786581967868, -73.89881559125698 40.86787006098285, -73.89882885702588 40.8678744471923, -73.89884203598182 40.86787897920342, -73.89884859453696 40.8678812992107, -73.89886164149837 40.86788604722132, -73.89887459690758 40.86789093742755, -73.89888104013218 40.86789343562881, -73.89889385169056 40.86789853822233, -73.89890656695485 40.867903781206415, -73.89891288773737 40.86790645399354, -73.89892544729447 40.86791190575268, -73.8989379046334 40.86791749339481, -73.8989502538219 40.86792321781527, -73.89896249249036 40.86792907721105, -73.89897461708154 40.86793507067858, -73.8989866276009 40.867941194615916, -73.8989985204859 40.867947451721484, -73.89900442178025 40.86795062841049, -73.89901613288396 40.86795707986079, -73.89902771924422 40.8679636590703, -73.89903917849287 40.86797036333543, -73.89905051062856 40.86797719355672, -73.89906171090915 40.86798414792909, -73.89906726056691 40.867987670995646, -73.89908370761418 40.86799842101553, -73.89909450048549 40.86800573612461, -73.89910515201895 40.86801317087424, -73.8991156610353 40.86802072076086, -73.89912602634968 40.86802838488308, -73.89913624203238 40.86803616233519, -73.89914631045855 40.86804405131835, -73.8991611281022 40.86805608940379, -73.89917081416492 40.868064249098, -73.89918034467588 40.86807251491317, -73.89918971371083 40.8680808823418, -73.89919434063741 40.8680851060773, -73.89919892601053 40.86808935408952, -73.89920346982872 40.868093627278945, -73.89921685907677 40.86810659431486, -73.89922123905193 40.86811096551383, -73.89922557628874 40.86811536008802, -73.89922987197201 40.86811977893898, -73.89923412728939 40.86812422116725, -73.89923833868214 40.8681286867697, -73.89924250852266 40.86813317574844, -73.89924663444003 40.86813768720092, -73.89925071643549 40.86814222022665, -73.89925475688013 40.8681467757282, -73.89925875340016 40.86815135460395, -73.8992666146759 40.86816057617478, -73.89927047824547 40.868165218868796, -73.89927807599388 40.86817456717776, -73.89928549331533 40.86818399817377, -73.89928913372479 40.86818874332818, -73.89929272902754 40.868193509154324, -73.8992962792262 40.868198293851286, -73.8992997855043 40.86820309922107, -73.89930324549208 40.86820792346062, -73.89930665681992 40.868212764766895, -73.89931002304232 40.86821762584449, -73.89931334416062 40.86822250579286, -73.89931661661754 40.86822740370849, -73.89932302385348 40.86823725164771, -73.89933527219543 40.86825715414368, -73.89933821470805 40.86826217153592, -73.89934395731848 40.86827225302136, -73.89934675623013 40.868277317113545, -73.89934950529813 40.86828239647047, -73.8993522092661 40.86828749199684, -73.89935486339311 40.86829260098698, -73.89936975808598 40.868323549388705, -73.8993743293996 40.86833397113648, -73.89937869898378 40.86834444223508, -73.89938287158876 40.86835495908671, -73.89939061163152 40.8683761264347, -73.89941010884498 40.868426696003866)))",987,BX,3247,2,29 West Kingsbridge Road,2032470002,Eighth Coastal Artillery Armory,LP-00823,"Borough of the Bronx Tax Map Block 3247, Lot 2.",Designated,"later the Eighth Regiment Armory, designated as the Kingsbridge Armory",09/24/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0823.pdf,2160.56772974,293714.4178
"MULTIPOLYGON (((-73.95447638592556 40.786378644153714, -73.95454648929208 40.78628260095109, -73.95463743770983 40.78632103775898, -73.95471381063642 40.78621779201112, -73.95466430684873 40.78619725012514, -73.95471914977439 40.78612275340765, -73.95476866276857 40.78614363836491, -73.95484825601001 40.78603603986557, -73.95475587112658 40.785997069561596, -73.95482825614542 40.78589658850719, -73.95490340291217 40.78592855151294, -73.95491012367991 40.78592372385375, -73.95491849709877 40.785920742868335, -73.95492767942993 40.785919906292136, -73.95493674177688 40.78592130020995, -73.954944774353 40.78592478288743, -73.95495096466115 40.78593000461268, -73.95495468869785 40.78593643834888, -73.95495511063582 40.78594319317374, -73.95495523605337 40.785945188733606, -73.95495145468784 40.785953443951676, -73.95494548586701 40.78595881220795, -73.95494312399047 40.78595981804497, -73.95493584874596 40.78596291742729, -73.95492860323245 40.785964099653555, -73.9549181720466 40.78596512484658, -73.9548839501048 40.786011458453565, -73.954889885385 40.786015390564366, -73.95489309685283 40.78602119375096, -73.95489336034215 40.78602748655685, -73.9548916743212 40.786031172549066, -73.95488893854231 40.78603496619051, -73.95488529796518 40.786038246192014, -73.9548780417074 40.786041283443474, -73.95486983557286 40.7860421447115, -73.95486176960767 40.78604071335764, -73.95465084262369 40.786327053880115, -73.9546579745472 40.78633268121684, -73.95466121569709 40.78634186400228, -73.9546577298649 40.786350993713185, -73.95464852588441 40.786357431376835, -73.95463485268922 40.786359136047245, -73.95462813967544 40.786357707010694, -73.95460016092991 40.78639889482307, -73.95460590458269 40.78640414700757, -73.95460914582846 40.78641144594596, -73.9546091725863 40.78641738025938, -73.95460632594862 40.78642385734384, -73.95460006885159 40.78642968202241, -73.95458896713444 40.786434009959805, -73.95457999944419 40.78643444226851, -73.95457135201417 40.78643258562872, -73.95456400804603 40.78642865114541, -73.95455880011642 40.78642308579566, -73.9545567538357 40.78641818986431, -73.95455620403389 40.786413094611696, -73.95447638592556 40.786378644153714)))",1191,MN,1506,21,Madison Avenue between East 94th and 95th Streets,1015060021,Squadron A Armory,LP-00398,"Borough of Manhattan Tax Map Block 1506, Lot 21 in part, consisting of the land on which the described improvement is situated.",Designated,,10/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0398.pdf,597.363627,4046.11077863
"MULTIPOLYGON (((-74.12204416383274 40.62111059649685, -74.12199036606211 40.62093850095355, -74.12147810009398 40.619308304679606, -74.12158984118265 40.61928793472008, -74.121719853645 40.6192642340899, -74.12183600708865 40.61924305865529, -74.12200798125077 40.61921170831531, -74.12203771098197 40.619206288038136, -74.1221608987343 40.61918475270325, -74.1223472881088 40.619152169030684, -74.1224555911348 40.61913323641845, -74.12256630062 40.61911388239583, -74.12268289579606 40.61909349899303, -74.1227878883395 40.619075145033506, -74.12321713310682 40.61900010275934, -74.12335649623208 40.61981238749644, -74.12346125856887 40.62047539192746, -74.12353079316517 40.62080518808289, -74.12357585942763 40.62097506440848, -74.12208731701476 40.621245112860336, -74.12204416383274 40.62111059649685)))",1355,SI,332,4,321 Manor Road,5003320004,"Headquarters Troop, 51st Cavalry Brigade Armory",LP-02369,Too long,Designated,,08/10/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2369.pdf,2372.66130146,331537.934681
