the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.07719689193364 40.62711616106281, -74.07722754700892 40.627284251372714, -74.07731610878672 40.627298452487, -74.0774071885792 40.62731305797228, -74.07749329274726 40.62732686617684, -74.07729186047735 40.62754146693617, -74.07662306615376 40.62717900680216, -74.07719689193364 40.62711616106281)))",51,SI,521,28,81 Water Street,5005210028,Staten Island Savings Bank Building,LP-02201,"Staten Island Borough Tax Map Block 521, Lot 28.",Designated,,09/19/2006,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2201.pdf,622.075275781,15812.2498911
"MULTIPOLYGON (((-73.8082326306314 40.7018528808732, -73.80835050217547 40.702104959971486, -73.80819329190936 40.70214786153687, -73.80806394206465 40.70185142362814, -73.80821846478261 40.701850806800316, -73.8082326306314 40.7018528808732)))",100,QN,9676,37,146-21 Jamaica Avenue,4096760037,Jamaica Savings Bank,LP-02393,"Borough of Queens Tax Map Block 9676, Lot 37",Designated,,10/26/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2393.pdf,304.435488082,4789.93817624
"MULTIPOLYGON (((-73.79800175440154 40.70338339511867, -73.79810592330736 40.70334314029605, -73.79816792854216 40.703443512276394, -73.79844430498831 40.703890892871314, -73.79832233363113 40.70393636140116, -73.79800175440154 40.70338339511867)))",108,QN,10101,9,161-02 Jamaica Avenue,4101010009,Jamaica Savings Bank,LP-02109,"Borough of Queens Tax Map Block 10101, Lot 9.",Designated,,02/12/2008,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2109.pdf,510.766598699,7712.70177805
"MULTIPOLYGON (((-74.0098956765419 40.70431356624532, -74.01007719257487 40.704470212496965, -74.009891617509 40.70461433475803, -74.00975233429945 40.70471491487249, -74.00960065665925 40.70454364492292, -74.0097191610746 40.70445122718209, -74.00981279280634 40.70437820485868, -74.0098956765419 40.70431356624532)))",116,MN,29,7502,1 Hanover Square,1000297502,Hanover Bank,LP-00042,"Borough of Manhattan Tax Map Block 29, Lot 33.",Designated,now India House,12/21/1965,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0042.pdf,395.212753625,9199.40477015
"MULTIPOLYGON (((-74.00909814014196 40.7053437001706, -74.00990443877392 40.70524502130577, -74.00992274907968 40.7053150119834, -74.00992697175252 40.70538273638541, -74.00982182468921 40.70574214492599, -74.00911742822929 40.70550021834238, -74.00909814014196 40.7053437001706)))",117,MN,27,7502,20 Exchange Place,1000277502,City Bank-Farmers Trust Company Building,LP-01941,"Borough of Manhattan Tax Map Block 27, Lot 27.",Designated,,06/25/1996,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1941.pdf,682.819169021,26353.6887729
"MULTIPOLYGON (((-74.01188537727334 40.704738501398595, -74.01188886515821 40.704888379476685, -74.01163039371968 40.70487440022729, -74.0116360918578 40.704741869567805, -74.01188537727334 40.704738501398595)))",120,MN,11,15,70 Broad Street,1000110015,American Bank Note Company Office Building,LP-01955,"Borough of Manhattan Tax Map Block 11, Lot 15.",Designated,,06/24/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1955.pdf,243.897089313,3621.83249881
"MULTIPOLYGON (((-73.99387680689605 40.72123113941242, -73.99394042745669 40.721061574122224, -73.99427568546939 40.7211991035952, -73.99423507767796 40.7213073392174, -73.99387680689605 40.72123113941242)))",134,MN,492,38,190 Bowery,1004920038,Germania Bank Building,LP-02162,"Borough of Manhattan Tax Map Block 492, Lot 38.",Designated,,03/29/2005,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2162.pdf,313.950167553,5426.67633646
"MULTIPOLYGON (((-73.99114420320115 40.737081921199525, -73.9911978673626 40.737008124211506, -73.99125492026148 40.736929658322964, -73.99073589955982 40.736710436879456, -73.99079764291905 40.73662565182855, -73.99145236887261 40.736902191455336, -73.99127998264115 40.73713927048258, -73.99114420320115 40.737081921199525)))",170,MN,844,17,31 Union Square West,1008440017,Bank of the Metropolis,LP-01537,"Borough of Manhattan Tax Map Block 844, Lot 17.",Designated,,07/12/1988,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1537.pdf,612.514317813,10057.5180457
"MULTIPOLYGON (((-73.99485700205223 40.71873573624627, -73.99490946949281 40.718602670232734, -73.99525145185028 40.71871913067932, -73.9951959656582 40.71885362222781, -73.99485700205223 40.71873573624627)))",185,MN,470,64,124 Bowery,1004700064,Bowery Bank of New York Building,LP-02518,"Borough of Manhattan Tax Map Block 470, Lot 64",Designated,,06/26/2012,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2518.pdf,309.14466412,5238.80634556
"MULTIPOLYGON (((-73.98984499430217 40.72893655494939, -73.98992272576433 40.728830768222295, -73.99016477968652 40.72893273303318, -73.99008672529817 40.72903873871799, -73.98984499430217 40.72893655494939)))",210,MN,463,1,9 East 7th Street,1004630001,Metropolitan Savings Bank,LP-00183,"Borough of Manhattan Tax Map Block 463, Lot 1.",Designated,now the First Ukrainian Evangelical Pentecostal Church,11/19/1969,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0183.pdf,241.75495905,3389.47029638
"MULTIPOLYGON (((-73.98086755840446 40.779918376582216, -73.98123334618455 40.77941701918967, -73.98146718214605 40.77951538015219, -73.98130801955872 40.78010365151067, -73.98086755840446 40.779918376582216)))",211,MN,1165,7505,2100-2108 Broadway,1011657505,Central Savings Bank,LP-00856,"Borough of Manhattan Tax Map Block 1165, Lot 36.",Designated,now Apple Bank for Savings and apartments,01/28/1975,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0856.pdf,641.116846007,22289.9416789
"MULTIPOLYGON (((-74.00808969785199 40.70798262931222, -74.00826845090563 40.70779856653628, -74.00882978093374 40.708268717740715, -74.00906374834085 40.70845916396056, -74.0092803159079 40.70862614828799, -74.00888595667277 40.708963289324316, -74.00808969785199 40.70798262931222)))",215,MN,66,1,33 Liberty Street,1000660001,Federal Reserve Bank of New York,LP-00054,"Borough of Manhattan Tax Map Block 66, Lot 1.",Designated,,12/21/1965,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0054.pdf,1079.70296935,49292.8425837
"MULTIPOLYGON (((-73.98710059035078 40.75158875446376, -73.9867725702572 40.751450716553, -73.9869494746018 40.75120914903441, -73.9874705116888 40.75142859711846, -73.98741439738717 40.75172080512421, -73.98710059035078 40.75158875446376)))",281,MN,812,29,1352-1362 Broadway,1008120029,Greenwich Savings Bank,LP-01766,"Borough of Manhattan Tax Map Block 812, Lot 29.",Designated,,03/03/1992,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1766.pdf,576.591397724,18543.0596325
"MULTIPOLYGON (((-73.9951492916826 40.7189922627676, -73.99480329497872 40.718871941354955, -73.99485700205223 40.71873573624627, -73.9951959656582 40.71885362222781, -73.99525145185028 40.71871913067932, -73.99559770200904 40.71883704099288, -73.99548553289331 40.71910528862669, -73.99541793097598 40.71908177544539, -73.9954165057393 40.719085203629575, -73.9951492916826 40.7189922627676)))",291,MN,470,61,130 Bowery,1004700061,Bowery Savings Bank,LP-00184,"Borough of Manhattan, Tax Map Block 470, Lot 61.",Designated,,04/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0184.pdf,623.005835296,16046.576978
"MULTIPOLYGON (((-73.97848650717326 40.72417019575307, -73.97857688033986 40.72404677709946, -73.97869802300633 40.724097751289825, -73.97860765117859 40.7242211700379, -73.97848650717326 40.72417019575307)))",297,MN,377,72,106 Avenue C,1003770072,Public National Bank of New York Building,LP-02263,"Borough of Manhattan Tax Map Block 377, Lot 72.",Designated,later Public National Bank & Trust Company of New York Building,09/16/2008,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2263.pdf,179.687936247,1975.07476177
"MULTIPOLYGON (((-74.00251700807864 40.74003757440047, -74.00260346574251 40.73992025349357, -74.00300046134258 40.74008778230741, -74.00280399958953 40.740354282463926, -74.0026502182752 40.740289734146884, -74.00276035804026 40.74014027797858, -74.00251700807864 40.74003757440047)))",306,MN,738,33,81 Eighth Avenue,1007380033,New York Savings Bank,LP-01634,"Borough of Manhattan Tax Map Block 738, Lot 33.",Designated,,06/08/1988,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1634.pdf,474.343767526,9200.68050565
"MULTIPOLYGON (((-74.01122680757196 40.707541805406606, -74.01106879097553 40.70771145270664, -74.01097629983457 40.707810748324746, -74.01097907507418 40.70781239419451, -74.0108015328205 40.708003001478936, -74.01028313979066 40.70769488322459, -74.01049677641025 40.707453867330806, -74.0105451846651 40.70748258381122, -74.0105940379675 40.707429812069286, -74.01059708064396 40.70743161731422, -74.01075913938612 40.707257631614674, -74.01122680757196 40.707541805406606)))",393,MN,46,9,14 Wall Street,1000460009,Bankers Trust Building,LP-01949,"Borough of Manhattan Tax Map Block 46, Lot 9.",Designated,14 Wall Street Building,01/14/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1949.pdf,779.711405526,36024.7982957
"MULTIPOLYGON (((-73.98902990503855 40.73539851916725, -73.98922446787346 40.735133671163645, -73.98970745522054 40.735337546197194, -73.9896094842549 40.7354713888831, -73.98920690919896 40.73530145574474, -73.98911052879974 40.735432668673134, -73.98902990503855 40.73539851916725)))",417,MN,871,1,20 Union Square East,1008710001,Union Square Savings Bank,LP-01945,"Borough of Manhattan Tax Map Block 871, Lot 1.",Designated,,02/13/1996,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1945.pdf,527.358050616,9946.02349959
"MULTIPOLYGON (((-73.99218966016925 40.7258681234764, -73.99221749955956 40.725792785175265, -73.99255927615077 40.72596261765292, -73.99250620363104 40.72602541750928, -73.99218966016925 40.7258681234764)))",484,MN,530,7507,330 Bowery,1005307507,Bond Street Savings Bank,LP-00192,"Borough of Manhattan Tax Map Block 530, Lot 41.",Designated,now the Bouwerie Lane Theatre,01/11/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0192.pdf,273.656007939,2964.03273976
"MULTIPOLYGON (((-73.99211204617549 40.71464072994184, -73.99234365752892 40.714710859315296, -73.99224325144894 40.714902454180816, -73.9920140763711 40.71483190603887, -73.99211204617549 40.71464072994184)))",585,MN,294,8,54 Canal Street,1002940008,S. Jarmulowsky Bank Building,LP-02363,"Borough of Manhattan Tax Map Block 294, Lot 8.",Designated,,10/13/2009,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2363.pdf,287.546014795,5158.11057796
"MULTIPOLYGON (((-74.00887307463249 40.70654661546321, -74.00884373887202 40.70653064625186, -74.00910079434131 40.70624536313141, -74.00939713771102 40.706406683039035, -74.00911564006748 40.70671909305467, -74.00898793007829 40.70664286761068, -74.00900632344143 40.70662245158142, -74.00887307463249 40.70654661546321)))",613,MN,40,14,48 Wall Street,1000400014,Bank of New York & Trust Company Building,LP-02025,"Borough of Manhattan Tax Map Block 40, Lot 14.",Designated,,10/13/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2025.pdf,475.204127979,13244.5756961
"MULTIPOLYGON (((-73.93907573590624 40.805387970395756, -73.93917221352801 40.80525634773288, -73.9394574480774 40.805377049434135, -73.93936321388519 40.80550904541894, -73.93907573590624 40.805387970395756)))",631,MN,1750,34,81-85 East 125th Street,1017500034,Mount Morris Bank Building,LP-01839,"Borough of Manhattan Tax Map Block 1750, Lot 34.",Designated,,01/05/1993,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1839.pdf,290.980263768,4969.73067791
"MULTIPOLYGON (((-73.96962689842915 40.79422078404489, -73.9696628726741 40.79417191887916, -73.96969632995113 40.794185986287026, -73.96985165095168 40.79397497591871, -73.97013566579656 40.79409433189679, -73.96992618627237 40.794378911083825, -73.96960874529947 40.794245441254425, -73.96962689842915 40.79422078404489)))",655,MN,1851,1,743 Amsterdam Avenue,1018510001,East River Savings Bank,LP-01980,"Borough of Manhattan Tax Map Block 1851, Lot 1.",Designated,,02/10/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1980.pdf,438.488830098,10999.9561582
