the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.13193758812749 40.63997623728809, -74.13242319219958 40.639368096736455, -74.13274495754439 40.63951378462354, -74.13280524565077 40.63943828028525, -74.13283747213099 40.639397922296176, -74.13288276294772 40.639341201168314, -74.13342506163842 40.6395866762251, -74.13341711310744 40.63960275251835, -74.13354668291036 40.63963847161198, -74.13349034396983 40.63976013328877, -74.1334260949214 40.639898878866234, -74.13334138604458 40.6398755266924, -74.13325803508393 40.63985254839924, -74.13326233847326 40.63984325635374, -74.13306073664096 40.639763774014234, -74.13290816320799 40.63970361924926, -74.1327492440339 40.63964096366055, -74.1326664820052 40.63960833339018, -74.13248364966469 40.63986244657498, -74.13234198943616 40.63998551980895, -74.1322484352642 40.640066797570306, -74.13220656844852 40.64009802620105, -74.13193758812749 40.63997623728809)))",27,SI,1073,75,54 Port Richmond Avenue,5010730075,"Reformed Church on Staten Island, Sunday School Building, and Cemetery",LP-02384,"Borough of Staten Island, Tax Map Block 1073, Lot 75",Designated,,03/23/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2384.pdf,1304.07717419,50540.0744748
"MULTIPOLYGON (((-74.2201328661496 40.541667158824765, -74.22011863711215 40.54162908378695, -74.22010434612827 40.54159083236223, -74.22008854867319 40.54154855395233, -74.22007275005771 40.541506275542346, -74.22005695263965 40.541463996227314, -74.22004115524454 40.54142171781045, -74.22002535668904 40.54137943939357, -74.22000955815352 40.54133716097433, -74.21999375963799 40.54129488255281, -74.21997796350622 40.54125260502494, -74.21996216384431 40.54121032479997, -74.21993751819714 40.541144364975445, -74.21984256673791 40.540889052990835, -74.22064034574457 40.540817142738305, -74.22068133671756 40.5409348451645, -74.2207007138511 40.540990487682215, -74.22072054862942 40.5410474431898, -74.22074585220602 40.541120103326456, -74.22083639875405 40.541380103092195, -74.22090938350289 40.54158967358185, -74.22016587241312 40.54175548704363, -74.2201328661496 40.541667158824765)))",50,SI,7092,22,Crabtree Avenue,5070920022,Rossville A.M.E. Zion Church Cemetery,LP-01399,"Borough of Staten Island Tax Map Block 7092, Lot 22.",Designated,,04/09/1985,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1399.pdf,1057.99793094,67527.6970907
"MULTIPOLYGON (((-73.90729705168914 40.756069065914254, -73.90726193600703 40.75587782877283, -73.9072998127302 40.75577248118024, -73.90733046383099 40.755779117354926, -73.90742011102503 40.755798526897536, -73.90750494827746 40.75581689422516, -73.90761120030677 40.755839898261684, -73.90808624015145 40.755942745017585, -73.90798711147254 40.75621846465341, -73.90729705168914 40.756069065914254)))",73,QN,1131,12,51st to 54th Streets between 31st and 32nd Avenues,4011310012,Moore-Jackson Cemetery,LP-01956,"Borough of Queens Tax Map Block 1131, Lot 12.",Designated,,03/18/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1956.pdf,639.594198071,22697.2115478
"MULTIPOLYGON (((-73.85837085109861 40.71255371387277, -73.8582763443468 40.71245607753917, -73.85832624169905 40.71242155930401, -73.85834535748748 40.71240833539853, -73.85858951062384 40.71225201045276, -73.858723749611 40.71238792922915, -73.8586923424301 40.712407984701706, -73.85840648914402 40.712590531011564, -73.85837085109861 40.71255371387277)))",78,QN,3178,44,adjacent to 69-43 Trotting Course Lane,4031780044,Remsen Cemetery,LP-01177,"Borough of Queens Tax Map Block 3178, Lot 44.",Designated,,05/26/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1177.pdf,351.923776199,7062.6836383
"MULTIPOLYGON (((-73.79839515713226 40.70127561098733, -73.79872047465969 40.70114459358997, -73.79876510394271 40.701126619016, -73.79944272993 40.70093393543091, -73.79960594151699 40.70105809806102, -73.79987657705198 40.700985025731995, -73.80003747362781 40.70132587537698, -73.80063657744415 40.70088177602061, -73.80103455622502 40.70104753615006, -73.80101017553447 40.70106460287276, -73.80032520125337 40.70154410932955, -73.80024769098429 40.70159836860077, -73.79987667409068 40.70172054074954, -73.79891698751838 40.70203654976466, -73.79839515713226 40.70127561098733)))",110,QN,10099,36,159th Street at Beaver Road,4100990036,Prospect Cemetery,LP-00945,"Borough of Queens Tax Map Block 10099, Lot 36.",Designated,,01/11/1977,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0945.pdf,1961.0613557,152643.506039
"MULTIPOLYGON (((-73.98929771479843 40.724930709591256, -73.9892322676376 40.72490303354534, -73.98917269107399 40.724877838917, -73.98911087877954 40.72485170031275, -73.98899472387482 40.72480258000316, -73.98891426096974 40.72476855375029, -73.98868276502378 40.724670655789716, -73.98859907957998 40.72463526652882, -73.98851991545236 40.72460178853826, -73.98843953706559 40.724567796180445, -73.98835981090477 40.72453408118913, -73.98828528658765 40.72450256571523, -73.98820428233553 40.72446830837934, -73.98824810226785 40.724408011162936, -73.98829199552314 40.7243476220848, -73.98836305284976 40.724249832187624, -73.98845699901524 40.72429040057906, -73.98861295229489 40.72435648826926, -73.98876164944245 40.724419496198706, -73.98880239892553 40.72436342546142, -73.98958405169226 40.72469462595532, -73.98938094411861 40.72496592810462, -73.98929771479843 40.724930709591256)))",173,MN,444,49,52-74 East 2nd Street,1004440049,New York City Marble Cemetery,LP-00464,"Borough of Manhattan Tax Map Block 444, Lot 49.",Designated,,03/04/1969,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0464.pdf,975.789714162,39630.6414247
"MULTIPOLYGON (((-73.99130229085323 40.725880984870756, -73.99054353010487 40.72558459544975, -73.99048894460739 40.725563265098536, -73.99056257257836 40.72546223043893, -73.99060280735078 40.725407018115924, -73.99028719685268 40.72527471704743, -73.99030464402702 40.725250692935425, -73.99037540871343 40.725280356238585, -73.99050622673096 40.72533519459458, -73.99057195302447 40.72536274656775, -73.99062914799933 40.72538672098727, -73.99064139421633 40.725369915782494, -73.99064780460365 40.72537244133077, -73.99077695230893 40.72542278210049, -73.99090030527096 40.72547088630322, -73.99096647834129 40.725496691998885, -73.991043253039 40.72552663181818, -73.99112034737992 40.72555669768204, -73.99120039844887 40.725587914570745, -73.99128070643631 40.725619232280096, -73.99136261947754 40.725651176808014, -73.99143875064549 40.725680865072654, -73.9914494493282 40.72568503792598, -73.9914417043759 40.72569566335718, -73.99133963756638 40.72583127508586, -73.99134213146412 40.72583209383611, -73.99130472437425 40.72588188556359, -73.99130229085323 40.725880984870756)))",217,MN,458,30,"interior of the block bounded by East 2nd and East 3rd Streets, Second Avenue, and the Bowery",1004580030,New York Marble Cemetery,LP-00466,"Borough of Manhattan Tax Map Block 458, Lot 30.",Designated,,03/04/1969,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0466.pdf,873.525201213,21833.7704496
"MULTIPOLYGON (((-74.00545213951033 40.61088423982699, -74.00599402229761 40.610363019021435, -74.00651414647895 40.61067646759957, -74.00599866909874 40.61117229296481, -74.00545213951033 40.61088423982699)))",859,BK,6325,1,"adjacent to 16th Avenue, from 84th to 85th Streets",3063250001,New Utrecht Reformed Dutch Church Cemetery,LP-01978,"Borough of Brookly Tax Map Block 6325, Lot 1.",Designated,,01/13/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1978.pdf,841.351260709,43518.2415084
"MULTIPOLYGON (((-73.97395740186477 40.595204943923314, -73.97400421382761 40.59486966919222, -73.97401548582783 40.59478893447267, -73.97403614733919 40.5946409481307, -73.97406127012377 40.59446101224128, -73.97407047133741 40.59446177435907, -73.97407123188174 40.594456315561466, -73.97449412304643 40.59448162213959, -73.9745232723872 40.59434333351854, -73.97457971738382 40.59407554224008, -73.97528983821671 40.59416892736077, -73.97523825652927 40.59455329090713, -73.97517061226013 40.59455082058559, -73.97510283332363 40.59454834659294, -73.97503085239417 40.5945457185585, -73.9749584686361 40.59454307598283, -73.97488434471231 40.59454055455181, -73.97481592794574 40.59453787673235, -73.97471845981042 40.59453430997216, -73.97470845074257 40.59468583513594, -73.97470387868042 40.59475506001656, -73.97469933393617 40.594823872463124, -73.97469166548676 40.594939952660525, -73.97467728270539 40.59493937766009, -73.97451210922421 40.594929945989755, -73.97436209585207 40.5949212027631, -73.97431998274159 40.5952349724043, -73.97395740186477 40.595204943923314)))",921,BK,7146,1,Gravesend Neck Road at McDonald Avenue,3071460001,Gravesend Cemetery,LP-00921,"Tax Map Block 7146, Lot 1.",Designated,,03/23/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0921.pdf,1486.15454141,72389.6677887
"MULTIPOLYGON (((-73.84300136283446 40.838422292300464, -73.84302355417925 40.83840363723544, -73.84299786655906 40.8384201569703, -73.84299705060242 40.838415221147436, -73.84327021435809 40.8382387417622, -73.84365662679645 40.837966705284686, -73.84394304186647 40.83771174610953, -73.84418837455212 40.83749143039927, -73.8450642357945 40.837936638968536, -73.8447923679535 40.83816398790312, -73.84385792635331 40.83894539899951, -73.84300136283446 40.838422292300464)))",947,BX,3848,18,2500 Westchester Avenue,2038480018,"Saint Peter's Church, Chapel and Cemetery",LP-00917,"Tax Map Block 3848, Lots 18 and 6 in part (that portion of the lot extending to the western boundary of the cemetery which stretches from Westchester Avenue to Butler Place).",Designated,,03/23/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0917.pdf,1584.79621661,139604.419675
