the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.98181051068721 40.73087410699176, -73.98192834743118 40.73071246447299, -73.98212763131993 40.730796708422055, -73.98201012056606 40.73095790724311, -73.98181051068721 40.73087410699176)))",165,MN,441,12,414 East 14th Street,1004410012,Grace Chapel Hospital,LP-00227,"Borough of Manhattan Tax Map Block 441, Lot 12.",Designated,now Immaculate Conception Church Clergy House,06/07/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0227.pdf,260.871662674,4249.24884454
"MULTIPOLYGON (((-74.00881154832419 40.71138007809536, -74.00913839587349 40.71099376230436, -74.01030394437602 40.711530628546605, -74.01005331706352 40.71196255725845, -74.00881154832419 40.71138007809536)))",280,MN,87,1,Broadway at Fulton Street,1000870001,Saint Paul's Chapel and Graveyard,LP-00075,"Borough of Manhattan Tax Map Block 87, Lot 1.",Designated,,08/16/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0075.pdf,1121.54410137,66061.1764041
"MULTIPOLYGON (((-73.98949652029826 40.74390597837324, -73.9896749223551 40.743662648758935, -73.98959492169399 40.743629055357495, -73.98977205078116 40.743387460744906, -73.99015718862962 40.743549181201644, -73.98998006050884 40.74379077820205, -73.99006594209395 40.74382684013156, -73.98988754102542 40.74407017124642, -73.98949652029826 40.74390597837324)))",360,MN,827,22,15 West 25th Street,1008270022,Trinity Chapel Complex,LP-00233,"Borough of Manhattan Tax Map Block 827, Lot 22.",Designated,now the Serbian Orthodox Cathedral of Saint Sava and Parish House,04/18/1968,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0233.pdf,702.750341769,24848.5604589
"MULTIPOLYGON (((-73.97961590421231 40.72794730170579, -73.97963383325488 40.727922345476564, -73.97968450345122 40.72785181577373, -73.97979933047257 40.72769198395784, -73.9799277500768 40.727746167517545, -73.97974429573796 40.72800152598607, -73.97961590421231 40.72794730170579)))",604,MN,405,39,545-547 East 11th Street,1004050039,Eleventh Street Methodist Episcopal Chapel,LP-02398,"Borough of Borough Tax Map Block 405, Lot 39.",Designated,"later People's Home Church and Settlement, now the Father's Heart Church",09/14/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2398.pdf,293.432733554,4314.87393705
"MULTIPOLYGON (((-73.94480954741628 40.83217902907999, -73.94494934743186 40.83198815141613, -73.9447830494563 40.83191823315335, -73.94489835440851 40.831759973237, -73.94595457201979 40.8322040395879, -73.94570002996078 40.832553414571485, -73.94480954741628 40.83217902907999)))",622,MN,2085,20,Broadway at West 155th Street,1020850020,Chapel of the Intercession,LP-00306,"Borough of Manhattan Tax Map Block 2085, Lot 20.",Designated,now the Church of the Intercession Complex,08/16/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0306.pdf,959.295857895,44423.075546
"MULTIPOLYGON (((-73.94464380731729 40.83210934501441, -73.9447830494563 40.83191823315335, -73.94494934743186 40.83198815141613, -73.94480954741628 40.83217902907999, -73.94464380731729 40.83210934501441)))",658,MN,2085,32,540 West 155th Street,1020850032,Vicarage of the Chapel of the Intercession,LP-00307,"Borough of Manhattan Tax Map Block 2085, Lot 32.",Designated,,08/16/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0307.pdf,264.183689967,4178.88334443
"MULTIPOLYGON (((-73.84300136283446 40.838422292300464, -73.84302355417925 40.83840363723544, -73.84299786655906 40.8384201569703, -73.84299705060242 40.838415221147436, -73.84327021435809 40.8382387417622, -73.84365662679645 40.837966705284686, -73.84394304186647 40.83771174610953, -73.84418837455212 40.83749143039927, -73.8450642357945 40.837936638968536, -73.8447923679535 40.83816398790312, -73.84385792635331 40.83894539899951, -73.84300136283446 40.838422292300464)))",947,BX,3848,18,2500 Westchester Avenue,2038480018,"Saint Peter's Church, Chapel and Cemetery",LP-00917,"Tax Map Block 3848, Lots 18 and 6 in part (that portion of the lot extending to the western boundary of the cemetery which stretches from Westchester Avenue to Butler Place).",Designated,,03/23/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0917.pdf,1584.79621661,139604.419675
"MULTIPOLYGON (((-73.92016555616425 40.880372181453694, -73.92017882943787 40.88036368283164, -73.92019228566086 40.88035498172496, -73.92020754085874 40.88034499596482, -73.92022749229275 40.880331740177866, -73.92024526749323 40.88031973996364, -73.92026941099904 40.88030314625875, -73.92029822866498 40.880282881789036, -73.92034131795366 40.880251616006014, -73.92039716502603 40.88020928211385, -73.92043141861467 40.880182238890185, -73.92046911606923 40.880151473614355, -73.92067947397621 40.8803302165068, -73.92066955147575 40.88033354779278, -73.92062155958878 40.8803472472243, -73.92058178192508 40.880356464260494, -73.92054203560387 40.880364264838214, -73.92049214660987 40.8803719791725, -73.92045122400671 40.88037624179505, -73.92039883385429 40.88038011738923, -73.920357867127 40.880381588437984, -73.92030154541376 40.880382269948434, -73.92027309421015 40.880381842377254, -73.92021677874813 40.88037830236677, -73.9201737778522 40.88037338028606, -73.92016555616425 40.880372181453694)))",970,BX,5743,15,2550 Independence Avenue,2057430015,Riverdale Presbyterian Chapel,LP-01086,"Borough of Bronx, Tax Map Block 5743, Lot 15.",Designated,now Edgehill Church of Spuyten Duyvil,11/25/1980,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1086.pdf,348.493310556,5888.17464177
"MULTIPOLYGON (((-74.10154522412245 40.64327011505089, -74.10148485015874 40.64325716485444, -74.10147498970547 40.64328383971857, -74.10141708973529 40.64327141951012, -74.10142695139345 40.643244745550426, -74.10137228941429 40.64323301946504, -74.10144133388002 40.64304625851738, -74.10148266552163 40.64305512457987, -74.10149749912392 40.6430150005791, -74.10158746372686 40.643034298505235, -74.10157263017439 40.64307442251753, -74.10161426814251 40.64308335400011, -74.10154522412245 40.64327011505089)))",998,SI,76,200,912 Richmond Terrace,5000760200,"Sailors' Snug Harbor, Chapel",LP-00027,"Tax Map Block 76, Lot 1 in part, consisting of the land on which the described building is situated.",Designated,now Veterans Memorial Hall,10/14/1965,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0027.pdf,291.661438672,4086.9108872
"MULTIPOLYGON (((-73.98203767818667 40.730920104600436, -73.98212763131993 40.730796708422055, -73.98211698694095 40.73079220872995, -73.98211750325228 40.7307914992095, -73.9821244166134 40.730781995416535, -73.98211892693878 40.73077968476012, -73.982262684863 40.73058205709972, -73.98247214218024 40.730670227336944, -73.98237478857197 40.73080406314852, -73.98222411239512 40.731011203746284, -73.98221869443856 40.731015088603506, -73.98221420138964 40.731017528287325, -73.98220930125122 40.73101949243967, -73.9822040828161 40.731020943252865, -73.98219863960834 40.731021857328024, -73.98219306870172 40.731022216670034, -73.98218747071836 40.73102201499084, -73.9821819439101 40.73102125590774, -73.98217659007733 40.731019953844566, -73.98217150154774 40.731018132228876, -73.98216677301454 40.731015821692665, -73.98216248614627 40.731013065472986, -73.98215871905859 40.73100991220952, -73.98215553921099 40.73100641864478, -73.98215300340769 40.731002646922626, -73.98215115661358 40.73099866458825, -73.98215003195506 40.73099454278701, -73.98214964953597 40.73099035626426, -73.98215001762273 40.73098617886288, -73.9821511279089 40.730982085323824, -73.98215296143402 40.73097815038632, -73.98215548385043 40.73097444248366, -73.9821586525243 40.73097102914735, -73.98203767818667 40.730920104600436)))",1029,MN,441,10,406 East 14th Street,1004410001,Grace Chapel,LP-00226,"Borough of Manhattan Tax Map Block 441, Lot 10 in part, consisting of the land on which the described building is situated.",Designated,now Immaculate Conception Church,06/07/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0226.pdf,425.670117416,9135.48606887
