the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.14675988408393 40.57266547191621, -74.14751709942341 40.5726353763335, -74.14753939600472 40.57258191589787, -74.14774576498185 40.572575824263076, -74.14775564272772 40.5726992340314, -74.1477851281615 40.57306768047235, -74.14703149081616 40.5731765125104, -74.14696974631718 40.57318467914301, -74.1469348537762 40.57318810885451, -74.14691031622449 40.573188957914354, -74.14688541483363 40.57318761375332, -74.14686327775178 40.57318450012182, -74.14684030189937 40.57318018355519, -74.14681925732741 40.57317604372035, -74.14679323779134 40.57316835496302, -74.14677000001281 40.57315984766998, -74.14674834103776 40.573149654372166, -74.14672892247826 40.57313843431078, -74.14670621961548 40.57312451236045, -74.14668833851952 40.57311052391348, -74.14667027329352 40.57309388905343, -74.14665523329178 40.57307759613043, -74.1466418122911 40.573061788323265, -74.14663139895018 40.573046392718396, -74.14662484064858 40.573033846859, -74.14661922235967 40.573020744175075, -74.14661699205381 40.57300861783945, -74.14661560228446 40.5729936582773, -74.14675988408393 40.57266547191621)))",14,SI,2294,70,Old Mill Road at Arthur Kill Road,5022940070,Saint Andrew's Church,LP-00399,"Borough of Richmond Tax Map Block 2515, Lot 10.",Designated,,11/15/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0399.pdf,959.12092648,55424.3762925
"MULTIPOLYGON (((-74.06387433252742 40.61121773116524, -74.06405038676382 40.6114566451089, -74.06344350458511 40.61174788973867, -74.06326745175258 40.61150897487248, -74.06387433252742 40.61121773116524)))",24,SI,2832,18,1331 Bay Street,5028320018,Saint John's Church,LP-00373,"Borough of Richmond Tax Map Block 2832, Lot 18.",Designated,,02/19/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0373.pdf,597.909525508,19853.3694101
"MULTIPOLYGON (((-74.13193758812749 40.63997623728809, -74.13242319219958 40.639368096736455, -74.13274495754439 40.63951378462354, -74.13280524565077 40.63943828028525, -74.13283747213099 40.639397922296176, -74.13288276294772 40.639341201168314, -74.13342506163842 40.6395866762251, -74.13341711310744 40.63960275251835, -74.13354668291036 40.63963847161198, -74.13349034396983 40.63976013328877, -74.1334260949214 40.639898878866234, -74.13334138604458 40.6398755266924, -74.13325803508393 40.63985254839924, -74.13326233847326 40.63984325635374, -74.13306073664096 40.639763774014234, -74.13290816320799 40.63970361924926, -74.1327492440339 40.63964096366055, -74.1326664820052 40.63960833339018, -74.13248364966469 40.63986244657498, -74.13234198943616 40.63998551980895, -74.1322484352642 40.640066797570306, -74.13220656844852 40.64009802620105, -74.13193758812749 40.63997623728809)))",27,SI,1073,75,54 Port Richmond Avenue,5010730075,"Reformed Church on Staten Island, Sunday School Building, and Cemetery",LP-02384,"Borough of Staten Island, Tax Map Block 1073, Lot 75",Designated,,03/23/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2384.pdf,1304.07717419,50540.0744748
"MULTIPOLYGON (((-74.20058939151117 40.542919858642385, -74.20152571373433 40.54265390390377, -74.20165491884393 40.5429044960768, -74.2018229082454 40.54285643235679, -74.20214476954897 40.54356927805177, -74.20101897561865 40.543915840120846, -74.20076538323859 40.543348180455546, -74.20058939151117 40.542919858642385)))",46,SI,6110,1,1075 Woodrow Road,5061100001,Woodrow United Methodist Church,LP-00385,"Borough of Richmond Tax Map Block 6110, Lot 1.",Designated,,11/15/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0385.pdf,1419.77542467,121455.859046
"MULTIPOLYGON (((-74.2201328661496 40.541667158824765, -74.22011863711215 40.54162908378695, -74.22010434612827 40.54159083236223, -74.22008854867319 40.54154855395233, -74.22007275005771 40.541506275542346, -74.22005695263965 40.541463996227314, -74.22004115524454 40.54142171781045, -74.22002535668904 40.54137943939357, -74.22000955815352 40.54133716097433, -74.21999375963799 40.54129488255281, -74.21997796350622 40.54125260502494, -74.21996216384431 40.54121032479997, -74.21993751819714 40.541144364975445, -74.21984256673791 40.540889052990835, -74.22064034574457 40.540817142738305, -74.22068133671756 40.5409348451645, -74.2207007138511 40.540990487682215, -74.22072054862942 40.5410474431898, -74.22074585220602 40.541120103326456, -74.22083639875405 40.541380103092195, -74.22090938350289 40.54158967358185, -74.22016587241312 40.54175548704363, -74.2201328661496 40.541667158824765)))",50,SI,7092,22,Crabtree Avenue,5070920022,Rossville A.M.E. Zion Church Cemetery,LP-01399,"Borough of Staten Island Tax Map Block 7092, Lot 22.",Designated,,04/09/1985,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1399.pdf,1057.99793094,67527.6970907
"MULTIPOLYGON (((-74.14343088989362 40.5709943878596, -74.1433460059535 40.57061429716725, -74.14381334712164 40.57055785971433, -74.1439580085382 40.57123642292693, -74.14349736519685 40.57129205292563, -74.14343088989362 40.5709943878596)))",56,SI,4438,61,45 Saint Patrick's Place,5044380061,Saint Patrick's Church,LP-00400,"Borough of Richmond Tax Map Block 4438, Lot 61.",Designated,,02/20/1968,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0400.pdf,761.96425783,32688.0557952
"MULTIPOLYGON (((-74.19269663483897 40.531470188411234, -74.19302454911947 40.53190168565355, -74.19204095088634 40.53225015621986, -74.1918633638729 40.53191975878785, -74.19269663483897 40.531470188411234)))",58,SI,6815,59,5475 Amboy Road,5068150059,Memorial Church of the Huguenots,LP-01772,"Borough of Staten Island Tax Map Block 6815, Lot 59.",Designated,now the Reformed Church of Huguenot Park,11/20/1990,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1772.pdf,896.969737059,45261.5124275
"MULTIPOLYGON (((-74.21770050076849 40.53926033682711, -74.21880631808371 40.53918605374781, -74.21886182795492 40.53960104541922, -74.21869424005634 40.53961300229225, -74.21847930153396 40.53962833686451, -74.21771222505019 40.53968306024966, -74.21770429681864 40.53951469150337, -74.21770050076849 40.53926033682711)))",63,SI,7267,101,584 Bloomindale Road,5072670101,Rossville A.M.E. Zion Church,LP-02416,"Borough of Staten Island Tax Map Block 7267, Lot 101",Designated,,02/01/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2416.pdf,935.504351271,48167.4793918
"MULTIPOLYGON (((-73.98516048515954 40.734595339506946, -73.9851021325186 40.73457074630492, -73.98503786488044 40.73454366149989, -73.98497980234052 40.734519191642974, -73.98491951800737 40.73449378583795, -73.9849343465333 40.7344733741641, -73.98463935786025 40.73434927401295, -73.98481342879523 40.73411093713955, -73.98536281482993 40.73434246944978, -73.98517475017114 40.73460135043373, -73.98516048515954 40.734595339506946)))",123,MN,897,53,Rutherford Place at East 16th Street,1008970053,Saint George's Church,LP-00244,"Borough of Manhattan Tax Map Block 897, Lot 53.",Designated,,06/20/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0244.pdf,563.94134934,17979.6638428
"MULTIPOLYGON (((-73.98124947300465 40.7830753149491, -73.98118049884575 40.78304647865084, -73.98119093887914 40.783032048016594, -73.98136724782455 40.78278836400762, -73.98193059308306 40.78302388355095, -73.98174384444283 40.78328199909754, -73.98124947300465 40.7830753149491)))",126,MN,1169,1,West End Avenue at West 77th Street,1011690001,West End Collegiate Church and Collegiate School,LP-00287,"Borough of Manhattan Tax Map Block 1169, Lot 1.",Designated,,01/11/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0287.pdf,570.748393681,19108.9908072
