the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.83085830203 40.701007464722004, -73.83081590322357 40.70090997043239, -73.83079147944207 40.70085380821407, -73.8311458212203 40.70076511470383, -73.83123262719923 40.70096356844525, -73.83087783220104 40.701052374120145, -73.83085830203 40.701007464722004)))",98,QN,9273,89,86-15 Lefferts Boulevard,4092730089,Richmond Hill Republican Club,LP-02126,"Borough of Queens Tax Map Block 9273, Lot 89.",Designated,,12/17/2002,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2126.pdf,359.395165152,7886.57175504
"MULTIPOLYGON (((-73.98915994144221 40.72913757066842, -73.98937491988693 40.72884500194497, -73.98945691841081 40.72887966555721, -73.9892420100697 40.72917214078603, -73.98915994144221 40.72913757066842)))",154,MN,463,15,12 Saint Mark's Place,1004630015,German-American Shooting Society Clubhouse,LP-02094,"Borough of Manhattan Tax Map Block 463, Lot 15.",Designated,,06/26/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2094.pdf,296.190698636,3174.47729862
"MULTIPOLYGON (((-73.98156998958636 40.755382457108794, -73.9817521168051 40.75513341714263, -73.98179193438476 40.755150129617974, -73.98186320184256 40.75518003223425, -73.98190955786713 40.75519949944333, -73.98172743105609 40.75544854055652, -73.98156998958636 40.755382457108794)))",197,MN,1259,54,30-32 West 44th Street,1012590054,Yale Club of New York City Building,LP-02379,"Borough of Manhattan Tax Map Block 1259, Lot 54.",Designated,now Penn Club of New York,02/09/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2379.pdf,307.285739533,5172.63532502
"MULTIPOLYGON (((-73.9866041429265 40.73777234659592, -73.98684703594725 40.73743282020828, -73.98693932230886 40.737303805984375, -73.98712919638956 40.73738360963264, -73.98699975747103 40.737562185556676, -73.98679061217621 40.73785071859406, -73.9866041429265 40.73777234659592)))",198,MN,875,70,15 Gramercy Park South,1008750070,The National Arts Club,LP-00223,"Borough of Manhattan Tax Map Block 875, Lot 70.",Designated,designated as the National Arts Club,03/15/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0223.pdf,507.831027848,11578.0400683
"MULTIPOLYGON (((-73.98467957189557 40.745596705116846, -73.98480837170244 40.74541925394682, -73.9851189296984 40.74554962210339, -73.98499013165089 40.745727072717095, -73.98467957189557 40.745596705116846)))",206,MN,860,16,120 Madison Avenue,1008600016,Colony Club,LP-00236,"Borough of Manhattan Tax Map Block 860, Lot 16.",Designated,now the American Academy of Dramatic Arts,05/17/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0236.pdf,344.277245551,7258.55568521
"MULTIPOLYGON (((-73.98151177296147 40.75585228909945, -73.98136245361016 40.755789087391584, -73.9815413772997 40.755543521403965, -73.98178684137007 40.75564741484651, -73.98160791475348 40.75589298211165, -73.98151177296147 40.75585228909945)))",233,MN,1260,16,37 West 44th Street,1012600016,New York Yacht Club Building,LP-01019,"Borough of Manhattan Tax Map Block 1260, Lot 16.",Designated,,09/11/1979,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1019.pdf,360.225456002,7960.64742279
"MULTIPOLYGON (((-73.98335615495004 40.75275635354202, -73.98353324726924 40.752513105594, -73.98356792622702 40.752527694235425, -73.98369258423469 40.75258013488736, -73.98351549824233 40.75282337317328, -73.98335615495004 40.75275635354202)))",249,MN,841,69,32 East 40th Street,1008410069,Engineers' Club Building,LP-02429,"Borough of Manhattan Tax Map Block 841, Lot 69.",Designated,,03/22/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2429.pdf,303.49509983,5110.4895897
"MULTIPOLYGON (((-73.98318469564349 40.74658658184261, -73.98315674925453 40.74657481534432, -73.98334362933592 40.74631889067507, -73.98342163512524 40.746351853261636, -73.98323482394925 40.74660768441353, -73.98318469564349 40.74658658184261)))",270,MN,862,25,29 East 32nd Street,1008620025,Grolier Club,LP-00597,"Borough of Manhattan Tax Map Block 862, Lot 25.",Designated,,08/18/1970,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0597.pdf,262.725275716,2636.76208333
"MULTIPOLYGON (((-73.98038283159781 40.74877341895747, -73.98071436760328 40.74891302458083, -73.98072127470572 40.74890369649361, -73.98080352787494 40.748938331990544, -73.98061675489043 40.749190617120306, -73.9802029634851 40.74901637535487, -73.98038283159781 40.74877341895747)))",328,MN,866,42,38 East 37th Street,1008660042,Union League Club,LP-02389,"Borough of Manhattan Tax Map Block 866, Lot 42",Designated,,10/25/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2389.pdf,473.072059303,13413.9909615
"MULTIPOLYGON (((-73.97551796281904 40.761853254817275, -73.97571158899511 40.76159007024098, -73.9752860335785 40.76140952043522, -73.9754798714754 40.7611460535183, -73.97605057467011 40.76138818326515, -73.97585673951002 40.76165165203371, -73.97586304144977 40.76165432605152, -73.97566941450133 40.76191750997914, -73.97551796281904 40.761853254817275)))",457,MN,1270,34,1 West 54th Street,1012700034,University Club,LP-00263,"Borough of Manhattan Tax Map Block 1270, Lot 34.",Designated,,01/11/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0263.pdf,805.807125644,25191.7201397
