the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.13027014725897 40.636381207812136, -74.13027373691587 40.636335008876486, -74.13027906433258 40.63626645526694, -74.13028453014253 40.63619613648084, -74.13045079578889 40.63620662543878, -74.13040868741379 40.63639168501363, -74.13027014725897 40.636381207812136)))",25,SI,1012,10,29 Cottage Place,5010120010,29 Cottage Place House,LP-02447,"Borough of Staten Island, Tax Map Block 1012, Lot 10.",Designated,,10/25/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2447.pdf,220.916697746,2881.91968338
"MULTIPOLYGON (((-74.10773433696116 40.58400183393969, -74.10779418051199 40.583952040951274, -74.10799021756057 40.583788927696, -74.10823632980588 40.583989407679134, -74.10802892262909 40.584159672299776, -74.10798114766251 40.58419889091766, -74.10796623035993 40.58418698019324, -74.10773433696116 40.58400183393969)))",47,SI,897,1,1929 Richmond Road,5008970001,Ernest Flagg Estate Cottage: McCall's Demonstration House,LP-01407,"Borough of Staten Island Tax Map Block 897, Lot 1.",Designated,,02/10/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1407.pdf,408.670305697,10407.3096651
"MULTIPOLYGON (((-74.21685561639988 40.5391921220764, -74.2168724022985 40.53898946394067, -74.2171991323099 40.538970618709506, -74.21756585733057 40.53894946435574, -74.21756448343217 40.53923772838597, -74.21730336858153 40.53926544948588, -74.21694133672474 40.53930388700537, -74.21684551502639 40.539314068398106, -74.21685561639988 40.5391921220764)))",55,SI,7020,4,565 and 569 Bloomingdale Road,5070200004,565 and 569 Bloomingdale Road Cottages,LP-02415,"Borough of Staten Island Tax Map Block 7020, Lot 4",Designated,,02/01/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2415.pdf,618.578303431,21830.6525089
"MULTIPOLYGON (((-73.89429953478124 40.86556127945708, -73.89425352397846 40.86554084030356, -73.89418536778166 40.86551056278439, -73.89418862815764 40.86550633167084, -73.89417009679529 40.86549809950668, -73.89413988407078 40.865484677905904, -73.89413590256805 40.86548290929286, -73.89415490141202 40.86545826140397, -73.89417135014715 40.865465568658394, -73.89417694132015 40.865468051934435, -73.89418828903031 40.86545333032663, -73.89423129258255 40.865472434925465, -73.8942394677658 40.86547606599017, -73.89425051474355 40.86546173491324, -73.8942601739521 40.86546602559468, -73.89433656815096 40.865499962100486, -73.89434418860928 40.86550334771655, -73.89432487483884 40.865528405070854, -73.89429953478124 40.86556127945708)))",1098,BX,3155,1,"Poe Park, 2640 Grand Concourse",2031550001,Edgar Allen Poe Cottage,LP-00110,"Borough of The Bronx Tax Map Block 3155, Lot 1 in part, consisting of the land on which the described building is situated.",Designated,,02/15/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0110.pdf,155.876924523,1091.92073122
"MULTIPOLYGON (((-74.14599418921793 40.57204685516946, -74.14593037836762 40.57204717758956, -74.14577066094016 40.57205115447782, -74.14576712437155 40.57196853211382, -74.1457667423774 40.57195962279545, -74.14582529661855 40.571958165272314, -74.1459258691442 40.57195566107106, -74.14592605708538 40.571960063503404, -74.1459907696415 40.571958451287145, -74.14599323864972 40.57201610161759, -74.14599418921793 40.57204685516946)))",1116,SI,2359,1,3731 Richmond Road,5023590001,Britton Cottage,LP-00942,"Borough of Staten Island Tax Map Block 2359, Lot 1 in part consisting of the land on which the described building is situated.",Designated,designated as the Cubberly-Britton Cottage,11/09/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0942.pdf,191.533604864,2050.61660733
"MULTIPOLYGON (((-74.14522101793742 40.571331595611085, -74.14513663349972 40.571342813846385, -74.1451208657476 40.57127384987892, -74.14520525009884 40.571262630754624, -74.14522101793742 40.571331595611085)))",1119,SI,4441,1,"Center Street, between St. Patrick's Place and Court Place",5044410001,Seaman Cottage,LP-02168,"Borough of Staten Island Tax Map Block 4441, Lot 1, in part consisting of the land on which the described improvement is situated.",Designated,,12/13/2005,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2168.pdf,98.6028314353,606.928532808
"MULTIPOLYGON (((-73.90530510519802 40.91242222161941, -73.90516624768385 40.91259933149957, -73.90503866779048 40.912541766000345, -73.90511831228046 40.912440180574485, -73.90496911200816 40.91216897229988, -73.9050541086277 40.91202894884046, -73.90507067171714 40.91201496716779, -73.90508973653486 40.91200295870414, -73.90511089913927 40.911993178853145, -73.9051337093664 40.911985834354724, -73.9051576850766 40.911981081495696, -73.90518231572132 40.911979021610584, -73.90527481490139 40.91197036195431, -73.90536794081328 40.91196751985111, -73.90546105841342 40.911970514590195, -73.90555353271459 40.91197932584147, -73.90555719092423 40.91197939546934, -73.9055607796166 40.911979937793184, -73.90556419317004 40.91198093831902, -73.90556733073402 40.911982366348, -73.90557010097041 40.91198417948279, -73.90557242205112 40.911986325428515, -73.9055742252203 40.911988741095215, -73.90557545835259 40.91199135440181, -73.90557608357177 40.911994089676845, -73.90557608437504 40.911996865863394, -73.90557545969176 40.91199960101679, -73.90557422744064 40.9120022150087, -73.90557952649333 40.91200616705489, -73.90558384418762 40.91201075493915, -73.90558704896316 40.91201584078024, -73.90558904370528 40.912021270516505, -73.90558977048269 40.912026881113356, -73.90558920579826 40.91203250146009, -73.90558736769589 40.912037963181184, -73.90528751330632 40.91241428385101, -73.90530510519802 40.91242222161941)))",1154,BX,5958,1,6111 & 6115 Riverdale Avenue,2059580001,"College of Mount St. Vincent, Cottage and Stable",LP-01085,Too long,Designated,,07/28/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1085.pdf,658.931049828,21498.192569
"MULTIPOLYGON (((-74.10493047512854 40.58707248133319, -74.10517517222495 40.586931328298064, -74.10534872798917 40.587081798157975, -74.1054319416819 40.587153941158476, -74.1055573947912 40.58726270653548, -74.10529496717513 40.587447336818464, -74.10528795921189 40.58743774635593, -74.10528482457214 40.587433458231374, -74.10526385973537 40.587404672378064, -74.10523699746021 40.5873723834809, -74.1051875878949 40.5873362438679, -74.10515999829876 40.587320614412214, -74.10512633533988 40.587305278674386, -74.10510501131016 40.587297373570934, -74.10505942324207 40.58728533923599, -74.10503509299106 40.58727891732973, -74.10497135526388 40.58726598191565, -74.10492415402368 40.587258667746674, -74.10487641227459 40.58725316320442, -74.10483261554953 40.58724975146301, -74.104791748434 40.58724795977737, -74.10478394462528 40.587246780003625, -74.10477745860007 40.58724455532033, -74.1047727545361 40.587242012027396, -74.10476886365647 40.58723903754232, -74.10476418083194 40.58723346756839, -74.10476222905406 40.587229445806614, -74.10476110370672 40.587224401196586, -74.10476121611735 40.5872200074374, -74.10476172566361 40.587218029422054, -74.10476233970529 40.58721564787671, -74.10476397639908 40.587212332456026, -74.10476416361794 40.58721195316468, -74.1047690169851 40.58720500930132, -74.10477401256935 40.58719761324496, -74.1047803257452 40.587189051609315, -74.10479123028816 40.58717595524964, -74.10479803243723 40.58716886912592, -74.1048045916499 40.58716203537013, -74.10481015341938 40.58715714495412, -74.10484405011898 40.587127341804475, -74.10486715455575 40.58711067633436, -74.10490372701362 40.58708861613205, -74.10493047512854 40.58707248133319)))",1182,SI,891,0,95 West Entry Road,0,Ernest Flagg Estate Cottage: Bowcot,LP-01401,"Borough of Staten Island Tax Map Block 891, Lot 99.",Designated,,02/10/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1401.pdf,599.407368014,19342.220083
"MULTIPOLYGON (((-74.06561517821346 40.611037405421534, -74.06579706048146 40.61127423766838, -74.06582428271041 40.61130968461947, -74.06598560884682 40.61151974952459, -74.06589594905631 40.61156422548678, -74.06582120255294 40.611601304060954, -74.06575185937973 40.611635702245266, -74.06568069255484 40.6116710046527, -74.06551165281223 40.6114508957009, -74.06549983541667 40.61143550712009, -74.06529892397725 40.61117389566285, -74.06561517821346 40.611037405421534)))",1265,SI,2860,68,33-37 Belair Road,5028600068,Woodland Cottage,LP-01212,"Borough of Staten Island Tax Map Block 2680, Lot 30.",Designated,also known as the 33-37 Belair Road House,10/12/1982,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1212.pdf,615.389423554,20859.4019256
"MULTIPOLYGON (((-74.10836148290304 40.585262309563156, -74.10818361094074 40.585274891805305, -74.10815184339752 40.585277345022725, -74.10812629279324 40.58528002291516, -74.10810413008478 40.5852828606093, -74.1080797882651 40.585286537836495, -74.10805251069844 40.58529136688838, -74.10802778955444 40.58529640695443, -74.10800738500414 40.58530105393104, -74.1079848193445 40.58530671782595, -74.10794844386669 40.58531714315598, -74.10791968973074 40.58532631769237, -74.10789726356204 40.585334253461646, -74.10787456811427 40.58534294321809, -74.10784934190191 40.58535342018457, -74.10759332492789 40.58547028169714, -74.10758655334915 40.585471856751184, -74.10757598102866 40.58547363257818, -74.1075686907766 40.58547439314233, -74.10756056605393 40.585474811387506, -74.10755384274003 40.58547481858176, -74.1075453351292 40.58547438979102, -74.10753837913106 40.5854736695786, -74.1075318928278 40.585472689575234, -74.10752474905416 40.585471256322556, -74.10752340420976 40.58547085144469, -74.10735253835234 40.585382767948815, -74.10740416487012 40.58528091453832, -74.10752829534263 40.585159697740245, -74.10759300612082 40.5851059695197, -74.107602541898 40.58509796393454, -74.10761207847953 40.585099988386794, -74.10764392379325 40.585051291525005, -74.10795318380582 40.58482965521328, -74.10799989909506 40.58487915635562, -74.1082501622865 40.58514435036652, -74.10836148290304 40.585262309563156)))",1277,SI,898,0,285 Flagg Place,0,Ernest Flagg Estate Cottage: Wallcot,LP-01402,"Borough of Staten Island Tax Map Block 898, Lot 4.",Designated,also known as House-on-the-Wall,02/10/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1402.pdf,768.440407179,30673.3611488
