the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.98646837815123 40.75908528846283, -73.98664791264682 40.758838602611426, -73.9868944792481 40.758942453727975, -73.98701541581673 40.75899339186999, -73.98683677900011 40.75923884650054, -73.98646837815123 40.75908528846283)))",371,MN,1017,48,223-236 West 46th Street,1010170048,Forty-Sixth Street Theater,LP-01333,"Borough of Manhattan Tax Map Block 1017, Lot 48.",Designated,now the Richard Rodgers Theater,11/17/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1333.pdf,437.702844592,11925.4861485
"MULTIPOLYGON (((-73.93791663094434 40.84546532922672, -73.93767693718496 40.84536405844183, -73.93766222735654 40.845357674105, -73.93779698801069 40.84517366724658, -73.93812319079814 40.84531126327067, -73.93793512970335 40.845568051168755, -73.93786341193542 40.84553780013164, -73.93791663094434 40.84546532922672)))",1077,MN,2143,38,21 Wadsworth Avenue,1021430038,Fort Washington Presbyterian Church,LP-02337,"Borough of Manhattan Tax Map Block 2143, Lot 38 in part, excluding the Sunday School",Designated,,05/12/2009,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2337.pdf,420.513656713,8614.39808763
"MULTIPOLYGON (((-73.79188421108499 40.80597868111558, -73.79182754336286 40.805956955073974, -73.79165396332628 40.805890406958554, -73.79104054479681 40.805655225010554, -73.79092911351283 40.8057144740465, -73.79086334150261 40.80569906694187, -73.7908643326497 40.80564801934298, -73.79097906604648 40.805585973997495, -73.79088992959672 40.80512329794304, -73.79085027925653 40.805113753643624, -73.79075826156726 40.80509160453233, -73.7907381825908 40.80504298605661, -73.79079397801175 40.80501234332022, -73.79092394509237 40.80504636680404, -73.79100663228435 40.804988215601576, -73.79137570194565 40.804728659118084, -73.79134625178877 40.80465257201198, -73.79134363969806 40.80464582253123, -73.79133625131168 40.80462673294367, -73.79137587255664 40.80458423706835, -73.79143927425106 40.804602027725615, -73.79145439667896 40.80464602294812, -73.79146377876326 40.80467332059951, -73.79147636221586 40.80470992981864, -73.79215088600792 40.80481495681197, -73.79220322659886 40.80476820080372, -73.79240820775708 40.804799800383584, -73.79228679278748 40.80506704127984, -73.7922543717775 40.805058488433225, -73.79194028411744 40.805745949726564, -73.79197168707753 40.80575423337418, -73.79188421108499 40.80597868111558)))",1148,BX,5530,50,east of the Throgs Neck Bridge,2055300050,Fort Schuyler,LP-00124,"Borough of The Bronx Tax Map Block 5530, Lot 100 in part, consisting of the land on which the described building is situated.",Designated,now the State University of New York Maritime College,04/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0124.pdf,1690.62851391,127346.682033
"MULTIPOLYGON (((-74.05691448977238 40.605876926871744, -74.05691418468797 40.605876639756346, -74.05691332264676 40.60587582791241, -74.05678085106675 40.60575095682042, -74.05657686304377 40.60555867170625, -74.05551923330762 40.60456169905617, -74.05601814425958 40.60435039981126, -74.05625637220993 40.60424950422404, -74.05699508751637 40.60473735740002, -74.05745966141552 40.605376122992055, -74.05747059060033 40.60539115084161, -74.05744485590904 40.605413631730514, -74.05692380879762 40.605868786941464, -74.05691448977238 40.605876926871744)))",1187,SI,3128,1,"Hudson Road, Fort Wadsworth Reservation",5031280001,Fort Tompkins,LP-00824,"Borough of Richmond Tax Map Block 3218, Lot 1 in part, consisting of the land on which the described building is situated.",Designated,,09/24/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0824.pdf,1629.00104361,145717.967342
"MULTIPOLYGON (((-74.05452701695503 40.60570954355228, -74.05454686766184 40.60578130483063, -74.05460205643477 40.60578983178242, -74.05461920651392 40.60585183537461, -74.05461956795357 40.60585314005915, -74.0546215936846 40.605853820791545, -74.05463246219286 40.605857472645354, -74.05463503586141 40.60586500428788, -74.0546906404971 40.606027712959005, -74.05470148581652 40.60605205430815, -74.05470201663029 40.60605385870143, -74.05470178326864 40.606056015562466, -74.05470072033452 40.60605802243118, -74.0546989210214 40.60605969735771, -74.05469655062251 40.606060888975804, -74.0546938217287 40.60606148912149, -74.05469098242158 40.60606144364545, -74.05468828910095 40.60606075602776, -74.05466233530463 40.606055201347836, -74.05457604918638 40.60603673572714, -74.05448714906731 40.606017710255756, -74.05444315631667 40.60600750927892, -74.05442841081283 40.605954198161314, -74.05442729687294 40.60595017155485, -74.05440386682787 40.60594448864775, -74.05404816812535 40.60585820906442, -74.05401556871057 40.605850301598, -74.05397675321171 40.60587751019249, -74.05394917391143 40.60587217404114, -74.05391595538356 40.605865746394564, -74.05387740001349 40.60582882776691, -74.05387321381701 40.60578786408631, -74.05390525669067 40.605765059553846, -74.05391292004613 40.60575754830807, -74.0538340985006 40.60547258536868, -74.05380937121825 40.60538318952598, -74.05379679726559 40.605337730759736, -74.05374457116137 40.60532635908793, -74.05373124835516 40.60527819639697, -74.05374175065164 40.60524100713333, -74.05379216449195 40.60521166885715, -74.05383957598272 40.60523065487517, -74.05387684108365 40.60520503287111, -74.05396777716217 40.60514250838986, -74.05422591320723 40.604965020977836, -74.05426564839652 40.60493770019747, -74.05425722650367 40.60490725392244, -74.05425438839598 40.604896992012904, -74.0542986937519 40.60485957151008, -74.05434190925531 40.60482307183886, -74.05434504482481 40.60481990862347, -74.05434736222016 40.60481896648216, -74.05434993645083 40.604818569035174, -74.05435255368577 40.6048187479019, -74.05435391392852 40.60481911827367, -74.05435499533027 40.60481948877731, -74.054357061656 40.604820730520466, -74.05435857889385 40.60482236965344, -74.05435942287241 40.60482427025625, -74.05435952257226 40.60482627567164, -74.05437102771182 40.60487631493937, -74.05437739864627 40.6049040227886, -74.05440272003128 40.605024346660514, -74.05436509618119 40.605048683059984, -74.05435218408458 40.605057034304245, -74.0543572091464 40.605078797544365, -74.05435094495053 40.60508352194365, -74.05436175522173 40.60512175209427, -74.05437798901727 40.60517916079613, -74.05438279280561 40.60519615047253, -74.05442722664287 40.60537125124619, -74.05445561890357 40.60547392341634, -74.05447150908293 40.605531388998706, -74.05452701695503 40.60570954355228)))",1188,SI,3128,1,Fort Wadsworth Reservation,5031280001,Fort Richmond,LP-00379,"Borough of Richmond Tax Map Block 3128, Lot 1 in part, consisting of the land on which the described building is situated.",Designated,now Battery Weed,10/12/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0379.pdf,1230.52786065,57557.306691
"MULTIPOLYGON (((-74.01557260051706 40.692027563048015, -74.01509881249324 40.69205077116911, -74.01506292430999 40.692047391744104, -74.01502825133245 40.69203957712266, -74.01499573297635 40.69202753790352, -74.01496624952757 40.692011599959685, -74.01494060202805 40.69199219723673, -74.01491948387716 40.69196985374592, -74.01490346781637 40.691945175460866, -74.0148929893623 40.69191883230888, -74.0148883302396 40.69189153656094, -74.01488961719559 40.69186402932346, -74.01489681726324 40.69183705532486, -74.01512471373216 40.691305671562894, -74.01512420189493 40.69124497434591, -74.01506891908336 40.690665980470044, -74.0150725532902 40.69063925366382, -74.01508191955806 40.69061334737436, -74.01509676486822 40.69058896943676, -74.01511668003153 40.69056678538197, -74.01514112452888 40.69054740042327, -74.01516942887443 40.69053134504836, -74.01520082063861 40.69051905610538, -74.01523444219188 40.69051087049718, -74.01526937554516 40.69050701167096, -74.01530466719221 40.690507584211865, -74.01533935295217 40.69051257383987, -74.01537248517813 40.69052184290358, -74.01599418926212 40.69067064362237, -74.016117679778 40.690582862379415, -74.01618617585885 40.690679791207685, -74.01686708712205 40.69063809151556, -74.01690667664484 40.69063775431739, -74.01694575640252 40.69064258432521, -74.01698317171038 40.69065244032947, -74.01701781398283 40.69066703072936, -74.01704865977533 40.69068592343266, -74.01707479681434 40.690708559359116, -74.01709545239474 40.69073426954544, -74.01711001467955 40.690762293151835, -74.01711805400163 40.69079180267289, -74.01711933115132 40.690821922846894, -74.0171138092166 40.69085176487297, -74.01688798287705 40.69134621865902, -74.01699191050277 40.691435409087966, -74.0168801782488 40.691486569270765, -74.01692695443882 40.6920090463734, -74.01692839681175 40.692037810347955, -74.01692355344787 40.692066357322815, -74.01691255900954 40.6920938975274, -74.01689571616451 40.69211966998205, -74.01687349440816 40.69214295960804, -74.01684650522574 40.69216312244608, -74.01681549854725 40.69217959916459, -74.01678133080917 40.69219193577691, -74.01674494957574 40.69219978904698, -74.01670736041582 40.692202941803025, -74.01666960560755 40.6922013074438, -74.0166327298283 40.692194929943156, -74.01620767179038 40.69207615079037, -74.01597968376413 40.6922597270331, -74.01596837580256 40.692274179134564, -74.01595407070425 40.69228699992088, -74.01593716471501 40.692297832732976, -74.01591812862902 40.69230637583268, -74.0158974912282 40.692312393211566, -74.01587582863414 40.69231571549281, -74.01585374064977 40.69231625254193, -74.01583184247559 40.69231398716428, -74.01581074459892 40.69230898321255, -74.01579103149705 40.69230138108703, -74.01577325335339 40.69229138963201, -74.0157579035797 40.69227928974081, -74.01574540816364 40.69226541544647, -74.01573611620412 40.69225015392281, -74.01573028571089 40.69223392927685, -74.01557260051706 40.692027563048015)))",1199,MN,1,10,Andes Road,1000010010,Fort Columbus,LP-00543,"Borough of Manhattan Tax Map Block 1, Lot 10 in part, consisting of the land on which the described improvement is situated.",Designated,designated as Fort Jay,09/19/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0543.pdf,2358.06891354,296892.723236
"MULTIPOLYGON (((-73.7787595436236 40.796435942868186, -73.77877583817154 40.79643721503528, -73.77877530609922 40.79644114830973, -73.77877475213852 40.796445249936106, -73.77877419576303 40.79644936506543, -73.77877362359138 40.79645359813021, -73.77877295911777 40.79645850729528, -73.77877215249723 40.796464472476934, -73.77876979700119 40.7964818971827, -73.77916011434198 40.79651237485236, -73.7792515220574 40.79647754110966, -73.77925443931964 40.79646147542799, -73.77928824296596 40.796451165470984, -73.77929915700753 40.79646093430867, -73.77936641582632 40.796441410503604, -73.77940670681475 40.79642971444894, -73.77955478924623 40.796271201333724, -73.77955517449463 40.79627079954588, -73.77966535592553 40.79615284537001, -73.7796680410109 40.79614997069551, -73.77967063928676 40.79614718950721, -73.77967315906847 40.79614449551757, -73.77967568362541 40.796141790730964, -73.77967819390946 40.796139102126126, -73.77968321565294 40.79613372761991, -73.77977634601554 40.79618397443401, -73.7797782184176 40.79618498477321, -73.77978116272999 40.79618183323653, -73.77979356428023 40.79616855740739, -73.77984581625354 40.79611262524898, -73.77985313789715 40.79611657623018, -73.77985743626033 40.79611889512921, -73.77981827315438 40.7961608170634, -73.77980688118988 40.79617301241979, -73.77980176194127 40.796178492103856, -73.77979239032722 40.79618852290823, -73.77978326010164 40.796198296629335, -73.77977614784326 40.796205911198086, -73.77974628135031 40.79623788230579, -73.77971606879105 40.79627022285091, -73.77968316516615 40.796305444354964, -73.77943401688125 40.79657214336342, -73.77944918140406 40.796603707978164, -73.77942036818291 40.79665135426141, -73.77940661243008 40.79665451301407, -73.77934867342412 40.79666781690265, -73.7793395064386 40.79666576241743, -73.77930922531823 40.79665897498928, -73.77929474072998 40.79665572795935, -73.77928979242371 40.79662892403256, -73.77926165967571 40.79662640728633, -73.77881266546918 40.79658856653398, -73.77871462160124 40.7965803026458, -73.77869075417445 40.79657829102594, -73.77866762475658 40.79657634205245, -73.77862821650058 40.79657302006259, -73.77860602884778 40.79657115032863, -73.77857981709614 40.79656894057493, -73.77855367523614 40.796566737253045, -73.7785558813084 40.796552572984446, -73.77855710424626 40.79654471124529, -73.77856347182603 40.79650382625499, -73.77856512094768 40.79649323230922, -73.77856682455274 40.79648228907305, -73.77865097009504 40.79648985642483, -73.77866487125307 40.79648145531568, -73.77866815894394 40.796479468816614, -73.77868683787734 40.796468179962254, -73.77868725214026 40.79646511184503, -73.77868912655019 40.79645125851076, -73.77869098884966 40.79643748349695, -73.77869191089209 40.79643066215947, -73.77870420139608 40.79643162227906, -73.7787595436236 40.796435942868186)))",1226,QN,5917,1,Fort Totten Park,4059170001,Fort Totten Battery,LP-00826,"Borough of Queens Tax Map Block 5917, Lot 1, in part, consisting of the land on which the described improvement is situated.",Designated,,09/24/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0826.pdf,995.981544137,16881.8454617
"MULTIPOLYGON (((-73.77775398194083 40.79199013832877, -73.77780034958695 40.792019040228304, -73.77780904374497 40.79202446000821, -73.77780607241212 40.79202721432238, -73.77783567844241 40.79204566867333, -73.77780448421954 40.792074575927366, -73.777895616379 40.79213138062015, -73.77791312298602 40.79214229243278, -73.77792428956766 40.79214925322624, -73.77789749290537 40.792174086096686, -73.77795139500175 40.7922076841689, -73.77790974641218 40.79224627783315, -73.77792976565514 40.79225875595704, -73.77789994532348 40.79228638896971, -73.77787415122602 40.792270312107, -73.77786856273232 40.79227549093635, -73.77788287925168 40.7922844145977, -73.77787624484483 40.79229056305472, -73.77787465569803 40.79228957214016, -73.77785107514175 40.792311424228515, -73.77783151821673 40.792299234242726, -73.77781905284175 40.79231078618218, -73.77779248428642 40.79229422513858, -73.77778895718484 40.7922920265139, -73.77778870465981 40.79227254724329, -73.77778789604358 40.79226951459065, -73.77779584497318 40.792262149391654, -73.77774532102609 40.79223065683399, -73.7777149479632 40.79225880111956, -73.77766244827114 40.79222607642872, -73.77769245290065 40.79219827183645, -73.77764513335045 40.79216877552696, -73.77764019735491 40.792173349565545, -73.77760635865917 40.79217592635403, -73.77758080825528 40.79215999937886, -73.77757521635196 40.792132858227895, -73.77760049654148 40.79210943179339, -73.77761509171516 40.79211082151586, -73.77761837877314 40.79211287109977, -73.77766224644894 40.79207221966825, -73.77764030946904 40.79205854553136, -73.7776833189738 40.792018689381294, -73.77770714541967 40.79203354050992, -73.77775398194083 40.79199013832877)))",1227,QN,5917,1,208 Totten Avenue,4059170001,Fort Totten Officer's Club,LP-00827,"Borough of Queens Tax Map Block 5917, Lot 1, in part, consisting of the land on which the described building is situated.",Designated,,09/24/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0827.pdf,425.006625002,6163.76545881
"MULTIPOLYGON (((-74.0314634114511 40.609190669352785, -74.03182778866524 40.60872765323692, -74.0315237255148 40.608325061609726, -74.0329118033727 40.607467415554694, -74.03304219890505 40.607601612603, -74.03331401803037 40.607924358540686, -74.03343199608625 40.60809256153532, -74.03349005119733 40.60822005219031, -74.03354401528239 40.60839343188712, -74.03355058085072 40.608521660642026, -74.03355285099805 40.60867272697525, -74.03351107849241 40.608895067126895, -74.03339763690839 40.60918657645122, -74.03323808232554 40.60943383566601, -74.03308524117284 40.609620455206716, -74.03293869235904 40.609746989045036, -74.03279730209506 40.609895484040564, -74.03265156287905 40.6097734949708, -74.0325415342827 40.60951917298449, -74.03250689162655 40.609514073228326, -74.03247360597356 40.60950515576774, -74.03244239584355 40.60949261401324, -74.03241393843541 40.60947671793206, -74.03238884835703 40.60945781225262, -74.03236766934886 40.60943630656141, -74.03218372040497 40.609190469919255, -74.0314634114511 40.609190669352785)))",1241,BK,6153,1,Whiting Quadrangle,3061530001,Fort Hamilton Casemate Fort,LP-00953,"Borough of Brooklyn Tax Map Block 6153, Lot 1 in part consisting of the land described above.",Designated,now the  Officers' Club,03/08/1977,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0953.pdf,2369.05856826,298742.48258
"MULTIPOLYGON (((-73.98190147864095 40.64721135921857, -73.98193183216905 40.64719953929181, -73.9827277727833 40.64688956916845, -73.98274779458802 40.64692166032636, -73.9827605898037 40.64695582879275, -73.98276580752656 40.64699113617789, -73.98276330612147 40.64702661530546, -73.98275315203479 40.647061294526125, -73.98273562451928 40.64709422113188, -73.98271120498629 40.647124494674, -73.98268056163329 40.64715128317023, -73.98266732882794 40.64715865191507, -73.9827109084753 40.64722850353767, -73.9826969148673 40.64723356504477, -73.98270428687105 40.64724539085317, -73.98267915039303 40.647254483200584, -73.98267179611896 40.64724268801092, -73.98262234965355 40.64726052881318, -73.98262945337461 40.647271949352735, -73.982599684266 40.64728268983114, -73.98260637370485 40.647291424064775, -73.98261141758582 40.647299478158295, -73.98261457085749 40.647308073177015, -73.98261574018557 40.64731695335994, -73.98261489016981 40.64732585394948, -73.98261204688838 40.64733451109783, -73.98260729316719 40.64734266816985, -73.98260041376864 40.647350561068336, -73.98260354195146 40.64735562605371, -73.98258992432271 40.64736050389902, -73.98258805474039 40.64735747697565, -73.98247240506211 40.64740214580305, -73.98247434318355 40.647405284402964, -73.98246072553516 40.64741016223292, -73.98245771790243 40.64740529177394, -73.98244827074755 40.64740797117404, -73.98243294305178 40.64741011296664, -73.98241792804312 40.64741011067211, -73.98240103619565 40.64740772531837, -73.9823878997239 40.64740367277833, -73.98237632635895 40.64739914410241, -73.98236475505945 40.64739127990768, -73.98235563842628 40.64738249846075, -73.98234996269787 40.64737645781691, -73.98234276153462 40.64736704630044, -73.98228953945225 40.647386411856814, -73.98227651715585 40.647366503004115, -73.98225280761307 40.64737550902843, -73.98223701663338 40.64735036683496, -73.98222650196281 40.64735271916401, -73.98217709186038 40.64735318248813, -73.98212739576095 40.64734879825925, -73.98207924769538 40.64733845282223, -73.98203386890252 40.647322411122, -73.98199241437183 40.64730108037672, -73.98195593855836 40.647275001967266, -73.98192536701043 40.64724483972541, -73.98190147864095 40.64721135921857)), ((-73.99523813182705 40.65630557662998, -73.99522955547165 40.65629050702522, -73.99523556094012 40.65627608189428, -73.9952557515939 40.65626949274633, -73.99527025280433 40.65627299365268, -73.9952847650048 40.65623813343907, -73.99541256343072 40.65626899121589, -73.99539805129032 40.656303851445514, -73.99541804959675 40.65630867991484, -73.99542728589401 40.65632237444248, -73.99542128046282 40.656336799583364, -73.99540449538749 40.656341239362625, -73.99537063759858 40.656422570887216, -73.99538108729136 40.65643335049416, -73.99537476252709 40.65644854285995, -73.99536147146364 40.65645413543493, -73.99535939976035 40.65645500705168, -73.99534362385207 40.65645119812832, -73.99533420537058 40.6564387499021, -73.99531213778923 40.65643342154707, -73.99530461047806 40.65643160399701, -73.99529978410709 40.656443197053946, -73.99525691650872 40.656432846554495, -73.99526174288638 40.65642125349932, -73.9952303081587 40.6564136635445, -73.99520954289372 40.65641882354366, -73.995194352302 40.65641515600532, -73.99518287387596 40.6564049355593, -73.99518860144242 40.65639117860292, -73.9952059780484 40.6563828135268, -73.99523813182705 40.65630557662998)))",1376,BK,902,1,500 25th Street,3009020001,"Fort Hamilton Parkway Entrance and Green-Wood Cemetery Chapel, Green-Wood Cemetery",LP-01233,"Borough of Brooklyn Tax Map Block 902, Lot 1 in part. See designation report for entire site description.",Designated,,04/12/2016,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1233.pdf,975.285179636,27421.752873
