the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.0765201471332 40.64254697063376, -74.07583998709488 40.642850781606455, -74.07552349197444 40.64243486565576, -74.0755096576941 40.64241378009185, -74.07549718616237 40.64238717705448, -74.07549209538863 40.64237129164594, -74.07548860383358 40.642355146738545, -74.0754866908406 40.64233824886177, -74.07548654713798 40.6423209481922, -74.07548849285467 40.64230198379367, -74.07549314752907 40.64228141829562, -74.07549817411386 40.64226669962066, -74.07550309805302 40.64225529852351, -74.07551133339972 40.64223979519044, -74.07553383326837 40.64220357146002, -74.07555530146885 40.64217606182123, -74.0755707936976 40.64215901112714, -74.07558574233646 40.642144247205074, -74.07560790531029 40.64212480664725, -74.07562850113084 40.64210888724315, -74.07565109059395 40.6420933906681, -74.07567398447733 40.64207947249748, -74.07570302993172 40.64206404010299, -74.07572376756849 40.64205436658577, -74.07574306590637 40.64204627532357, -74.07575995802314 40.64203986060805, -74.07577520226826 40.64203457802735, -74.07579065620729 40.6420296906341, -74.0758041890169 40.64202578246845, -74.07582035892163 40.64202155107735, -74.07584186799453 40.64201663537074, -74.07585994438857 40.642013112325394, -74.0758807186946 40.642009728878456, -74.07590719602092 40.642006471338135, -74.0759303606488 40.642005113371894, -74.07594897173234 40.642005011930415, -74.075967624015 40.642005792967026, -74.07598941881453 40.64200783895384, -74.07601130254263 40.642011153708516, -74.07602893193086 40.64201478105029, -74.07604614253603 40.64201919121699, -74.07606634510482 40.64202553551719, -74.0760844475056 40.64203238729488, -74.07610828816117 40.642043300213366, -74.07611970204896 40.64204938466747, -74.07613066711288 40.64205582512243, -74.07614228008072 40.6420633556755, -74.07615325624894 40.64207123514979, -74.07616484517816 40.64208048660759, -74.07617526614543 40.642089772157135, -74.07618691699633 40.642101481087096, -74.0765201471332 40.64254697063376)))",8,SI,7,1,2-10 Richmond Terrace,5000070001,Staten Island Borough Hall,LP-01207,"Borough of Staten Island Tax Map Block 7, Lot 1.",Designated,,03/23/1982,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1207.pdf,889.184902298,54479.5138404
"MULTIPOLYGON (((-73.82985178293292 40.76409609007114, -73.8297177288889 40.76376956310416, -73.83014548847756 40.76364598868142, -73.83030748637387 40.764040577824325, -73.82987098742667 40.76414286729085, -73.82985178293292 40.76409609007114)))",88,QN,4960,1,137-35 Northern Boulevard,4049600001,Flushing Town Hall,LP-00139,"Borough of Queens Tax Map Block 4960, Lot 1.",Designated,"designated as Flushing Municipal Courthouse, now Flushing Council on Culture and the Arts",07/30/1968,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0139.pdf,546.372575531,18541.6561829
"MULTIPOLYGON (((-73.9843107558267 40.756220643538306, -73.9840939298347 40.75613009142059, -73.98426999064972 40.75588357168055, -73.9846671457991 40.756049445157046, -73.98449108838392 40.75629596549848, -73.9843107558267 40.756220643538306)))",127,MN,996,21,113-123 West 43rd Street,1009960021,Town Hall,LP-01011,"Borough of Manhattan Tax Map Block 996, Lot 21.",Designated,,11/28/1978,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1011.pdf,455.481140238,12830.1093823
"MULTIPOLYGON (((-74.0037685378461 40.71363690899054, -74.00411911548352 40.71328002736799, -74.00469321243834 40.713540339382085, -74.00438193589612 40.7139170207748, -74.0037685378461 40.71363690899054)))",153,MN,153,24,31 Chambers Street,1001530024,Hall of Records,LP-00082,"Borough of Manhattan Tax Map Block 153, Lot 24.",Designated,now Surrogate's Court-Hall of Records,02/15/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0082.pdf,708.03411276,31027.182066
"MULTIPOLYGON (((-73.99846474015538 40.730391648783964, -73.99852227222219 40.73032382774248, -73.99852429997269 40.730324829133934, -73.99855775374954 40.730285392690305, -73.99849904017695 40.73025640187103, -73.99860966826353 40.73012598982177, -73.99895035764413 40.730294202110095, -73.99894998593827 40.73029463975383, -73.99874874199887 40.73053187309088, -73.99846474015538 40.730391648783964)))",187,MN,541,18,51-54 Washington Square South,1005410018,Judson Hall,LP-00230,"Borough of Manhattan Tax Map Block 541, Lot 18.",Designated,,05/17/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0230.pdf,432.587257386,10718.1902253
"MULTIPOLYGON (((-74.00749079377609 40.71176985232607, -74.00753172954083 40.711768837481024, -74.0075794196294 40.711772348143754, -74.0076198782162 40.71177943249215, -74.00768082324568 40.711798054605424, -74.00773531009848 40.71182470337244, -74.0077716394942 40.71184982967674, -74.00780642185308 40.711882291634524, -74.0078284546376 40.71191019696475, -74.00784955963186 40.7119481466502, -74.00786179513665 40.71198856433693, -74.00786468477432 40.71200610338612, -74.0078659481971 40.71202208916542, -74.00786490315477 40.71205155574725, -74.00785989340491 40.71207922518044, -74.00785289485377 40.71210153130744, -74.00773364774925 40.71226644629554, -74.00626408775777 40.71399831918038, -74.00430548549846 40.713095403280924, -74.00470697110579 40.71268274120135, -74.00477023548284 40.71261572980216, -74.00490639579365 40.71251295870878, -74.00499531757904 40.71245715564428, -74.00505471403456 40.712422063754424, -74.00513138386572 40.71238692513905, -74.00522919647592 40.71234657515944, -74.00531044386398 40.712314044995765, -74.00540798972666 40.71228508453481, -74.00740670939643 40.711783970570636, -74.00744326568321 40.711775685315274, -74.00749079377609 40.71176985232607)))",299,MN,122,1,City Hall Park,1001220001,City Hall,LP-00080,"Borough of Manhattan Tax Map Block 122, Lot 1.",Designated,,02/01/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0080.pdf,2679.76581057,410762.849097
"MULTIPOLYGON (((-73.98900765729569 40.731894990518256, -73.98886398806704 40.731834651664926, -73.98890181499281 40.73178277703485, -73.98903954111479 40.731593911313, -73.98932322384604 40.73171305089929, -73.98924953736812 40.73181409908334, -73.98914767269322 40.731953790779365, -73.98900765729569 40.731894990518256)))",342,MN,556,68,119-125 East 11th Street,1005560068,Webster Hall and Annex,LP-02273,"Borough of Manhattan Tax Map Block 556, Lot 68.",Designated,,03/18/2008,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2273.pdf,380.217619186,9007.83751822
"MULTIPOLYGON (((-73.98580412536627 40.735447825203075, -73.98584448739126 40.73539224092242, -73.9861684798856 40.73552871263131, -73.9861283109987 40.73558437809343, -73.98580412536627 40.735447825203075)))",446,MN,873,34,190 Third Avenue,1008730034,Scheffel Hall,LP-01959,"Borough of Manhattan Tax Map Block 873, Lot 34.",Designated,,06/24/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1959.pdf,251.604157153,2375.1939773
"MULTIPOLYGON (((-73.98842339120395 40.73623121246792, -73.98857584914248 40.736021598495874, -73.98865483274787 40.73605487376203, -73.98864589253286 40.73606716391118, -73.98907747459651 40.73624898754866, -73.9889310873115 40.73644480788424, -73.98842339120395 40.73623121246792)))",465,MN,872,78,100-102 East 17th Street,1008720078,Tammany Hall,LP-02490,"Borough of Manhattan Tax Map Block 872, Lot 78",Designated,,10/29/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2490.pdf,496.996820939,13370.0044865
"MULTIPOLYGON (((-73.99836149873394 40.71927487924661, -73.99856935583206 40.719363319283865, -73.99852959395464 40.71942424007147, -73.99863641171588 40.71947526246968, -73.99848252414242 40.71966508080015, -73.99824246546048 40.719558544378806, -73.99836149873394 40.71927487924661)))",483,MN,235,13,165-171 Grand Street,1002350013,Odd Fellows Hall,LP-01293,"Borough of Manhattan Tax Map Block 235, Lot 13.",Designated,,08/24/1982,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1293.pdf,392.53727467,8715.60607094
