the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.00983074763279 40.732194217368836, -74.00984495150101 40.73205523351479, -74.0101174060313 40.73208036469653, -74.0100929183983 40.732222189688464, -74.00983074763279 40.732194217368836)))",188,MN,604,1,150 Barrow Street,1006040001,Keller Hotel,LP-02212,"Borough of Manhattan Tax Map Block 604, Lot 1.",Designated,,03/06/2007,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2212.pdf,252.338224511,3841.58704823
"MULTIPOLYGON (((-73.98391021581547 40.75686472951568, -73.98409120223475 40.756617500264134, -73.9844070139262 40.75675040937271, -73.98422601529289 40.7569976328103, -73.98391021581547 40.75686472951568)))",201,MN,997,19,123 West 44th Street,1009970019,Hotel Gerard,LP-01242,"Borough of Manhattan, Tax Map Block 997, Lot 19.",Designated,now the Gerard Apartments,07/27/1982,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1242.pdf,406.174353917,10308.679429
"MULTIPOLYGON (((-73.98317646298183 40.74609895729569, -73.98335657463096 40.74584891100655, -73.98348135378359 40.74590130062772, -73.98330132419875 40.746151191334384, -73.98317646298183 40.74609895729569)))",230,MN,861,52,34 East 32nd Street,1008610052,St. Louis Hotel,LP-02533,"Borough of Manhattan Tax Map Block 861, Lot 52.",Designated,now Hotel Grand Union,06/25/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2533.pdf,286.668190122,4100.78827218
"MULTIPOLYGON (((-73.98739465560219 40.74868512626687, -73.98758154219253 40.74842762431795, -73.987481205458 40.74838577143657, -73.98765704187129 40.74814337504501, -73.98804783894937 40.74830794954995, -73.98800259128484 40.7485743559962, -73.98767668828015 40.74851307636369, -73.9876476152793 40.74855313226631, -73.9877472512138 40.74858309554434, -73.98760799616878 40.74877496860087, -73.98739465560219 40.74868512626687)))",235,MN,834,11,1260 Broadway,1008340011,Hotel Martinique,LP-01983,"Borough of Manhattan Tax Map Block 834, Lot 11.",Designated,,05/05/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1983.pdf,748.161657377,21045.7720028
"MULTIPOLYGON (((-73.9809336162594 40.755115348310376, -73.98111574631142 40.7548663084404, -73.9812780809851 40.75493444736225, -73.98109272953761 40.755182134398694, -73.9809336162594 40.755115348310376)))",244,MN,1259,47,12 West 44th Street,1012590047,Hotel Mansfield,LP-02517,"Borough of Manhattan Tax Map Block 1259, Lot 47",Designated,now the Mansfield Hotel,06/12/2012,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2517.pdf,309.372932185,5280.48143841
"MULTIPOLYGON (((-73.98220817250136 40.756147040464754, -73.98208233920421 40.756093781293266, -73.98226126342692 40.755848213298265, -73.98255973032431 40.755974538519794, -73.98242131578247 40.75616450966931, -73.98238080686261 40.75622010697389, -73.9823296402887 40.75619845189264, -73.98226782175345 40.75617228631991, -73.98220817250136 40.756147040464754)))",269,MN,1260,7,59-61 West 44th Street,1012600007,Algonquin Hotel,LP-01547,"Borough of Manhattan Tax Map Block 1260, Lot 7.",Designated,,09/15/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1547.pdf,393.836856374,9679.58537159
"MULTIPOLYGON (((-73.98646834720017 40.746675224432984, -73.98660231166348 40.746491018993346, -73.98664688183493 40.74642973390031, -73.98672798422703 40.74646393460312, -73.98680259750685 40.7464953987668, -73.98688407655322 40.74652975879219, -73.9869523369265 40.74655854312834, -73.98677380425616 40.74680403413012, -73.98646834720017 40.746675224432984)))",362,MN,832,49,4 West 31st Street,1008320049,Hotel Wolcott,LP-02423,"Borough of Manhattan Tax Map Block 832, Lot 49",Designated,,12/20/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2423.pdf,397.97434914,9891.59157843
"MULTIPOLYGON (((-73.9876482512998 40.747172776918354, -73.98782715835861 40.74692676682264, -73.98791316237366 40.74696303116691, -73.98827088732247 40.74711387595044, -73.98821413864991 40.74741139834891, -73.9876482512998 40.747172776918354)))",374,MN,832,66,1232-1238 Broadway,1008320066,Grand Hotel,LP-01041,"Borough of Manhattan Tax Map Block 832, Lot 66.",Designated,,09/11/1979,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1041.pdf,531.828009102,16381.4648993
"MULTIPOLYGON (((-73.9856868633965 40.755357889293265, -73.98586216518737 40.75511839724379, -73.98586374594835 40.7551190593092, -73.98604485896658 40.75487162612992, -73.98609681910979 40.75489341293571, -73.98597599678762 40.75505847982786, -73.98608030099972 40.755102216514686, -73.98602001052662 40.755184583837384, -73.98637165490814 40.755332031489274, -73.98628319859672 40.755608791284196, -73.9856868633965 40.755357889293265)))",383,MN,994,7502,1462-1470 Broadway,1009947502,Knickerbocker Hotel,LP-01556,Borough of Manhattan Tax Map Block 994 Lot 54.,Designated,,10/18/1988,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1556.pdf,759.982056908,20327.3554445
"MULTIPOLYGON (((-73.9869240038084 40.759764520671546, -73.98683753737875 40.75972800796594, -73.98676521247475 40.75969756982455, -73.98668341303542 40.75966314670991, -73.98686353179498 40.75941820218688, -73.98733882388059 40.75961867263867, -73.98715895864515 40.75986327213193, -73.9869240038084 40.759764520671546)))",399,MN,1018,6,235-245 West 46th Street,1010180006,Paramount Hotel,LP-02342,"Borough of Manhattan Tax Map Block 1018, Lot 6",Designated,,11/17/2009,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2342.pdf,505.48915254,15386.2185944
"MULTIPOLYGON (((-73.98273982221735 40.78004769254242, -73.98255564891578 40.78030471939829, -73.98254997628885 40.78030230699523, -73.98236342782297 40.780562643419415, -73.98176923471027 40.78031002679572, -73.98193924413151 40.77970733317887, -73.98273982221735 40.78004769254242)))",426,MN,1165,7503,2101-2119 Broadway,1011657503,Ansonia Hotel,LP-00285,"Borough of Manhattan Tax Map Block 1165, Lot 20.",Designated,,03/14/1972,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0285.pdf,883.602995488,47494.6117763
"MULTIPOLYGON (((-73.9594722289699 40.76059940889217, -73.95944449633363 40.76058779973188, -73.95962279062016 40.76034338794192, -73.96001633653034 40.76050975206712, -73.95986462303917 40.76071772939926, -73.95983894168059 40.76075293468404, -73.9594722289699 40.76059940889217)))",517,MN,1456,12,421 East 61st Street,1014560012,Mount Vernon Hotel Museum,LP-00426,"Borough of Manhattan Block 1456, Lot 12.",Designated,designated as the Abigail Adams Smith House,01/24/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0426.pdf,452.624863027,12670.0833327
"MULTIPOLYGON (((-73.96900694487371 40.798887209329244, -73.96938537605439 40.79904677899076, -73.96920269575024 40.79929916280498, -73.96882426357311 40.79913959164965, -73.96900694487371 40.798887209329244)))",554,MN,1874,52,2689-2693 Broadway,1018740052,Marseilles Hotel,LP-01660,"Borough of Manhattan Tax Map Block 1874, Lot 52.",Designated,,10/02/1990,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1660.pdf,449.538034827,12574.839133
"MULTIPOLYGON (((-73.9740208102023 40.76120651148393, -73.97420266562287 40.760959872633855, -73.9745896857943 40.76112313007513, -73.97467139904465 40.761157598671986, -73.97462951465451 40.76121440588937, -73.97495434503442 40.76135142659552, -73.9748146483693 40.76154088840351, -73.9740208102023 40.76120651148393)))",569,MN,1290,7502,699-703 Fifth Avenue,1012907502,St. Regis Hotel,LP-01552,"Borough of Manhattan, Tax Map Block 1290, Lot 69.",Designated,,11/01/1988,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1552.pdf,708.68429987,23437.3714041
"MULTIPOLYGON (((-73.98116925953371 40.782209156183214, -73.98155534233221 40.782372042833686, -73.98161217194622 40.7823960196676, -73.98164658529703 40.78241053763815, -73.9814551140347 40.782672543056336, -73.98106585238986 40.78250975911325, -73.98116925953371 40.782209156183214)))",603,MN,1168,56,2171-2179 Broadway,1011680056,Belleclaire Hotel,LP-01507,"Borough of Manhattan Tax Map Block 1168, Lot 56.",Designated,,02/10/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1507.pdf,496.623319579,15006.8860515
"MULTIPOLYGON (((-73.97253121158992 40.75647637133193, -73.97288428700475 40.75599004709904, -73.97416476665138 40.75653009249989, -73.97381169772285 40.75701642061919, -73.97253121158992 40.75647637133193)))",618,MN,1304,1,301 Park Avenue,1013040001,Waldorf-Astoria Hotel,LP-01812,"Borough of Manhattan Tax Map Block 1304, Lot 1.",Designated,,01/05/1993,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1812.pdf,1216.11022074,82102.8144953
