the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.09145318437727 40.64302777925552, -74.0914226952439 40.64292509393511, -74.09141559050897 40.64290116559641, -74.09193861393138 40.64281408091465, -74.09199788584148 40.6430137046305, -74.09147486211141 40.64310078777792, -74.09145318437727 40.64302777925552)))",1,SI,58,27,105 Franklin Avenue,5000580027,105 Franklin Avenue House,LP-00330,"Borough of Richmond Tax Map Block 58, Lot 27.",Designated,also known as Hamilton Park Cottage,10/13/1970,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0330.pdf,446.281128592,11078.2500019
"MULTIPOLYGON (((-74.15192193203103 40.58295935113138, -74.15199518138749 40.58288801641334, -74.15215337886448 40.58273395410881, -74.15247184698494 40.58242380350605, -74.15272952955463 40.58217284780248, -74.15296199479684 40.58195613874219, -74.15319779377076 40.581736229696524, -74.15365082355957 40.58131236615991, -74.15546730853794 40.582284848251646, -74.15521015324737 40.582544486854516, -74.15499265202463 40.58276408806888, -74.15485465512859 40.582903415187054, -74.15463537808476 40.58312480565047, -74.15442489163436 40.58333731820453, -74.15429451665634 40.58346894841315, -74.15408236176154 40.583683142950335, -74.15386604450525 40.58390153911064, -74.15378788683681 40.58398044509554, -74.15192193203103 40.58295935113138)))",2,SI,2390,194,435 Richmond Hill Road,5023900194,Decker Farmhouse,LP-00369,"Borough of Richmond Tax Map Block 2390, Lot 194.",Designated,,12/13/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0369.pdf,2797.20941661,484779.747763
"MULTIPOLYGON (((-74.13066516743713 40.63716901614794, -74.13072495718542 40.63691020093058, -74.13103559533661 40.637045723193545, -74.1309316110044 40.63718933677412, -74.13066516743713 40.63716901614794)))",4,SI,1015,9,121 Heberton Avenue,5010150009,121 Heberton Avenue House,LP-02120,"Borough of the Staten Island Tax Map Block 1015, Lot 9.",Designated,,12/17/2002,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2120.pdf,329.167837446,6515.86113264
"MULTIPOLYGON (((-74.13863423148467 40.573402075346166, -74.13828945441671 40.57282106470815, -74.13880797871434 40.572758635353736, -74.13916717832565 40.57336393936445, -74.13864864848193 40.57342636943771, -74.13863423148467 40.573402075346166)))",5,SI,2281,155,3531 Richmond Road,5022810155,Reverend David Moore House,LP-00366,"Borough of Richmond Tax Map Block 2282, Lot 155.",Designated,also known as the Moore-McMillen House,08/24/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0366.pdf,775.778936498,34036.9118356
"MULTIPOLYGON (((-74.07822630434428 40.631473885360386, -74.07836583204387 40.63120060057569, -74.07854191260495 40.63125246743388, -74.0784016590792 40.63152717844871, -74.07822630434428 40.631473885360386)))",7,SI,514,30,63 William Street,5005140030,Mary and David Burgher House,LP-02367,"Borough of Staten Island Tax Map Block 514, Lot 30",Designated,,01/12/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2367.pdf,319.023316578,5612.60159675
"MULTIPOLYGON (((-74.13298502411244 40.57839968605891, -74.13348414712823 40.578270008833954, -74.1335050431313 40.57831583569279, -74.13359250651688 40.57850764313702, -74.13359676558963 40.57850653684209, -74.13362632152037 40.57857135198651, -74.13362206244572 40.57857245918301, -74.13364344263162 40.57861934447003, -74.13374701650548 40.57884648046269, -74.13350290223742 40.57886848956053, -74.13322274921336 40.57892102451171, -74.13298502411244 40.57839968605891)))",9,SI,2268,180,190 Meisner Avenue,5022680180,Nathaniel J. and Ann C. Wyeth House,LP-02253,"Borough of Staten Island Tax Map Block 2268, Lot 180",Designated,,05/15/2007,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2253.pdf,720.846442817,30706.2994365
"MULTIPOLYGON (((-74.09235803508138 40.64173038289238, -74.09236110522806 40.64172783105769, -74.09237056605393 40.64172000515399, -74.09238169617474 40.641710510147526, -74.09239375624978 40.64169985722611, -74.09240642378798 40.64168822405077, -74.09241797263736 40.64167719962328, -74.09243163992771 40.64166359530634, -74.09244579499878 40.64164880911488, -74.09246070912097 40.6416323860686, -74.09247509079266 40.64161563025651, -74.09248857181781 40.64159900664278, -74.09250203491747 40.641581396073086, -74.09251420095657 40.64156449345268, -74.09252626403843 40.641546665180286, -74.09253707039896 40.64152964838493, -74.09254262218802 40.64152046582892, -74.09254922192758 40.64150911578075, -74.0925556310905 40.64149759028445, -74.09256191568778 40.64148575150741, -74.09258755017716 40.6414278896425, -74.09300957674532 40.64161062456582, -74.09282277745368 40.64190187182141, -74.09272534198304 40.6419736209214, -74.09266986541307 40.64201447265145, -74.09235803508138 40.64173038289238)))",10,SI,64,155,22 Pendleton Place,5000640155,22 Pendleton Place House,LP-00332,"Borough of Richmond Tax Map Block 64, Lot 155.",Designated,also known as the W. S. Pendleton House,03/04/1969,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0332.pdf,575.205547541,20375.8783183
"MULTIPOLYGON (((-74.07947876389446 40.62931256676738, -74.07955618323682 40.62922986170183, -74.07985250287956 40.629392236152874, -74.07977508489692 40.62947494051515, -74.07947876389446 40.62931256676738)))",11,SI,515,39,364 Van Duzer Street,5005150039,364 Van Duzer Street House,LP-00772,"Borough of Richmond Tax Map Block 515, Lot 39.",Designated,,12/18/1973,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0772.pdf,276.649845967,3749.60609632
"MULTIPOLYGON (((-74.0778489499521 40.64485009409712, -74.07803128624285 40.645091297742816, -74.07765656183544 40.645257465595876, -74.07747293610166 40.64501683405894, -74.0778489499521 40.64485009409712)))",12,SI,9,22,100 Richmond Terrace,5000090022,Staten Island Family Courthouse,LP-02057,"Borough of Staten Island Tax Map Block 9, Lot 22, in part excluding the portion of the lot between the western elecation and the western lot line.",Designated,originally Staten Island Children's Courthouse,01/30/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2057.pdf,443.876822658,12222.5862426
"MULTIPOLYGON (((-74.12156988970818 40.63865575563485, -74.12184016129395 40.638561216704744, -74.12202025983193 40.638918110544836, -74.12183771343211 40.63908711909173, -74.12156988970818 40.63865575563485)))",13,SI,188,40,1674 Richmond Terrace,5001880040,John DeGroot House,LP-02179,"Borough of Staten Island Tax Map Block 188, Lot 40.",Designated,,06/28/2005,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2179.pdf,475.429290611,12006.8956769
