the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.13087295076919 40.63761935582451, -74.13105583798162 40.637370318604205, -74.13138585124922 40.6375117846774, -74.13120269040405 40.637760707465425, -74.13087295076919 40.63761935582451)))",43,SI,1007,26,75 Bennett Street,5010070026,"New York Public Library, Port Richmond Branch",LP-01997,"Borough of Staten Island Tax Map Block 1007, Lot 26",Designated,,10/13/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1997.pdf,418.0372711,10921.8762385
"MULTIPOLYGON (((-74.24392733913683 40.50950073133177, -74.24401783167535 40.50948241394158, -74.24399426507166 40.50941347244051, -74.2442467287844 40.50936236781501, -74.2443735164212 40.50973327405447, -74.24404018148203 40.509830844626926, -74.24392733913683 40.50950073133177)))",61,SI,7899,9,7430 Amboy Road,5078990009,"New York Public Library, Tottenville Branch",LP-01867,"Borough of Staten Island Tax Map Block 7899, Lot 9.",Designated,,05/16/1995,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1867.pdf,487.842222279,13625.6509898
"MULTIPOLYGON (((-73.84583191896846 40.78635253598132, -73.84584316901193 40.786080986490255, -73.8461964217412 40.786067712294695, -73.84618702258668 40.78629462458005, -73.84618430494888 40.78636018743913, -73.84583191896846 40.78635253598132)))",84,QN,4042,113,121-23 14th Avenue,4040420113,"Queens Borough Public Library, Poppenhusen Branch",LP-02045,"Borough of Queens Tax Map Block 4042, Lot 113.",Designated,,05/30/2000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2045.pdf,401.161647872,10035.4252351
"MULTIPOLYGON (((-73.99579226994638 40.74462644182305, -73.99581011214556 40.74460185684067, -73.9958463873752 40.74455187373113, -73.99587865079228 40.744507416875784, -73.99584249687906 40.744492481573694, -73.99588791214515 40.744429904293405, -73.99592406603459 40.74444484048186, -73.99596892584697 40.74438302858025, -73.99609630507005 40.744436662643764, -73.99591965778126 40.744680067075265, -73.99579226994638 40.74462644182305)))",128,MN,773,38,209-211 West 23rd Street,1007730038,"New York Public Library, Muhlenberg Branch",LP-02060,"Borough of Manhattan Tax Map Block 773, Lot 38.",Designated,,01/30/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2060.pdf,306.078414752,4383.54179225
"MULTIPOLYGON (((-73.98842225638215 40.71429647165251, -73.98861966330598 40.714279809380905, -73.98867156105872 40.71461278902445, -73.98847161332999 40.714629977928595, -73.98842225638215 40.71429647165251)))",131,MN,311,31,192 East Broadway,1003110031,"New York Public Library, Seward Park Branch",LP-02531,"Borough of Manhattan Tax Map Block 311, Lot 31.",Designated,,06/25/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2531.pdf,355.282457163,6773.53232845
"MULTIPOLYGON (((-73.99143693412293 40.72923342624203, -73.991370780519 40.729200915644604, -73.9914683090263 40.729085617287495, -73.9914074394016 40.72905570326822, -73.9915111322471 40.72893311481454, -73.9916562376589 40.728761568618395, -73.99165602578464 40.72876146504452, -73.99174194976268 40.72865988125485, -73.99165231646994 40.72861583181321, -73.99168769161578 40.72854370272682, -73.99182493372707 40.72861115074661, -73.99182298266551 40.7286134577113, -73.99192482073593 40.72866350616489, -73.99192677297937 40.72866119739755, -73.99217830491666 40.72878481047214, -73.9916925734474 40.729359057812445, -73.99143693412293 40.72923342624203)))",141,MN,544,16,425 Lafayette Street,1005440016,Astor Library,LP-00016,"Borough of Manhattan Tax Map Block 544, Lot 16.",Designated,now the Joseph Papp Public Theater,10/26/1965,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0016.pdf,818.025015573,31273.0549911
"MULTIPOLYGON (((-73.99638617109505 40.71322199202675, -73.9964719101733 40.71321475007912, -73.99656486358322 40.71320689863742, -73.9965921689949 40.71342224303311, -73.99641342151631 40.71343697085547, -73.99638617109505 40.71322199202675)))",144,MN,280,44,31 East Broadway,1002800044,"New York Public Library, Chatham Square Branch",LP-02098,"Borough of Manhattan Tax Map Block 280, Lot 44.",Designated,,11/13/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2098.pdf,257.193019508,3924.96487871
"MULTIPOLYGON (((-73.9809693062173 40.74933906940582, -73.98115607828294 40.74908678370974, -73.98084962705224 40.74895774377023, -73.98103129787518 40.74871237780431, -73.98187686409504 40.74906842369129, -73.98169519541558 40.749313790978356, -73.98119491532707 40.74910313694425, -73.98113600923811 40.749182699632954, -73.98112668452914 40.74917851075211, -73.98099867056862 40.74935143460005, -73.9809693062173 40.74933906940582)))",323,MN,866,25,225 Madison Avenue,1008660025,Pierpont Morgan Library and Annex,LP-00239,"Borough of Manhattan Tax Map Block 866, Lot 25.",Designated,now the Morgan Library & Museum,05/17/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0239.pdf,951.837596526,28554.2917699
"MULTIPOLYGON (((-73.98023698819271 40.727399136093645, -73.98040599306401 40.72716411505617, -73.98056560233165 40.727231537990484, -73.98039659903648 40.72746655745922, -73.98023698819271 40.727399136093645)))",378,MN,404,39,331 East 10th Street,1004040039,"New York Public Library, Tompkins Square Branch",LP-01998,"Borough of Manhattan Tax Map Block 404, Lot 39.",Designated,,05/18/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1998.pdf,296.403008128,4938.58013792
"MULTIPOLYGON (((-73.98342574979367 40.752981038826455, -73.98263460643595 40.754068126912244, -73.98110626453266 40.75342577822237, -73.98189742401885 40.75233869873149, -73.98342574979367 40.752981038826455)))",381,MN,1257,1,476 Fifth Avenue,1012570001,"New York Public Library, Astor, Lenox and Tilden Foundations",LP-00246,"Borough of Manhattan Tax Map Block 1257, Lot 1.",Designated,,01/11/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0246.pdf,1872.95509884,219005.131971
