the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.98623594849398 40.768608329273896, -73.98619936801563 40.76859294429788, -73.98616276978882 40.768577553905004, -73.98635013375062 40.76832070041348, -73.98650726824799 40.76838678166446, -73.98631990352182 40.76864363540888, -73.98623594849398 40.768608329273896)))",129,MN,1067,24,417-419 West 57th Street,1010670024,Catholic Apostolic Church,LP-02077,"Borough of Manhattan Tax Map Block 1067, Lot 24.",Designated,now Church for All Nations,02/27/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2077.pdf,313.497593148,5322.63753179
"MULTIPOLYGON (((-73.99416323670062 40.75152966045045, -73.99494782871139 40.75043251581431, -73.99750976392194 40.75151101127014, -73.99672520140388 40.752608174086724, -73.99416323670062 40.75152966045045)))",149,MN,755,40,Eighth Avenue at West 31st Street,1007550040,United States General Post Office,LP-00232,"Borough of Manhattan Tax Map Block 755, Lot 40.",Designated,now the James A. Farley Building,05/17/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0232.pdf,2532.68678277,369155.60111
"MULTIPOLYGON (((-74.00931247962414 40.7121309835514, -74.00950911996574 40.71188263274443, -74.00974028975816 40.71198929601822, -74.00959281507835 40.712175555621656, -74.00952117007307 40.712142588470954, -74.00947202503022 40.71220465481963, -74.0093941985649 40.71216871731384, -74.00931247962414 40.7121309835514)))",409,MN,88,5,20 Vesey Street,1000880005,New York Evening Post Building,LP-00077,"Borough of Manhattan Tax Map Block 88, Lot 5.",Designated,,11/23/1965,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0077.pdf,361.157795821,7304.99377294
"MULTIPOLYGON (((-73.9890649454666 40.69601300846643, -73.98910959524082 40.69509183333208, -73.98996339829552 40.69512412949885, -73.98991352472774 40.69601497974186, -73.98965205782154 40.69602960426709, -73.9890649454666 40.69601300846643)))",834,BK,127,1,271-301 Cadman Plaza East (Washington Street),3001270001,"United States Post Office and Court House, Brooklyn Central Office",LP-00146,"Borough of Brooklyn Tax Map Block 127, Lot 1.",Designated,,07/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0146.pdf,1133.36652924,78646.7268096
"MULTIPOLYGON (((-73.92606540314736 40.81919464727775, -73.9263914929443 40.81846149676233, -73.92707244412101 40.818633965768704, -73.92671411520111 40.81937554976053, -73.92606540314736 40.81919464727775)))",966,BX,2443,400,560 Grand Concourse,2024430400,Bronx Post Office,LP-00837,"Borough of the Bronx Tax Map Block 2443, Lot 400.",Designated,,11/25/1975,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0837.pdf,959.71016198,55533.2096736
"MULTIPOLYGON (((-73.98201263234971 40.7156709665376, -73.98201296902194 40.71567327820005, -73.98201278968769 40.71567559968749, -73.98201209673184 40.715677864362526, -73.98201090910761 40.71568000829189, -73.98200926352045 40.71568196754506, -73.98200720495832 40.71568368629741, -73.98200479615929 40.71568511683174, -73.98200210222723 40.71568621593365, -73.98199920246475 40.71568695299815, -73.98199618090574 40.71568730642621, -73.98199312394821 40.71568726632567, -73.9819901227213 40.71568683271076, -73.98198725888253 40.715686019101945, -73.98198461763735 40.715684848925854, -73.98198227353669 40.71568335641349, -73.98198029402865 40.715681582999004, -73.98197873945678 40.71567958272236, -73.98197765241252 40.715677408720424, -73.98197706128227 40.71567512583435, -73.9819769873503 40.71567280250629, -73.98197743296706 40.71567049997133, -73.98197838036079 40.715668289366945, -73.98197980821169 40.71566623282503, -73.98198167153096 40.715664389772144, -73.9819839170474 40.71566281152911, -73.98198648083935 40.715661545812836, -73.9819892895205 40.71566062863235, -73.98199226023934 40.71566008518886, -73.98199531014674 40.71565993257915, -73.98199835047939 40.71566017529187, -73.98200129366141 40.71566080340766, -73.98200405330137 40.71566180340547, -73.9820065524809 40.71566314285488, -73.98200871665003 40.71566478392278, -73.98201048664626 40.71566668157452, -73.98201180804404 40.71566877906939, -73.98201263234971 40.7156709665376)))",1034,MN,331,65,Former intersection of Broome and Sheriff Streets,1003310065,Historic Street Lampposts (084),LP-01961,Consisting of the property on which the descibed lamppost is situated.,Designated,,06/17/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1961.pdf,31.3326246767,77.9360137509
"MULTIPOLYGON (((-73.9849056999914 40.76958229130728, -73.98488193484472 40.769614833284685, -73.98505497779011 40.769687873177304, -73.98507902468911 40.76964515641326, -73.98530759127067 40.76974138476153, -73.98529676083682 40.769756434393365, -73.98548098958811 40.76983421261958, -73.98547405841066 40.76984384443043, -73.98556322333339 40.76988148767256, -73.9855315460916 40.76992550390505, -73.98556639808427 40.769988933428465, -73.98557904294164 40.77004019796533, -73.98554101872325 40.77009226840712, -73.98549455433924 40.77010453912875, -73.98541954539216 40.77010682414364, -73.98539296187893 40.77010426875018, -73.9853539113848 40.77015792388542, -73.98533949448955 40.77017766558718, -73.98533131331479 40.77018880377195, -73.9845525808757 40.76986017316724, -73.98455875943313 40.76984812526046, -73.98478889101662 40.7695329868917, -73.9849056999914 40.76958229130728)))",1054,MN,1131,31,8 Columbus Avenue,1011310031,Church of Saint Paul the Apostle,LP-02260A,"Borough of Manhattan Tax Map Block 1131, Lot 31 in part, consisting of the land beneath the Church of St. Paul the Apostle, including the West 60th Street areaway.",Designated,,07/23/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2260A.pdf,835.379770056,34614.71099
"MULTIPOLYGON (((-73.99895964634138 40.74949170123306, -73.99852665952118 40.74931669216375, -73.99870067959306 40.74907973779228, -73.99871298454043 40.74908493385051, -73.99875662997135 40.74902550453007, -73.99898029674249 40.74911994730321, -73.99893665263335 40.74917937670765, -73.99912881403151 40.749260512117075, -73.99895964634138 40.74949170123306)))",1166,MN,751,76,300 Ninth Avenue,1007510076,Church of the Holy Apostles,LP-00231,"Borough of Manhattan Tax Map Block 751, Lot 76.",Designated,,10/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0231.pdf,516.420193925,15013.0481947
"MULTIPOLYGON (((-74.01371954462084 40.68890422751193, -74.01389840220392 40.688837802194016, -74.0139821210703 40.688968415117735, -74.01380326440346 40.68903484146508, -74.01371954462084 40.68890422751193)))",1200,MN,1,10,northwest of Barry Road,1000010010,Post Hospital,LP-00544,"Borough of Manhattan Tax Map Block 1, Lot 10 in part, consisting of the land on which the described building is situated.",Designated,designated as the Block House,09/19/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0544.pdf,216.278102744,2922.25626029
"MULTIPOLYGON (((-73.98451933403199 40.7698461433652, -73.984752495281 40.769522155328595, -73.98478639933413 40.76953639947067, -73.98490333508909 40.76958552920765, -73.98490371170948 40.76958568684509, -73.98489361461729 40.769599718066125, -73.98506100707843 40.76967019257523, -73.98507902468911 40.76964515641326, -73.98530759127067 40.76974138476153, -73.98529676083682 40.769756434393365, -73.98548098958811 40.76983421261958, -73.98547405841066 40.76984384443043, -73.98556322333339 40.76988148767256, -73.9855315460916 40.76992550390505, -73.98557463110899 40.769978729955625, -73.98560203666548 40.77004122201173, -73.98563591404525 40.77005489407974, -73.98560213242897 40.77010231036869, -73.98560372776086 40.77010295262693, -73.9854936682478 40.770257317509405, -73.98533131331479 40.77018880377195, -73.98455258087549 40.76986017406778, -73.98451933403199 40.7698461433652)))",1344,MN,1131,31,8 Columbus Avenue,1011310031,Church of Saint Paul the Apostle,LP-02260,"Borough of Manhattan Tax Map Block 1131, Lot 31",Amended,,06/25/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2260.pdf,889.335146124,39388.8886586
