the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.07790665812387 40.633789806562795, -74.07804551835702 40.633473184289, -74.07821373514773 40.633515389000756, -74.07824844370971 40.63340783344858, -74.07876953467911 40.63351164344522, -74.07861592335311 40.63398765872442, -74.07790665812387 40.633789806562795)))",3,SI,506,81,98 Grant Street,5005060081,Public School 15 (Daniel D. Tompkins School),LP-01877,"Borough of Staten Island Tax Map Block 506, Lot 81.",Designated,,11/19/1996,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1877.pdf,748.859028948,32265.5964141
"MULTIPOLYGON (((-74.13193758812749 40.63997623728809, -74.13242319219958 40.639368096736455, -74.13274495754439 40.63951378462354, -74.13280524565077 40.63943828028525, -74.13283747213099 40.639397922296176, -74.13288276294772 40.639341201168314, -74.13342506163842 40.6395866762251, -74.13341711310744 40.63960275251835, -74.13354668291036 40.63963847161198, -74.13349034396983 40.63976013328877, -74.1334260949214 40.639898878866234, -74.13334138604458 40.6398755266924, -74.13325803508393 40.63985254839924, -74.13326233847326 40.63984325635374, -74.13306073664096 40.639763774014234, -74.13290816320799 40.63970361924926, -74.1327492440339 40.63964096366055, -74.1326664820052 40.63960833339018, -74.13248364966469 40.63986244657498, -74.13234198943616 40.63998551980895, -74.1322484352642 40.640066797570306, -74.13220656844852 40.64009802620105, -74.13193758812749 40.63997623728809)))",27,SI,1073,75,54 Port Richmond Avenue,5010730075,"Reformed Church on Staten Island, Sunday School Building, and Cemetery",LP-02384,"Borough of Staten Island, Tax Map Block 1073, Lot 75",Designated,,03/23/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2384.pdf,1304.07717419,50540.0744748
"MULTIPOLYGON (((-73.87359634262617 40.7404158545633, -73.87428651594377 40.74026069152305, -73.8746629740396 40.74123212689805, -73.87397279035177 40.741387292171794, -73.87359634262617 40.7404158545633)))",76,QN,1849,1,48-01 90th Street,4018490001,Newtown High School,LP-02131,"Borough of Queens Tax Map Block 1849, Lot 1.",Designated,,06/24/2003,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2131.pdf,1136.82978412,73587.6313348
"MULTIPOLYGON (((-73.82570391667218 40.764522043227814, -73.82792029480353 40.76425776626101, -73.82774537559703 40.765288046368546, -73.82592870974264 40.76549069514835, -73.82570391667218 40.764522043227814)))",89,QN,5002,1,35-01 Union Street,4050020001,Flushing High School,LP-01798,"Borough of Queens Tax Map Block 5002, Lot 1",Designated,,01/08/1991,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1798.pdf,1866.93241874,203994.592978
"MULTIPOLYGON (((-73.84583941704598 40.69801654387524, -73.84572597469025 40.69775369040446, -73.84631992853168 40.697602579161476, -73.84654693952368 40.698128567744554, -73.84595298269193 40.698279681051034, -73.84583941704598 40.69801654387524)))",96,QN,9183,1,85-11 102nd Street,4091830001,Public School 66,LP-02317,"Borough of Queens Tax Map Block 9183, Lot 1.",Designated,"formerly the Brooklyn Hills School, later the Oxford School, now the Jacqueline Kennedy Onassis School",01/12/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2317.pdf,750.725779184,35027.1224634
"MULTIPOLYGON (((-73.79902463574462 40.708055003438965, -73.79930471867387 40.70795089025298, -73.79932866370667 40.70798871934681, -73.79973247416478 40.707838611795715, -73.80004318543756 40.70834822032527, -73.79933796512387 40.70855001661067, -73.79902463574462 40.708055003438965)))",103,QN,9768,22,162-02 Hillside Avenue,4097680022,Jamaica High School,LP-02538,"Borough of Queens Tax Map Block 9768, lot 22",Designated,now Jamaica Learning Center,06/25/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2538.pdf,840.059627643,42145.9382249
"MULTIPOLYGON (((-73.98124947300465 40.7830753149491, -73.98118049884575 40.78304647865084, -73.98119093887914 40.783032048016594, -73.98136724782455 40.78278836400762, -73.98193059308306 40.78302388355095, -73.98174384444283 40.78328199909754, -73.98124947300465 40.7830753149491)))",126,MN,1169,1,West End Avenue at West 77th Street,1011690001,West End Collegiate Church and Collegiate School,LP-00287,"Borough of Manhattan Tax Map Block 1169, Lot 1.",Designated,,01/11/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0287.pdf,570.748393681,19108.9908072
"MULTIPOLYGON (((-73.99424359276317 40.723551192114165, -73.99426394489754 40.72350162549632, -73.99428644574463 40.723446824320604, -73.99428828075905 40.72344235338295, -73.99460639048736 40.72352919402968, -73.99455884334327 40.7236373438584, -73.99424359276317 40.723551192114165)))",143,MN,508,6,256-258 Mott Street,1005080006,Fourteenth Ward Industrial School of the Children's Aid Society (Astor Memorial Building),LP-00960,"Borough of Manhattan, Tax Map Block 508, Lot 6.",Designated,,07/12/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0960.pdf,269.618359385,3872.51405815
"MULTIPOLYGON (((-73.98308520840752 40.75766348537029, -73.98327237086659 40.75740782240891, -73.98335132508765 40.757441050775235, -73.98343028886028 40.757474283591165, -73.9834629955733 40.75742960253069, -73.98359114514874 40.75748353319029, -73.98365115020705 40.75750878647923, -73.98383433198869 40.75758587844914, -73.98380162307951 40.75763055961368, -73.98375425003097 40.7576106229662, -73.98356707109 40.75786627859585, -73.98308520840752 40.75766348537029)))",146,MN,998,41,120 West 46th Street,1009980041,Public School 67,LP-01241,"Borough of Manhattan, Tax Map Block 998, Lot 41.",Designated,"later the High School of the Performing Arts, now the Jacqueline Kennedy Onassis High School for International Careers",12/21/1982,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1241.pdf,585.635536403,18456.5587612
"MULTIPOLYGON (((-73.98179502450547 40.74418999739731, -73.98154974927628 40.74408673688123, -73.98162287631443 40.7439849561897, -73.98189423670044 40.74409864402076, -73.98182079844288 40.74420085257448, -73.98179502450547 40.74418999739731)))",147,MN,886,21,160 Lexington Avenue,1008860021,New York School of Applied Design for Women,LP-00949,"Borough of Manhattan Tax Map Block 886, Lot 21.",Designated,"later Pratt-New York Phoenix School of Design, now Touro College",05/10/1977,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0949.pdf,256.385821973,3635.19409707
"MULTIPOLYGON (((-73.97921798514149 40.7656526991765, -73.97915612697842 40.76562684083732, -73.9793385547759 40.765372031077526, -73.97946482638604 40.76542479346929, -73.97928145153652 40.7656792295475, -73.97921798514149 40.7656526991765)))",335,MN,1010,5,163-165 West 57th Street,1010100005,Louis H. Chalif Normal School of Dancing,LP-02041,"Borough of Manhattan Tax Map Block 1010, Lot 5.",Designated,,10/19/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2041.pdf,290.932437953,4203.17375566
