the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.94465507502052 40.82951242694166, -73.9449905413399 40.82965332490972, -73.94490052688727 40.82977512160948, -73.94456571906501 40.8296344992506, -73.94465507502052 40.82951242694166)))",495,MN,2083,35,1854 Amsterdam Avenue,1020830035,32nd Police Precinct Station House,LP-02121,"Borough of Manhattan Tax Map Block 2083, Lot 35.",Designated,later the 30th Police Precinct Station House,08/13/2002,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2121.pdf,313.738488411,5393.13015605
"MULTIPOLYGON (((-73.96329630875692 40.76744460913643, -73.96347861880011 40.767193827243425, -73.9634020856845 40.76716159103715, -73.96358041314286 40.766916282770964, -73.96378104913117 40.76700117167631, -73.96360293317016 40.767246186752345, -73.9637227148442 40.767296637432615, -73.9635404054377 40.767547421509065, -73.96329630875692 40.76744460913643)))",694,MN,1402,29,157-159 East 67th Street,1014020029,Fire Engine Company 39 and Ladder Company 16 Station House,LP-01988,"Borough of Manhattan Tax Map Block 1402, Lot 29.",Designated,,06/16/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1988.pdf,615.968680148,14560.4275042
"MULTIPOLYGON (((-73.94596623514613 40.7908223309543, -73.94595101410158 40.7908159005464, -73.94613364703334 40.790564615792135, -73.94628916418755 40.790630239415975, -73.94610649605292 40.79088160454203, -73.94596623514613 40.7908223309543)))",719,MN,1632,30,177-179 East 104th Street,1016320030,28th Police Precinct Station House,LP-02034,"Borough of Manahttan Tax Map Block 1632, Lot 30.",Designated,,02/23/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2034.pdf,307.727906539,5152.65609591
"MULTIPOLYGON (((-73.9912235477659 40.747866964748056, -73.99140143554014 40.74762334079292, -73.9914342820296 40.74763715340461, -73.99158577956287 40.74770087088773, -73.99166660662452 40.74773486096995, -73.99163630503315 40.74779299455725, -73.99165759100306 40.74780227581789, -73.99152004843855 40.74799064537611, -73.9912235477659 40.747866964748056)))",735,MN,805,82,134-138 West 30th Street,1008050082,23rd Police Precinct Station House,LP-02019,"Borough of Manhattan Tax Map Block 805, Lot 82.",Designated,,12/15/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2019.pdf,387.27118131,9310.70238285
"MULTIPOLYGON (((-73.9637227148442 40.767296637432615, -73.96360293317016 40.767246186752345, -73.96378104913117 40.76700117167631, -73.96400337689917 40.767094813603634, -73.96382526268957 40.76733982992088, -73.9637227148442 40.767296637432615)))",745,MN,1402,25,153-155 East 67th Street,1014020025,19th Police Precinct Station House,LP-02018,"Borough of Manhattan Tax Map Block 1402, Lot 25.",Designated,originally 25th Police Precinct,02/23/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2018.pdf,344.797422548,7180.83009403
"MULTIPOLYGON (((-74.0089493402644 40.650203978172904, -74.00924538709374 40.6503826651541, -74.0090171100905 40.65060373870571, -74.00872146483798 40.65042468099823, -74.0089493402644 40.650203978172904)))",816,BK,728,36,4302 4th Avenue,3007280036,18th Police Precinct Station House and Stable,LP-01129,"Borough of Brooklyn Tax Map Block 728, Lot 36.",Designated,"designated as the 68th Police Precinct Station House and Stable, now the Sunset Park School of Music",04/12/1983,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1129.pdf,414.391046361,10730.8988692
"MULTIPOLYGON (((-73.96033550319942 40.689959407041904, -73.96072501569851 40.689914301547844, -73.96077964092213 40.690190474291306, -73.96039006905352 40.69023528367994, -73.96033550319942 40.689959407041904)))",897,BK,1933,121,298 Classon Avenue,3019330121,4th Police Precinct Station House,LP-02562,"Borough of Brooklyn Tax Map Block 1933, Lot 121",Designated,now 88th Police Precinct,01/14/2014,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2562.pdf,421.921157508,11111.7726292
"MULTIPOLYGON (((-73.92316347426654 40.69970860936322, -73.92338438681054 40.69948437773564, -73.92367772137314 40.69965325842264, -73.92345680452641 40.69987748790369, -73.92316347426654 40.69970860936322)))",905,BK,3246,5,179 Wilson Avenue,3032460005,20th Precinct Police Station House and Stable,LP-00951,"Borough of Brooklyn Tax Map Block 3246, Lot 5.",Designated,"later the 83rd Precinct Police Station House, now Brooklyn North Task Force",03/08/1977,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0951.pdf,408.189535151,10413.5711514
"MULTIPOLYGON (((-73.94357608442084 40.71988995918972, -73.94387449291891 40.71971745658207, -73.94400999298836 40.71990274214066, -73.94368617009548 40.72004049459762, -73.94357608442084 40.71988995918972)))",928,BK,2827,7503,43 Herbert Street,3028277503,19th Police Precinct Station House and Stable,LP-01703,"Borough of Brooklyn Tax Map Block 2827, Lot 36.",Designated,,09/21/1993,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1703.pdf,346.739692617,7199.51582589
"MULTIPOLYGON (((-73.8924680789434 40.82575962843563, -73.89246941106194 40.82563145936908, -73.89247096471222 40.8254821045343, -73.89283799963084 40.825484457006844, -73.8928348131053 40.82576197883532, -73.8924680789434 40.82575962843563)))",951,BX,2727,17,1086 Simpson Street,2027270017,62nd Police Precinct Station House,LP-01809,"Borough of The Bronx Tax Map Block 2727, Lot 17.",Designated,later 41st Police Precinct Station House,06/02/1992,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1809.pdf,405.314353079,10267.4449985
