the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.7944580695201 40.70574329249946, -73.79457353170044 40.70569813162792, -73.79469568528762 40.70588853539625, -73.7947631306182 40.70599366369272, -73.79499801267286 40.70635958370306, -73.79508496410577 40.70649504432718, -73.79464824631155 40.70666585625925, -73.79431222216925 40.70614960228204, -73.79463718673196 40.70602250044905, -73.79455107908716 40.70588827738726, -73.7944580695201 40.70574329249946)))",105,QN,9795,3,165-11 Jamaica Avenue,4097950003,Loew's Valencia Theater,LP-02036,"Borough of Queens Tax Map Block 9795, Lot 3",Designated,now Tabernacle of Prayer for All People,05/25/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2036.pdf,919.642824143,32766.8356745
"MULTIPOLYGON (((-73.98572586544343 40.76040689662689, -73.98590758305681 40.76015979261147, -73.98621899448938 40.76029140211769, -73.98603742338157 40.760538309426686, -73.98572586544343 40.76040689662689)))",156,MN,1019,50,220-228 West 48th Street,1010190050,Longacre Theater,LP-01348,"Borough of Manhattan Tax Map Block 1019, Lot 50.",Designated,,12/08/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1348.pdf,403.61259777,10176.5479056
"MULTIPOLYGON (((-73.98891224286908 40.759294174045024, -73.98909076551956 40.75904921866975, -73.98940404209253 40.75918078644539, -73.98951336293993 40.75922670418201, -73.98933358493845 40.75947113239369, -73.98891224286908 40.759294174045024)))",172,MN,1035,37,302-314 West 45th Street,1010350037,Martin Beck Theater,LP-01315,"Borough of Manhattan Tax Map Block 1035, Lot 37.",Designated,now the Al Hirschfeld Theater,11/04/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1315.pdf,471.159763665,13626.2014194
"MULTIPOLYGON (((-73.98763217615341 40.75793470463927, -73.9878085551315 40.757690159801406, -73.98804882071407 40.75779170250524, -73.9878737839986 40.758036815166705, -73.98763217615341 40.75793470463927)))",174,MN,1015,51,238 West 44th Street,1010150051,Little Theater,LP-01346,"Borough of Manhattan Tax Map Block 1015, Lot 51.",Designated,now the Helen Hayes Theater,11/17/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1346.pdf,355.966703582,7759.8621874
"MULTIPOLYGON (((-73.98599491418916 40.7593733961055, -73.98589226949949 40.75933019807441, -73.985633295364 40.75922120769325, -73.9856083569351 40.75921069118718, -73.98565886893806 40.75914200337963, -73.98570295668667 40.759082049648605, -73.9857890363761 40.75896498386911, -73.98622779762259 40.75915005307328, -73.98604733963589 40.75939545943043, -73.98599491418916 40.7593733961055)))",177,MN,1018,20,203-217 West 46th Street,1010180020,Globe Theater,LP-01350,"Borough of Manhattan Tax Map Block 1018, Lot 20.",Designated,now the Lunt-Fontanne Theater,12/08/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1350.pdf,483.002580574,14247.9164045
"MULTIPOLYGON (((-73.98378387648437 40.756811559487154, -73.98348407241092 40.75668538494472, -73.983665065845 40.756438159058625, -73.98409120223475 40.756617500264134, -73.98391021581547 40.75686472951568, -73.98378387648437 40.756811559487154)))",221,MN,997,23,111-121 West 44th Street,1009970023,Belasco's Stuyvesant Theater,LP-01317,"Borough of Manhattan Tax Map Block 997, Lot 23.",Designated,now the Belasco Theater,11/04/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1317.pdf,476.049356121,13910.3579963
"MULTIPOLYGON (((-73.9842404095483 40.76305428152395, -73.98441909300362 40.76281055102395, -73.98461181598569 40.76289219773623, -73.98481487413834 40.7629782219386, -73.9846350697647 40.76322345673891, -73.9842404095483 40.76305428152395)))",227,MN,1023,54,244-254 West 52nd Street,1010230054,Alvin Theater,LP-01305,"Borough of Manhattan Tax Map Block 1023, Lot 54.",Designated,now the Neil Simon Theater,08/06/1985,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1305.pdf,454.970424788,12798.8977072
"MULTIPOLYGON (((-73.98748970015167 40.758694316460655, -73.98767054940716 40.75844581372686, -73.98770335429954 40.75845948779768, -73.98795889969853 40.7585660021937, -73.98795680659646 40.75856887638643, -73.98790777937141 40.75868718317989, -73.98779315697087 40.758785808789064, -73.9877736188407 40.758812657069576, -73.98748970015167 40.758694316460655)))",242,MN,1016,55,242-250 West 45th Street,1010160055,Royale Theater,LP-01372,"Borough of Manhattan Tax Map Block 1016, Lot 55.",Designated,now the Bernard B. Jacobs Theater,12/15/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1372.pdf,389.793699876,9787.23463562
"MULTIPOLYGON (((-73.98767054940716 40.75844581372686, -73.9873623737785 40.75831735932993, -73.98754449470346 40.75806706401457, -73.98788546722697 40.7582091883457, -73.98770335429954 40.75845948779768, -73.98767054940716 40.75844581372686)))",245,MN,1016,11,235-243 West 44th Street,1010160011,Broadhurst Theater,LP-01323,"Borough of Manhattan Tax Map Block 1016, Lot 11.",Designated,,11/10/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1323.pdf,423.886459443,11226.8171585
"MULTIPOLYGON (((-73.98673587878217 40.7600203586607, -73.9869240038084 40.759764520671546, -73.98715895864515 40.75986327213193, -73.98723012577602 40.75989322182348, -73.98719447789547 40.75994169833703, -73.98704176819618 40.760149377259104, -73.98673587878217 40.7600203586607)))",301,MN,1018,57,256-262 West 47th Street,1010180057,Mansfield Theater,LP-01311,"Borough of Manhattan Tax Map Block 1018, Lot 57.",Designated,now the Brooks Atkinson Theater,11/04/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1311.pdf,407.524172065,10355.3275469
