OBJECTID,City,Block,Lot,Street & Number,BBL,Property Name,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area,Type,County
817,Brooklyn,1102,12,1402 8th Avenue,3011020012,14th Regiment Armory,LP-01965,"Borough of Brooklyn Tax Map Block 1102, Lot 12.",Designated,,4/14/98,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1965.pdf,1524.965397,114845.7666,armory,Kings
876,Brooklyn,1199,15,1322 Bedford Avenue,3011990015,23rd Regiment Armory,LP-00950,"Borough of Brooklyn Tax Map Block 1199, Lot 15.",Designated,,3/8/77,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0950.pdf,1356.59461,95021.41302,armory,Kings
904,Brooklyn,3105,26,47-49 Graham Avenue,3031050026,"Williamsburg Branch, Public National Bank of New York Building",LP-02471,"Borough of Brooklyn Tax Map Block 3105, Lot 26",Designated,,1/17/12,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2471.pdf,317.5384564,5672.161604,bank,Kings
923,Brooklyn,2457,45,135 Broadway,3024570045,Kings County Savings Bank,LP-00165,"Borough of Brooklyn Tax Map Block 2457, Lot 45.",Designated,,3/15/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0165.pdf,269.0441438,4082.737478,bank,Kings
934,Brooklyn,2457,28,175 Broadway,3024570028,Williamsburgh Savings Bank,LP-00164,"Borough of Brooklyn Tax Map Block 2457, Lot 28.",Designated,,5/17/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0164.pdf,464.6962128,13356.50775,bank,Kings
1243,Brooklyn,2111,7501,1 Hanson Place,3021117501,Williamsburgh Savings Bank Building,LP-00971,"Borough of Brooklyn Tax Map Block 2111, Lot 1 in part.",Designated,,11/15/77,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0971.pdf,579.687429,17842.79205,bank,Kings
1302,Brooklyn,0,0,9 DeKalb Avenue,0,Dime Savings Bank,LP-01907,Too long,Designated,,7/19/94,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1907.pdf,739.0341057,29776.31093,bank,Kings
1368,Brooklyn,1390,44,1117 Eastern Parkway,3013900044,East New York Savings Bank Building,LP-02472,"Borough of Brooklyn Tax Map Block 1390, Lot 44",Designated,,3/8/16,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2472.pdf,447.2290004,10667.87879,bank,Kings
0,Brooklyn,2447,36,"209 Havemeyer Street, Brooklyn (aka 257 South 5th Street)",3024470036,The Dime Savings Bank of Williamsburgh,LP-02598,"Borough of Brooklyn Tax Map Block 2447, Lot 36 in part",Designated,,3/27/18,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2598.pdf,334.6763819,6809.975122,bank,Kings
1286,Brooklyn,0,0,spanning the Gowanus Canal,0,Carroll Street Bridge,LP-01553,Too long,Designated,,9/29/87,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1553.pdf,559.0401418,14664.47582,bridge,Kings
1159,Brooklyn,2292,1,Driggs Avenue at North 12th Street,3022920001,Russian Orthodox Cathedral of the Transfiguration of Our Lord,LP-00162,"Borough of Brooklyn Tax Map Block 2292, Lot 6.",Designated,,11/19/69,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0162.pdf,356.8412401,7780.783554,cathedral,Kings
859,Brooklyn,6325,1,"adjacent to 16th Avenue, from 84th to 85th Streets",3063250001,New Utrecht Reformed Dutch Church Cemetery,LP-01978,"Borough of Brookly Tax Map Block 6325, Lot 1.",Designated,,1/13/98,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1978.pdf,841.3512607,43518.24151,cemetery,Kings
921,Brooklyn,7146,1,Gravesend Neck Road at McDonald Avenue,3071460001,Gravesend Cemetery,LP-00921,"Tax Map Block 7146, Lot 1.",Designated,,3/23/76,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0921.pdf,1486.154541,72389.66779,cemetery,Kings
1128,Brooklyn,902,1,5th Avenue at 25th Street,3009020001,Green-Wood Cemetery Gate,LP-00149,"Borough of Brooklyn Tax Map Block 902, Lot 1 in part, consisting of the land on which the described building is situated.",Designated,,4/19/66,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0149.pdf,477.1637343,3799.783518,cemetery,Kings
1376,Brooklyn,902,1,500 25th Street,3009020001,"Fort Hamilton Parkway Entrance and Green-Wood Cemetery Chapel, Green-Wood Cemetery",LP-01233,"Borough of Brooklyn Tax Map Block 902, Lot 1 in part. See designation report for entire site description.",Designated,,4/12/16,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1233.pdf,975.2851796,27421.75287,cemetery,Kings
847,Brooklyn,2047,7,311 Bridge Street,3020470007,First Free Congregational Church,LP-02004,"Borough of Brooklyn Tax Map Block 2047, Lot 7.",Designated,"later the Bridge Street African Wesleyan Methodist Episcopal Church, now part of Polytechnic Institute of New York University, Wunsch Student Center",11/24/81,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2004.pdf,357.9926885,7782.494512,church,Kings
856,Brooklyn,6327,10,"18th Avenue, from 83rd to 84th Streets",3063270010,"New Utrecht Reformed Dutch Church and Parish House, Expanded Landmark Site",LP-00172E,"Borough of Brooklyn Tax Map Block 6327, Lot 10.",Designated,,1/13/98,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0172E.pdf,930.5114215,47619.67495,church,Kings
868,Brooklyn,1957,28,40 Greene Avenue,3019570028,Saint Casimir's Roman Catholic Church,LP-02476,"Borough of Brooklyn, Tax Map Block 1957, Lot 28",Designated,now the Paul Robeson Theatre,10/25/11,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2476.pdf,287.0885247,4277.943508,church,Kings
869,Brooklyn,1932,42,279 Lafayette Avenue,3019320042,Emmanuel Baptist Church,LP-00160,"Borough of Brooklyn Tax Map Block 1932, Lot 42W.",Designated,,11/12/68,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0160.pdf,556.3644621,16854.76689,church,Kings
872,Brooklyn,1200,16,1227 Pacific Street,3012000016,Saint Bartholomew's Church,LP-00820,"Borough of Brooklyn Tax Map Block 1200, Lot 16.",Designated,,3/19/74,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0820.pdf,655.89387,24583.34011,church,Kings
877,Brooklyn,1813,41,800 Marcy Avenue,3018130041,Saint George's Episcopal Church,LP-00946,"Borough of Brooklyn Tax Map Block 1813, Lot 41.",Designated,,1/11/77,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0946.pdf,502.0801132,15243.26366,church,Kings
879,Brooklyn,2004,33,88 Hanson Place,3020040033,Hanson Place Baptist Church,LP-00664,"Borough of Brooklyn Tax Map Block 2004, Lot 33.",Designated,now Hanson Place Seventh Day Adventist Church,10/13/70,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0664.pdf,510.6114625,14826.37273,church,Kings
